gene	EEP	MEP	LEP	ESP	LSP	gap	25C	gap	Cold shock (15C)	pH3 shock	pH5.8 shock	NaCl shock	Bile shock	Low Fe2+ shock	Anaerobic shock	gap	Anaerobic growth	Oxygen shock	gap	NonSPI2	InSPI2	InSPI2 LowMg2+	Peroxide shock (InSPI2)	Nitric oxide shock (InSPI2)	gap	Macrophage 	Common gene name	Gene Synonym	Type	Start position (4/74)	End position (4/74)	Strand	Product (EMBL DB)	4-74 ID	SL1344 Locus ID
STnc470	58	56	135	405	497		64		54	103	90	492	80	78	113		134	135		736	3211	6270	2031	1460		1481	STnc910		sRNA	94653	94741	-			SL1344_STnc470
STnc4170	79	51	63	52	33		66		124	94	73	212	42	112	92		97	93		134	105	130	98	334		83	STnc4170		sRNA	95102	95188	+			SL1344_STnc4170
STnc3240	47	67	60	65	13		37		84	63	72	44	40	95	99		85	65		38	103	102	62	103		53	STnc3240		sRNA	101322	101483	-			SL1344_STnc3240
STnc4180	57	212	122	101	2		72		249	546	486	81	26	134	63		36	70		114	137	56	52	45		15	STnc4180		sRNA	109243	109322	-			SL1344_STnc4180
SroA	5491	25363	18734	10433	2886		12651		31385	51698	40279	7918	282	26775	25247		8195	5259		3686	5763	1749	3558	3516		1176	tpe79		sRNA	126713	126802	-			SL1344_SroA
SgrS	167	518	335	678	129		364		588	728	321	689	384	516	1018		597	407		531	343	399	499	756		159	ryaA		sRNA	128577	128808	+			SL1344_SgrS
STnc1500	26	37	59	127	55		36		24	64	43	112	9	50	89		99	109		74	186	105	79	83		58	STnc1500		sRNA	138100	138274	-			SL1344_STnc1500
tp2	1	0	1	2	2		1		3	0	0	0	1	0	6		3	2		1	6	5	2	6		3	tp2		sRNA	176086	176242	-			SL1344_tp2
STnc4190	44	55	35	23	4		48		54	27	26	69	22	73	62		32	26		37	43	51	18	68		14	STnc4190		sRNA	209868	209971	-			SL1344_STnc4190
STnc3250	177	140	12	24	55		194		150	231	130	110	353	413	32		20	43		81	8	8	357	33		98	STnc3250		sRNA	223451	223676	-			SL1344_STnc3250
STnc1510	58	98	113	186	57		45		122	93	137	167	46	179	337		187	77		69	125	199	295	344		41	STnc1510		sRNA	237091	237187	+			SL1344_STnc1510
STnc3100	84	128	134	137	271		87		106	92	108	236	150	116	165		141	136		136	148	203	69	156		129	STnc3100		sRNA	245838	245954	+			SL1344_STnc3100
STnc3110	39	42	89	127	274		71		61	80	57	154	49	50	96		88	104		59	163	323	114	165		214	STnc3110		sRNA	249153	249274	+			SL1344_STnc3110
t44	2913	2498	2164	451	8		1965		1854	575	2065	1586	1872	1790	348		379	1570		1940	1399	472	170	218		1321	t44		sRNA	254126	254264	+			SL1344_t44
sRNA1	387	776	579	657	608		428		525	699	890	351	428	659	636		812	508		492	797	329	566	467		262	sRNA1		sRNA	257725	257790	+			SL1344_sRNA1
STnc920	474	654	431	331	26		428		444	424	442	1012	389	585	380		239	351		514	412	329	226	203		171	STnc920		sRNA	259116	259164	+			SL1344_STnc920
IsrA	0	0	1	0	0		2		2	1	0	0	0	0	0		0	0		0	0	0	0	0		4	IsrA		sRNA	338816	339238	+			SL1344_IsrA
STnc1030	7	6	7	8	2		2		6	8	15	9	9	12	13		10	7		5	5	8	4	14		8	STnc1030		sRNA	350892	351095	+			SL1344_STnc1030
STnc1040	10	6	8	10	0		12		9	3	6	25	7	15	6		5	5		10	14	3	0	9		14	STnc1040		sRNA	351053	351100	-			SL1344_STnc1040
STnc3270	52	52	33	42	36		52		88	92	54	173	95	69	141		46	41		92	58	59	110	157		28	STnc3270		sRNA	376115	376194	+			SL1344_STnc3270
STnc1700	37	35	54	77	112		79		52	78	76	199	32	48	10		88	132		77	190	162	56	119		55	STnc1700		sRNA	386381	386476	+			SL1344_STnc1700
STnc3280	48	65	50	57	12		77		88	141	78	110	69	99	153		70	56		79	91	121	89	177		37	STnc3280		sRNA	418391	418463	-			SL1344_STnc3280
STnc4150	9	11	35	32	166		17		6	18	23	75	17	44	51		44	59		34	32	83	44	136		8	STnc4150		sRNA	436953	437082	-			SL1344_STnc4150
STnc1060	563	1045	1970	3228	2502		1750		2501	1808	1316	3056	244	1410	1873		2229	1851		1990	2867	4361	2506	4103		577	STnc1060		sRNA	466718	466783	-			SL1344_STnc1060
SraA	3	10	7	10	2		10		6	15	23	16	9	15	19		9	10		12	12	14	10	14		5	psrA/t15		sRNA	504870	504976	-			SL1344_SraA
STnc930	61	66	73	56	149		157		74	76	57	75	64	85	155		145	64		99	81	96	316	149		60	STnc930		sRNA	514484	514578	+			SL1344_STnc930
STnc3130	29	61	101	208	142		38		42	51	55	106	1	73	152		211	142		154	230	77	163	267		135	STnc3130		sRNA	545302	545385	-			SL1344_STnc3130
ChiX	52110	39115	50115	73894	88734		34173		61321	73598	44130	49089	30618	41532	56016		44739	35215		88325	68655	119989	148301	181449		25576	MicM SroB RybC		sRNA	555450	555566	+			SL1344_ChiX
STnc950	15	40	73	165	25		19		36	19	23	20	9	35	91		45	56		61	92	89	24	108		6	STnc950		sRNA	569023	569074	+			SL1344_STnc950
STnc480	56	215	357	660	342		161		245	191	162	315	204	204	384		310	219		439	309	685	425	638		9	STnc970		sRNA	587347	587412	-			SL1344_STnc480
STnc1870	8	22	4	3	30		10		15	1	7	8	5	13	1		14	3		8	16	6	7814	10		9	STnc1870		sRNA	617317	617426	+			SL1344_STnc1870
STnc3180	10	28	27	44	18		0		6	29	30	33	0	17	14		42	48		13	294	238	57	34		76	STnc3180		sRNA	668611	668719	+			SL1344_STnc3180
STnc070	1296	3155	2795	2204	144		1061		1758	1780	4919	2308	1420	2762	2509		4397	10386		1868	4040	1656	8010	3381		1378	STnc070		sRNA	669642	669793	+			SL1344_STnc070
sRNA10	129	149	193	208	530		121		168	85	234	167	142	184	236		339	189		256	590	1021	292	429		420	sRNA10		sRNA	679315	679410	-			SL1344_sRNA10
STnc3550	16	17	35	34	21		9		16	22	19	19	10	16	88		51	28		22	76	91	33	26		13	STnc3550		sRNA	689844	689990	-			SL1344_STnc3550
SroC	78	518	2338	2250	1845		190		417	847	300	426	694	561	497		124	374		723	585	111	907	532		749	SroC		sRNA	728172	728324	-			SL1344_SroC
STnc3290	22	22	32	38	34		25		36	21	36	79	30	42	43		38	60		92	152	213	120	123		86	STnc3290		sRNA	738320	738476	+			SL1344_STnc3290
STnc3300	31	46	68	73	151		39		64	110	49	158	126	67	240		50	54		67	36	96	144	135		41	STnc3300		sRNA	748530	748639	-			SL1344_STnc3300
sRNA9	1116	778	593	312	38		815		988	611	747	1216	627	574	227		302	542		709	388	359	634	525		556	sRNA9		sRNA	756377	756436	-			SL1344_sRNA9
RybD	211	1107	3320	3368	257		1009		1098	904	899	812	1327	1377	2288		807	1196		1342	714	731	1281	1616		202	RybD	STnc830	sRNA	807346	807429	+			SL1344_RybD
STnc3340	53	69	29	29	4		49		63	49	79	455	78	101	52		33	65		73	26	52	92	123		28	STnc3340		sRNA	863329	863391	-			SL1344_STnc3340
STnc980	40	40	21	21	36		22		21	28	109	77	54	55	25		65	92		15	26	96	79	105		45	STnc980		sRNA	889558	889714	-			SL1344_STnc980
RybA	523	318	830	713	2756		582		4395	2045	446	3916	747	516	81		222	1277		281	1414	2638	7687	2342		1801	RybA		sRNA	901301	901397	-			SL1344_RybA
STnc1200	430	1037	825	2798	166		549		320	912	907	996	60	1201	1529		1400	1263		1257	1397	578	1527	1621		656	STnc1200		sRNA	924769	924838	-			SL1344_STnc1200
STnc1710	73	76	110	237	833		137		191	167	116	201	42	99	123		158	168		108	89	243	350	233		84	STnc1710		sRNA	932197	932336	+			SL1344_STnc1710
RybB	430	582	412	316	5212		631		1577	479	337	1332	600	291	745		1190	270		519	764	11615	813	1171		2001	p25		sRNA	941815	941893	-			SL1344_RybB
STnc490	0	0	0	0	0		0		0	0	0	0	0	0	0		0	0		0	0	0	0	0		0	STnc490		sRNA	981622	981711	-			SL1344_STnc490
STnc3310	155	146	138	121	150		168		170	146	166	175	161	143	188		201	168		160	166	290	139	288		86	STnc3310		sRNA	1009199	1009379	-			SL1344_STnc3310
STnc3330	0	2	10	27	6		0		4	15	4	0	14	4	182		29	1		0	1	6	10	3		5	STnc3330		sRNA	1024493	1024591	-			SL1344_STnc3330
STnc3350	67	72	45	69	19		84		58	157	49	29	68	61	88		41	64		104	103	83	83	176		6	STnc3350		sRNA	1047936	1048028	+			SL1344_STnc3350
STnc4200	108	124	94	43	26		193		553	149	130	195	104	145	210		128	94		136	102	179	127	291		64	STnc4200		sRNA	1055773	1055892	+			SL1344_STnc4200
IsrB-2	0	1	6	2	0		1		0	2	1	2	5	6	8		6	6		1	0	0	0	0		0	IsrB-2		sRNA	1060740	1060833	-			SL1344_IsrB-2
IsrB-1	354	436	494	1061	136		419		292	450	400	827	52	455	436		473	413		1227	542	376	808	676		333	IS092		sRNA	1060741	1060835	+			SL1344_IsrB-1
STnc1080	1171	1091	1056	1947	168		1253		662	641	915	1768	115	1282	1028		1358	1582		3334	1694	1290	2173	2127		1402	STnc1080		sRNA	1062745	1062806	-			SL1344_STnc1080
STnc3390	11	1	8	10	2		3		20	12	8	12	7	7	37		28	9		8	18	401	15	31		15	STnc3390		sRNA	1113731	1113815	-			SL1344_STnc3390
STnc1880	236	144	146	63	42		324		669	223	163	236	122	151	239		162	124		99	84	173	121	210		74	STnc1880		sRNA	1153745	1153841	+			SL1344_STnc1880
STnc3400	17	17	27	37	29		20		43	48	24	60	17	21	9		34	44		20	79	115	18	31		29	STnc3400		sRNA	1154915	1154976	+			SL1344_STnc3400
STnc500	117	163	3428	1053	618		95		179	442	152	225	169	178	691		4419	1930		465	273	340	403	514		178	STnc500		sRNA	1172561	1172641	-			SL1344_STnc500
STnc3040	9	12	22	21	83		18		17	12	14	104	12	19	42		21	28		19	11	41	48	88		9	STnc3040		sRNA	1198646	1198752	+			SL1344_STnc3040
STnc840	469	573	840	1201	460		266		608	222	332	1887	157	315	958		963	661		1682	102	692	1249	1738		44	STnc840		sRNA	1224244	1224316	+			SL1344_STnc840
SraB	807	735	658	307	38		457		584	531	589	333	349	527	622		851	703		532	668	659	216	716		232	pke2		sRNA	1231270	1231378	+			SL1344_SraB
STnc850	91	98	199	517	4287		184		74	149	178	1144	151	147	151		162	469		210	333	269	303	347		151	STnc850		sRNA	1252598	1252673	+			SL1344_STnc850
STnc1090	39	50	42	26	13		27		62	37	34	71	56	63	90		71	56		54	56	144	35	116		58	STnc1090		sRNA	1252560	1252626	-			SL1344_STnc1090
STnc3410	48	231	216	266	78		107		159	273	309	116	27	257	341		432	227		151	535	364	264	321		42	STnc3410		sRNA	1254996	1255077	-			SL1344_STnc3410
STnc150	35	29	42	45	67		79		50	60	30	83	55	51	50		69	52		50	144	320	64	90		267	STnc150		sRNA	1282521	1282677	-			SL1344_STnc150
IsrC	4	2	7	8	6		4		4	3	8	24	5	2	9		9	17		6	11	6	7	8		16	IS102		sRNA	1285998	1286285	+			SL1344_IsrC
STnc3420	7	6	26	21	39		16		30	15	16	32	20	10	38		27	15		22	13	34	27	32		13	STnc3420		sRNA	1289667	1289799	-			SL1344_STnc3420
STnc520	273	538	1703	4539	61		352		129	581	868	921	437	795	760		3213	5234		458	517	298	692	439		287	STnc520		sRNA	1290590	1290674	-			SL1344_STnc520
STnc1760	59	48	55	73	175		47		70	125	59	35	22	73	111		99	67		41	57	67	137	79		12	STnc1760		sRNA	1292835	1292935	-			SL1344_STnc1760
STnc1210	228	401	217	778	661		452		250	369	365	925	18	745	767		312	304		268	352	249	209	697		284	STnc1210		sRNA	1292956	1293014	+			SL1344_STnc1210
STnc1990	105	110	176	89	91		128		152	128	158	392	241	173	168		124	177		138	156	181	133	348		65	STnc1990		sRNA	1294841	1294974	+			SL1344_STnc1990
STnc3430	60	63	64	72	51		16		85	53	73	102	49	72	107		81	87		45	176	130	138	175		59	STnc3430		sRNA	1294946	1295057	-			SL1344_STnc3430
IsrD	0	0	0	1	0		0		0	0	0	0	0	0	0		5	0		0	0	0	0	1		1	IsrD		sRNA	1302591	1302641	-			SL1344_IsrD
STnc3440	19	21	103	66	161		14		19	6	16	55	60	30	35		65	108		53	242	347	18	162		32	STnc3440		sRNA	1303294	1303380	+			SL1344_STnc3440
RyhB-2	161	109	22	37	7831		103		230	247	103	115	776	3328	41		24	46		217	12	10	3253	318		3127	isrE RfrB		sRNA	1309727	1309937	-			SL1344_RyhB-2
STnc1480	11	13	67	268	31		14		9	17	33	56	10	15	49		77	56		35	989	4064	205	61		3007	STnc1480		sRNA	1316874	1317268	+			SL1344_STnc1480
STnc1640	30	114	400	1090	1300		111		141	299	180	273	15	160	534		739	485		131	201	125	118	207		157	STnc1640		sRNA	1345883	1345970	+			SL1344_STnc1640
STnc2010	17	29	63	101	43		19		24	37	40	32	43	24	58		96	54		58	63	96	40	132		32	STnc2010		sRNA	1353832	1353959	+			SL1344_STnc2010
STnc3570	262	234	198	174	20		163		374	334	411	278	158	409	474		352	169		209	437	307	554	492		122	STnc3570		sRNA	1359017	1359183	-			SL1344_STnc3570
STnc3460	135	115	83	60	63		111		151	90	158	144	125	80	62		85	84		87	55	140	179	114		91	STnc3460		sRNA	1363846	1363967	+			SL1344_STnc3460
STnc4210	2	13	341	1508	2401		8		26	29	22	93	6	41	63		716	989		63	292	438	190	398		90	STnc4210		sRNA	1363925	1363997	-			SL1344_STnc4210
STnc540	286	350	406	982	327		302		282	580	469	417	293	371	491		655	529		349	850	407	362	488		449	sRNA14		sRNA	1376271	1376364	+			SL1344_STnc540
RprA	265	725	1343	3679	27864		1766		554	956	1609	15701	2213	661	1015		1638	2430		3954	1574	1135	2290	2037		307	IS083		sRNA	1401682	1401790	-			SL1344_RprA
RydB	127	178	263	517	123		181		223	414	304	100	31	278	341		763	255		651	646	888	485	785		826	tpe7 IS082		sRNA	1407278	1407371	+			SL1344_RydB
STnc1220	2	2	12	34	329		0		0	7	2	96	13	5	12		14	13		4	17	104	17	73		8	STnc1220		sRNA	1448718	1448790	-			SL1344_STnc1220
STnc4220	459	597	554	585	73		525		450	737	1026	278	218	648	259		257	575		920	918	516	587	238		111	STnc4220		sRNA	1464776	1464870	-			SL1344_STnc4220
STnc3500	8	10	16	29	58		12		14	10	8	61	21	13	44		46	20		17	35	74	88	69		11	STnc3500		sRNA	1495398	1495512	+			SL1344_STnc3500
STnc3510	24	41	104	57	23		23		23	36	55	37	42	61	65		59	68		68	53	28	21	60		16	STnc3510		sRNA	1506482	1506596	-			SL1344_STnc3510
STnc3480	65	79	66	32	5		219		47	113	132	25	31	59	35		23	37		28	23	23	12	23		16	STnc3480		sRNA	1519287	1519547	+			SL1344_STnc3480
MgrR	6438	5176	7288	8240	6888		8192		7785	8019	9124	7195	6596	5109	5054		6875	4267		12860	12147	12613	14545	12686		7203	MgrR	STnc560	sRNA	1550746	1550844	+			SL1344_MgrR
STnc2170	51	51	28	31	22		51		42	57	198	205	274	110	91		48	33		51	35	101	74	180		18	STnc2170		sRNA	1553669	1553737	-			SL1344_STnc2170
STnc3530	60	63	76	48	6		64		65	60	90	92	105	74	25		11	71		107	77	56	43	47		27	STnc3530		sRNA	1564332	1564503	+			SL1344_STnc3530
IsrF	13	26	23	22	3		31		24	27	16	37	27	29	36		28	22		23	25	17	27	27		19	IsrF		sRNA	1586724	1587013	-			SL1344_IsrF
STnc3540	65	87	154	192	12		36		88	92	114	38	117	166	112		156	144		133	183	132	62	73		86	STnc3540		sRNA	1605727	1605912	-			SL1344_STnc3540
STnc1110	199	217	372	682	891		239		118	173	125	273	189	222	182		418	510		288	272	691	130	326		81	STnc1110		sRNA	1643465	1643658	+			SL1344_STnc1110
RyjB	256	397	564	1307	839		281		138	266	323	488	122	474	770		1089	918		1029	2028	850	1101	1180		1751	RyjB	STnc1120	sRNA	1662190	1662282	-			SL1344_RyjB
RydC	8199	7810	5968	9422	7794		2908		9218	20508	9642	8530	6397	6965	11490		3901	2978		27345	8919	10235	30153	34986		3837	IS067		sRNA	1686526	1686591	+			SL1344_RydC
MicC	90	79	103	235	109		110		74	69	73	113	58	71	54		145	293		251	147	132	68	123		117	IS063 tke8		sRNA	1702531	1702639	-			SL1344_MicC
FnrS	26	44	90	2505	13		53		66	75	42	66	97	38	15974		17012	123		59	50	61	32	104		112	FnrS	STnc580	sRNA	1706784	1706905	-			SL1344_FnrS
STnc2030	0	5	9	30	817		8		0	6	10	32	2	5	3		12	10		8	6	10	3	20		6	STnc2030		sRNA	1784673	1784725	+			SL1344_STnc2030
STnc1270	543	471	639	265	40		601		637	758	744	498	550	531	390		703	424		329	519	608	211	330		177	STnc1270		sRNA	1789368	1789691	-			SL1344_STnc1270
STnc3580	55	42	92	83	131		35		91	82	93	194	51	87	206		148	54		108	46	38	184	217		21	STnc3580		sRNA	1798747	1798826	+			SL1344_STnc3580
STnc3600	11	11	12	15	19		3		6	7	16	99	17	16	16		18	18		66	24	57	89	81		8	STnc3600		sRNA	1812121	1812328	+			SL1344_STnc3600
STnc2040	2	4	8	192	42		2		0	3	4	3	0	2	709		21	12		11	30	23	19	21		44	STnc2040		sRNA	1819352	1819414	-			SL1344_STnc2040
STnc3610	49	28	47	28	42		27		55	60	46	90	39	44	46		31	44		127	102	109	47	135		13	STnc3610		sRNA	1850045	1850400	-			SL1344_STnc3610
STnc3620	19	21	94	111	53		23		8	29	32	136	66	56	61		79	116		20	44	121	33	51		18	STnc3620		sRNA	1866668	1866747	+			SL1344_STnc3620
STnc3630	11	24	84	380	46		19		45	73	20	39	31	22	644		966	94		17	56	125	56	112		18	STnc3630		sRNA	1894039	1894125	+			SL1344_STnc3630
STnc1130	47	40	47	41	15		38		43	67	34	100	62	37	50		57	44		88	91	247	55	171		45	STnc1130		sRNA	1913615	1913755	-			SL1344_STnc1130
STnc3640	11	21	49	42	29		28		70	37	26	40	16	32	40		39	45		40	41	59	50	137		18	STnc3640		sRNA	1915824	1916082	+			SL1344_STnc3640
SraC	122	146	414	504	179		219		525	506	315	471	166	271	159		262	640		495	765	760	2009	1956		330	RyeA		sRNA	1925543	1925853	+			SL1344_SraC
SdsR	1079	826	2196	7456	179771		1447		918	1459	851	2134	1333	899	2215		4402	2530		1710	5446	44010	2263	2425		2120	RyeB tpke79		sRNA	1925621	1925723	-			SL1344_SdsR
STnc1690	131	273	262	710	546		102		210	359	275	337	8	263	343		208	251		776	378	161	348	451		252	STnc1690		sRNA	1931455	1931546	+			SL1344_STnc1690
STnc200	44	103	77	87	74		56		146	38	82	86	70	130	258		127	71		99	112	100	164	138		24	STnc200		sRNA	1937130	1937244	-			SL1344_STnc200
RyeF	21	25	19	20	221		19		192	19	16	92	30	23	28		75	26		35	63	386	22	30		600	RyeF	STnc860	sRNA	1958513	1958819	-			SL1344_RyeF
STnc2180	5088	4025	4532	621	3		10257		10368	2792	7502	11252	1519	1702	1913		1566	2069		4603	1317	2441	153	1918		248	STnc2180		sRNA	1992863	1992913	-			SL1344_STnc2180
DsrA	489	1373	1526	1922	880		1076		2097	1911	800	3081	812	1315	3961		1691	891		2152	1629	1926	2329	6406		168	DsrA		sRNA	2026216	2026302	-			SL1344_DsrA
RseX	6	4	16	15	7		3		7	5	7	34	7	4	8		4	5		19	8	9	15	14		4	RseX		sRNA	2034743	2034837	+			SL1344_RseX
STnc1280	235	602	1048	3232	3801		398		435	838	521	575	254	800	1882		1591	1257		2461	7826	2759	2559	2312		4611	STnc1280		sRNA	2039984	2040056	+			SL1344_STnc1280
STnc1290	5735	6535	5277	8546	17947		5987		2528	5745	5914	9341	368	6771	7100		8116	7913		15375	18459	7547	12044	11948		16858	STnc1290		sRNA	2070801	2070988	-			SL1344_STnc1290
STnc1300	1597	1431	1149	2256	426		1760		1023	1104	1222	2722	216	1771	2375		2690	2799		6747	4642	3825	4691	5090		2798	STnc1300		sRNA	2071271	2071409	+			SL1344_STnc1300
STnc1310	138	230	408	572	49		77		241	451	243	530	434	189	532		582	316		425	211	925	679	1109		65	STnc1310		sRNA	2073265	2073338	+			SL1344_STnc1310
STnc2050	1049	1608	549	141	5		1833		6428	2233	1299	1563	779	989	249		100	301		927	219	80	17	63		38	STnc2050		sRNA	2082064	2082105	+			SL1344_STnc2050
STnc3680	163	214	138	156	35		197		206	266	245	92	60	194	137		141	125		86	126	48	64	102		67	STnc3680		sRNA	2088048	2088167	+			SL1344_STnc3680
STnc1530	15	40	40	92	133		25		52	75	50	58	15	37	82		108	81		35	110	196	79	165		28	STnc1530		sRNA	2101640	2101718	+			SL1344_STnc1530
STnc3700	51	25	25	68	39		24		50	44	93	95	28	36	101		65	33		80	102	187	163	148		29	STnc3700		sRNA	2131885	2131995	+			SL1344_STnc3700
STnc1650	46	62	59	93	69		47		69	106	55	60	32	62	117		137	82		65	88	127	112	172		20	STnc1650		sRNA	2132959	2133102	+			SL1344_STnc1650
STnc700	1726	1445	1626	1526	330		1437		3986	2397	1755	2529	1164	1747	2887		1881	1379		3116	3205	2054	2589	3990		727	STnc700		sRNA	2147102	2147280	+			SL1344_STnc700
STnc1320	25	44	33	48	47		30		34	42	61	52	41	55	88		74	45		52	61	89	85	106		17	STnc1320		sRNA	2174386	2174470	+			SL1344_STnc1320
RyeC	732	1459	3084	7271	1988		469		664	1931	981	2753	150	2400	4452		5003	3665		3731	5317	2718	4515	3415		4063	tp11 SibA		sRNA	2211623	2211760	+			SL1344_RyeC
STnc1150	325	392	513	489	219		143		372	548	427	434	577	423	332		247	410		750	736	1041	1079	847		262	STnc2060		sRNA	2222979	2223134	+			SL1344_STnc1150
CyaR	427	2696	13089	17655	797		1239		4405	7124	430	1267	4980	1415	12192		6037	880		3668	458	144	2048	1086		3017	ryeE		sRNA	2228847	2228932	+			SL1344_CyaR
STnc740	76	58	79	119	164		78		86	119	71	292	100	95	94		69	72		181	95	143	180	255		61	STnc740		sRNA	2240283	2240366	-			SL1344_STnc740
STnc1890	13	49	37	125	1511		15		60	10	42	60	7	68	60		44	54		36	127	316	274	240		21	STnc1890		sRNA	2250891	2250938	+			SL1344_STnc1890
STnc3720	11	12	31	85	69		8		21	19	19	46	13	29	74		53	40		17	57	181	54	127		10	STnc3720		sRNA	2264259	2264328	+			SL1344_STnc3720
STnc1330	69	69	311	584	1034		137		60	86	50	1666	223	119	294		400	342		209	479	1545	508	1799		335	STnc1330		sRNA	2268274	2268414	+			SL1344_STnc1330
STnc3010	143	136	207	121	16		182		185	189	131	198	208	174	245		197	165		200	155	127	146	245		94	STnc3010		sRNA	2310959	2311126	-			SL1344_STnc3010
STnc1340	250	88	166	1363	217		104		271	1736	224	181	125	150	1432		652	117		120	103	121	186	158		61	STnc1340		sRNA	2319956	2320037	-			SL1344_STnc1340
STnc1540	94	188	155	366	190		100		76	188	182	240	40	219	272		283	215		339	266	108	145	203		54	STnc1540		sRNA	2321042	2321137	-			SL1344_STnc1540
IsrG	7	6	4	2	0		2		4	2	5	2	2	7	1		3	9		6	7	10	0	2		3	IsrG		sRNA	2342448	2342729	+			SL1344_IsrG
MicF	641	961	936	322	1579		969		647	2824	3859	2160	3796	2267	3473		3367	1175		59	333	2024	707	608		1527	MicF		sRNA	2364629	2364721	+			SL1344_MicF
IsrH_1_2	2	2	2	6	13		1		0	2	2	11	1	2	4		1	4		3	81	104	25	25		52	IsrH_1_2		sRNA	2392019	2392469	-			SL1344_IsrH_1_2
STnc1550	82	84	265	224	120		53		92	176	78	139	98	79	189		170	100		117	52	74	109	123		42	STnc1550		sRNA	2437665	2437806	+			SL1344_STnc1550
STnc1560	238	1333	491	534	405		399		692	1670	1589	1168	181	1305	1694		997	539		325	1093	292	664	530		134	STnc1560		sRNA	2449075	2449183	+			SL1344_STnc1560
STnc3730	7	22	32	41	25		11		18	32	47	42	28	22	30		24	30		60	162	135	85	63		141	STnc3730		sRNA	2449087	2449281	-			SL1344_STnc3730
STnc3740	27	39	45	137	943		27		10	33	27	76	7	56	80		126	146		105	247	302	125	169		111	STnc3740		sRNA	2459768	2459846	+			SL1344_STnc3740
STnc3750	0	6	31	62	155		9		3	10	5	70	19	12	26		35	46		19	121	170	40	94		180	STnc3750		sRNA	2503726	2503803	-			SL1344_STnc3750
tpke70	3	7	6	6	4		5		21	9	3	11	6	5	8		5	9		5	6	11	3	10		9	tpke70		sRNA	2513324	2513722	-			SL1344_tpke70
STnc3760	35	60	52	65	20		33		44	62	69	108	44	101	248		174	72		68	65	53	185	146		28	STnc3760		sRNA	2515508	2515633	+			SL1344_STnc3760
STnc2070	1333	866	706	831	301		1654		1745	1266	726	2209	421	1245	891		1018	1443		693	1508	1939	1097	1779		985	STnc1370		sRNA	2672469	2672567	-			SL1344_STnc2070
RyfA	91	130	144	181	26		53		60	72	139	111	164	179	214		313	202		109	356	383	363	202		351	tp1 PAIR3		sRNA	2672651	2672944	+			SL1344_RyfA
GlmY	2514	2769	1871	2323	1668		1423		2287	1358	2015	3127	316	3109	1496		2692	3650		6174	7565	3959	3198	1660		9838	tke1 sroF		sRNA	2705381	2705564	-			SL1344_GlmY
STnc1380	196	393	287	857	19		470		213	255	404	725	41	563	729		856	784		523	726	322	607	565		252	STnc1380		sRNA	2729634	2729701	-			SL1344_STnc1380
STnc3770	80	84	37	64	15		146		258	202	77	149	42	91	127		79	62		88	92	72	69	143		34	STnc3770		sRNA	2743288	2743373	+			SL1344_STnc3770
STnc1920	90	75	134	205	122		66		61	137	105	148	113	74	202		130	105		189	139	192	112	270		157	STnc1920		sRNA	2756549	2756646	+			SL1344_STnc1920
IsrI	20	11	32	31	31		26		39	7	10	37	12	15	25		31	38		16	26	77	22	67		52	IsrI		sRNA	2759018	2759265	-			SL1344_IsrI
