locus_tag	common gene name	strand	start	end	25C
SL1344_0061	citE2	+	70003	70872	0
SL1344_0062	citF2	+	70883	72403	1
SL1344_0063	citX2	+	72403	72954	0
SL1344_0064	citG2	+	72947	73840	1
SL1344_0065	dapB	+	74020	74841	41
DapZ		+	74847	74924	1805
STnc3230		-	75015	74894	119
SL1344_0066A		+	75091	75438	0
SL1344_0067	carA	+	75883	77031	10
SL1344_0068	carB	+	77050	80277	8
SL1344_0069	caiF	+	80551	80946	8
SL1344_0070	caiE	-	81023	81619	3
SL1344_0071	caiD	-	81728	82513	1
SL1344_0072	caiC	-	82567	84120	3
SL1344_0073	caiB	-	84183	85454	2
SL1344_0074	caiA	-	85512	86654	2
SL1344_0075	caiT	-	86689	88206	1
SL1344_0076	fixA	+	88687	89457	1
SL1344_0077	fixB	+	89473	90414	0
SL1344_0078	fixC	+	90464	91750	0
SL1344_0079	fixX	+	91747	92034	2
SL1344_0080	yaaU	+	92181	93521	6
SL1344_0081		+	93610	93840	9
SL1344_0082		+	94134	94550	14
STnc470		-	94741	94653	68
SL1344_0083		-	94774	95064	22
STnc4170		+	95102	95188	66
SL1344_0083A		-	95134	95226	11
SL1344_0084		+	95962	97851	5
SL1344_0085		-	98056	98121	2
SL1344_0086	yabF	+	98258	98788	6
SL1344_0087	kefC	+	98781	100643	5
SL1344_0088	folA	+	100842	101321	185
SL1344_0089	apaH	-	101427	102275	45
STnc3240		-	101483	101322	47
SL1344_0090	apaG	-	102286	102663	130
SL1344_0091	ksgA	-	102666	103487	137
SL1344_0092	pdxAa	-	103484	104473	324
SL1344_0093	surA	-	104473	105759	132
SL1344_0094	imp	-	105813	108173	109
SL1344_0095	djlA	+	108427	109239	71
STnc4180		-	109322	109243	98
SL1344_0096	rluA	-	109334	109993	82
SL1344_0097	hepA	-	110005	112911	39
SL1344_0098	polB	-	113085	115436	17
SL1344_0099		-	115480	116100	15
SL1344_0099A		-	116195	116254	2
SL1344_0100		+	116819	117238	5
SL1344_0101	araD	-	117244	117939	1
SL1344_0102	araA	-	118080	119582	1
SL1344_0103	araB	-	119593	121302	0
SL1344_0104	araC	+	121643	122488	12
SL1344_0105	yabI	+	122607	123374	37
SL1344_0106	thiQ	-	123413	124120	14
SL1344_0107	thiP	-	124104	125714	25
SL1344_0108	tbpA	-	125690	126673	29
SroA		-	126802	126713	12648
SL1344_0109	yabN	-	126851	128509	7
SgrS		+	128577	128808	364
SL1344_0109A	sgrT	+	128602	128724	0
SL1344_0110	leuD	-	129060	129665	3
SL1344_0111	leuC	-	129676	131076	2
SL1344_0112	leuB	-	131079	132170	5
SL1344_0113	leuA	-	132170	133741	2
SL1344_0114	leuL	-	133829	133915	541
SL1344_0115	leuO	+	134572	135516	1
SL1344_0116	ilvI	+	135901	137562	8
SL1344_0117	ilvH	+	137565	138056	11
STnc1500		-	138274	138100	36
SL1344_0118	fruR	+	138340	139344	35
SL1344_0119	mraZ	+	139950	140408	254
SL1344_0120	mraW	+	140410	141351	162
SL1344_0121	ftsL	+	141348	141713	139
SL1344_0122	ftsI	+	141729	143495	193
SL1344_0123	murE	+	143482	144969	87
SL1344_0124	murF	+	144966	146324	86
SL1344_0125	mraY	+	146318	147400	84
SL1344_0126	murD	+	147403	148719	103
SL1344_0127	ftsW	+	148806	149963	90
SL1344_0128	murG	+	149960	151027	90
SL1344_0129	murC	+	151146	152621	81
SL1344_0130	ddl	+	152614	153534	134
SL1344_0131	ftsQ	+	153536	154366	145
SL1344_0132	ftsA	+	154363	155625	174
SL1344_0133	ftsZ	+	155686	156837	116
SL1344_0134	lpxC	+	156938	157855	452
SL1344_0135	yacA	+	158203	158631	108
SL1344_0136	secA	+	158693	161398	123
SL1344_0137	mutT	+	161550	161945	24
SL1344_0138	yacG	-	162267	162458	69
SL1344_0139	yacF	-	162468	163211	33
SL1344_0140	coaE	-	163211	163831	56
SL1344_0141	guaC	+	164057	165100	69
SL1344_0142	pilC	-	165131	166333	1
SL1344_0143	pilB	-	166323	167708	0
SL1344_0144	pilA	-	167718	168155	0
SL1344_0145	nadC	-	168377	169123	17
SL1344_0146	ampD	+	169358	169921	51
SL1344_0147	ampE	+	169918	170772	49
SL1344_0148		-	170864	171814	10
SL1344_0149		-	171814	173220	2
SL1344_0150	aroP	-	173384	174757	10
SL1344_0151	pdhR	+	175320	176084	855
tp2		-	176242	176086	1
SL1344_0152	aceE	+	176244	178907	546
SL1344_0153	aceF	+	178922	180811	626
SL1344_0154	lpdA	+	181011	182435	676
SL1344_0155		+	182724	183008	35
SL1344_0156		-	183046	183837	1
SL1344_0157	yacH	-	183850	185464	4
SL1344_0159	acnB	+	185853	188450	90
SL1344_0160		-	188511	189353	289
SL1344_0161	yacL	+	189599	189961	40
SL1344_0162	kdgT	+	190196	191149	5
SL1344_0163		+	191146	192417	4
SL1344_0164	pdxAb	+	192407	193390	35
SL1344_0165		+	193400	194167	54
SL1344_0166	speD	-	194197	194991	123
SL1344_0167	speE	-	195012	195872	72
SL1344_0168	yacC	-	195979	196326	175
SL1344_0169	cueO	+	196528	198138	11
SL1344_0170	gcd	-	198216	200606	9
SL1344_0171	hpt	+	200812	201348	287
SL1344_0172	yadF	-	201406	202068	283
SL1344_0173	yadG	+	202177	203103	26
SL1344_0174	yadH	+	203100	203870	18
SL1344_0175	stiH	-	203987	205066	1
SL1344_0176	stiC	-	205075	207621	1
SL1344_0177	stiB	-	207648	208331	0
SL1344_0178	stiA	-	208379	208918	1
SL1344_0179	yadI	+	209289	209729	4
SL1344_0180	yadE	+	209791	211020	17
STnc4190		-	209971	209868	48
SL1344_0181	panD	-	211027	211407	154
SL1344_0182	panC	-	211502	212356	32
SL1344_0183	panB	-	212482	213273	28
SL1344_0184	folK	-	213394	213873	41
SL1344_0185	pcnB	-	213870	215288	125
SL1344_0186	yadB	-	215429	216370	24
SL1344_0187	dksA	-	216394	216849	262
SL1344_0188	sfsA	-	217026	217730	26
SL1344_0189	ligT	-	217747	218277	38
SL1344_0190	hrpB	+	218305	220779	23
SL1344_0191	mrcB	+	220920	223442	48
STnc3250		-	223676	223451	194
SL1344_0192	fhuA	+	223735	225924	95
SL1344_0193	fhuC	+	225973	226770	43
SL1344_0194	fhuD	+	226770	227660	54
SL1344_0195	fhuB	+	227657	229714	43
SL1344_0196	stfA	+	230653	231213	3
SL1344_0197	stfC	+	231299	233956	1
SL1344_0198	stfD	+	233974	234726	1
SL1344_0199	stfE	+	234790	235257	1
SL1344_0200	stfF	+	235254	235730	1
SL1344_0201	stfG	+	235730	236260	2
SL1344_0202		+	236260	237099	4
STnc1510		+	237091	237187	45
SL1344_0203	hemL	-	237207	238487	44
SL1344_0204	clcA	+	238657	240078	29
SL1344_0205	yadR	+	240160	240504	717
SL1344_0206	yadS	-	240605	241228	14
SL1344_0207	btuF	-	241265	242065	19
SL1344_0208	mtn	-	242058	242756	47
SL1344_0209	dgt	+	243051	244358	14
SL1344_0210	htrA	+	244488	245915	15
STnc3100		+	245838	245954	87
SL1344_0211	cdaR	+	246068	247225	8
SL1344_0212	yaeH	-	247314	247700	192
SL1344_0213		+	248223	249248	17
STnc3110		+	249153	249274	71
SL1344_0214	dapD	-	249285	250109	117
SL1344_0215	glnD	-	250139	252811	18
SL1344_0216	map	-	253048	253842	98
t44		+	254126	254264	1964
SL1344_0217	rpsB	+	254293	255018	1815
SL1344_0218	tsf	+	255276	256127	954
SL1344_0219	pyrH	+	256272	256997	218
SL1344_0220	frr	+	257144	257701	535
sRNA1		+	257725	257790	427
SL1344_0221	dxr	+	257842	259038	53
STnc920		+	259116	259164	428
SL1344_0222	uppS	+	259351	260109	269
SL1344_0223	cdsA	+	260122	260979	137
SL1344_0224	yaeL	+	260991	262343	277
SL1344_0225	yaeT	+	262375	264789	375
SL1344_0226	hlpA	+	264912	265397	1631
SL1344_0227	lpxD	+	265401	266426	315
SL1344_0228	fabZ	+	266532	266987	317
SL1344_0229	lpxA	+	266991	267779	254
SL1344_0230	lpxB	+	267779	268927	101
SL1344_0231	rnhB	+	268924	269520	112
SL1344_0232	dnaE	+	269544	273026	101
SL1344_0233	accA	+	273039	273998	144
SL1344_0234		+	274178	275941	17
SL1344_0235	ldcC	+	276017	278158	21
SL1344_0236	yaeR	+	278214	278603	23
SL1344_0237	mesJ	+	278747	279958	22
SL1344_0238	rof	-	280042	280296	261
SL1344_0239	yaeP	-	280289	280507	250
SL1344_0240	yaeQ	+	280687	281232	34
SL1344_0241	yaeJ	+	281229	281651	46
SL1344_0242	cutF	+	281683	282384	28
SL1344_0243	proS	-	282458	284176	67
SL1344_0244	yaeB	-	284287	284994	41
SL1344_0245	rcsF	-	284991	285395	79
SL1344_0246	metQ	-	285514	286329	143
SL1344_0247	yaeE	-	286368	287021	42
SL1344_0248	abc	-	287014	288045	36
SL1344_0249	yaeD	+	288235	288801	103
SL1344_0250	dkgB	+	295060	295863	21
SL1344_0251	yafC	-	295884	296798	4
SL1344_0252		+	296903	298078	2
SL1344_0253	yafD	+	298231	299010	30
SL1344_0254	yafE	+	299088	299858	11
SL1344_0255	dniR	-	299914	301281	187
SL1344_0256	gloB	-	301353	302108	11
SL1344_0257	yafS	+	302143	302865	20
SL1344_0258	rnhA	-	302862	303329	82
SL1344_0259	dnaQ	+	303393	304124	44
SL1344_0260	sciA	-	304656	305711	2
SL1344_0261	sciB	-	305722	306717	2
SL1344_0262	sciC	-	306714	308597	2
SL1344_0263	sciD	-	308613	309107	3
SL1344_0264	sciE	-	309104	309928	2
SL1344_0265	sciF	-	309915	310817	1
SL1344_0266	sciG	+	311185	313824	1
SL1344_0267	sciH	+	313924	314466	0
SL1344_0268	sciI	+	314490	315983	1
SL1344_0270	sciJ	+	316169	316615	3
SL1344_0271	sciK	+	316869	317354	1
SL1344_0272		+	317659	318144	8
SL1344_0273		+	318129	318512	3
SL1344_0274	sciK1	+	318655	319140	1
SL1344_0275	sciN	+	319207	319743	1
SL1344_0276	sciO	+	319747	321090	1
SL1344_0277	sciP	+	321087	322391	1
SL1344_0278	sciQ	+	322396	323169	1
SL1344_0279	sciR	+	323372	323803	3
SL1344_0280	sciS	+	323837	327706	2
SL1344_0281	sciT	+	327706	328494	1
SL1344_0282	sciU	+	328491	328907	2
SL1344_0283	sciV	+	328931	329452	2
SL1344_0284	vgrS	+	329849	332038	1
SL1344_0285	sciW	+	332062	332508	1
SL1344_0286		+	332521	336123	7
SL1344_0286A		+	336117	336380	53
SL1344_0286B		+	336396	337313	31
SL1344_0288	sciX	+	337307	337753	21
SL1344_0289	sciY	+	338265	338753	11
IsrA		+	339238	338816	2
SL1344_0291		+	339522	339830	5
SL1344_0292		-	339867	340180	1
SL1344_0293		+	340233	340373	7
SL1344_0294		+	340510	340975	0
SL1344_0295	safA	+	341687	342199	11
SL1344_0296	safB	+	342307	343020	4
SL1344_0297	safC	+	343044	345554	3
SL1344_0298	safD	+	345576	346046	5
SL1344_0299	ybeJ	+	346452	347273	1
SL1344_0300	sinR	+	348088	349035	17
SL1344_0301		+	349152	349367	3
SL1344_0302	pagN	-	349371	350090	26
SL1344_0303	sciZ	-	350421	350828	16
STnc1030		+	350892	351095	2
STnc1040		-	351100	351053	12
SL1344_0304	yafV	-	351199	351966	19
SL1344_0305	fadE	-	352075	354519	5
SL1344_0306	gmhA	+	354759	355337	89
SL1344_0307	yafJ	+	355550	356317	36
SL1344_0308	yafK	-	356288	357028	56
SL1344_0309	dbh	+	357278	358333	27
SL1344_0310		+	358540	359684	9
SL1344_0311	prfH	+	359681	360295	4
SL1344_0312	pepD	-	360451	361908	90
SL1344_0313	gpt	+	362157	362615	277
SL1344_0314	frsA	+	362704	363948	43
SL1344_0315	crl	+	364006	364407	280
SL1344_0316	phoE	-	364458	365510	4
SL1344_0317	proB	+	365793	366896	28
SL1344_0318	proA	+	366908	368158	26
SL1344_0319		-	368675	369475	1
SL1344_0320	dhaF	+	369393	370107	2
SL1344_0322		+	370217	370540	114
SL1344_0323		+	370836	372119	1
SL1344_0324	leuC2	+	372251	373465	1
SL1344_0325	leuD2	+	373674	374300	0
SL1344_0326		+	374315	375193	3
SL1344_0327		+	375193	376107	3
STnc3270		+	376115	376194	52
SL1344_0328		+	376141	377106	5
SL1344_0329		-	377051	377323	4
SL1344_0330		+	378014	378412	9
SL1344_0331	stbE	-	378459	379217	4
SL1344_0332	stbD	-	379183	380508	4
SL1344_0333	stbC	-	380513	383080	4
SL1344_0334	stbB	-	383064	383825	1
SL1344_0335	stbA	-	383887	384423	0
SL1344_0336		+	385057	385821	18
SL1344_0337		+	385794	386294	14
STnc1700		+	386381	386476	79
SL1344_0338		+	386594	388168	7
SL1344_0339		+	388268	389011	46
SL1344_0340		+	388984	389472	27
SL1344_0341		+	389874	390398	2
SL1344_0342		+	390542	391183	3
SL1344_0343		+	391194	391418	3
SL1344_0344		+	391476	391835	4
SL1344_0345		-	391905	393362	1
SL1344_0346		-	393379	396546	1
SL1344_0347		-	396543	397553	0
SL1344_0348		+	398046	400334	1
SL1344_0349		+	400346	400810	3
SL1344_0350		+	400888	401082	13
SL1344_0351		+	401375	402628	4
SL1344_0352	mod	+	402817	404775	42
SL1344_0353	res	+	404782	407757	31
SL1344_0354		+	408034	408135	33
SL1344_0355		+	408252	409655	3
SL1344_0356		+	409652	410662	6
SL1344_0357		+	410679	410903	1
SL1344_0358		+	410999	412003	12
SL1344_0359	foxA	+	412149	414257	3
SL1344_0360	yahN	-	414298	414930	20
SL1344_0361	yahO	+	415162	415437	22
SL1344_0362	prpR	-	415573	417198	11
SL1344_0363	prpB	+	417463	418350	1
STnc3280		-	418463	418391	77
SL1344_0364	prpC	+	418473	419642	1
SL1344_0365	prpD	+	419682	421133	1
SL1344_0366	prpE	+	421174	423060	1
SL1344_0367	hemB	-	423164	424138	55
SL1344_0368	yaiU	+	424651	427587	9
SL1344_0369	yaiV	+	427673	428296	5
SL1344_0370	ampH	-	428341	429471	20
SL1344_0371	sbmA	+	429947	431065	14
SL1344_0372	yaiW	+	431080	432174	15
SL1344_0373	yaiY	-	432212	432520	6
SL1344_0374	yaiZ	+	432788	433003	128
SL1344_0375	ddlA	-	433029	434123	50
SL1344_0376		+	434201	434914	2
SL1344_0377		+	435083	436294	6
SL1344_0378	yaiB	+	436585	436851	231
STnc4150		-	437082	436953	17
SL1344_0379	psiF	+	437203	437523	16
SL1344_0380	adrA	+	437615	438727	6
SL1344_0381	proC	-	438742	439551	27
SL1344_0382	yaiI	+	439691	440146	22
SL1344_0383	aroL	+	440331	440876	54
SL1344_0384	yaiA	+	440903	441094	151
SL1344_0385	aroM	+	441345	442022	30
SL1344_0386	yaiE	+	442093	442377	121
SL1344_0387	rdgC	-	442415	443326	68
SL1344_0388	yajF	+	443452	444360	11
SL1344_0389	araJ	-	444382	445554	17
SL1344_0390	sbcC	-	445727	448867	16
SL1344_0391	sbcD	-	448864	450066	25
SL1344_0392	phoB	+	450281	450970	56
SL1344_0393	phoR	+	451040	452335	25
SL1344_0394	brnQ	+	452744	454063	74
SL1344_0395	proY	+	454138	455508	58
SL1344_0396	malZ	+	455670	457487	10
SL1344_0397	tsaA	-	457559	458161	251
SL1344_0398	yajB	-	458371	458952	32
SL1344_0399	queA	+	459046	460110	116
SL1344_0400	tgt	+	460307	461434	207
SL1344_0401	yajC	+	461457	461789	538
SL1344_0402	secD	+	461817	463664	217
SL1344_0403	secF	+	463675	464646	172
SL1344_0404		+	464794	465159	22
SL1344_0405		+	465185	465877	14
SL1344_0406	yajD	+	466047	466394	81
STnc1060		-	466783	466718	1750
SL1344_0407	tsx	-	467023	467886	211
SL1344_0408	yajI	-	468186	468725	3
SL1344_0409	nrdR	+	468877	469326	117
SL1344_0410	ribD	+	469330	470433	42
SL1344_0411	ribH	+	470522	470992	392
SL1344_0412	nusB	+	471013	471432	503
SL1344_0413	thiL	+	471511	472488	64
SL1344_0414	pgpA	+	472466	472981	60
SL1344_0415	yajO	-	473085	474059	19
SL1344_0416	dxs	-	474116	475978	42
SL1344_0417	ispA	-	476002	476901	53
SL1344_0418	xseB	-	476902	477144	79
SL1344_0419	thiI	+	477354	478802	81
SL1344_0420	phnV	-	478846	479643	2
SL1344_0421	phnU	-	479646	480506	2
SL1344_0422	phnT	-	480509	481618	2
SL1344_0423	phnS	-	481624	482568	3
SL1344_0424	phnR	-	482835	483554	6
SL1344_0425	phnW	+	483694	484797	1
SL1344_0426	phnX	+	484804	485616	0
SL1344_0427	thiJ	-	485713	486303	28
SL1344_0428	apbA	-	486266	487177	26
SL1344_0429	yajQ	+	487285	487794	310
SL1344_0430	yajR	-	487841	489205	21
SL1344_0430A		-	489507	489698	10
SL1344_0431		+	489742	491253	9
SL1344_0432		+	491475	492758	18
SL1344_0433	cyoE	-	492840	493730	521
SL1344_0434	cyoD	-	493742	494071	506
SL1344_0435	cyoC	-	494071	494586	329
SL1344_0436	cyoB	-	494675	496666	356
SL1344_0437	cyoA	-	496677	497633	755
SL1344_0438	ampG	-	498086	499561	31
SL1344_0439	yajG	-	499605	500237	86
SL1344_0440	bolA	+	500487	500804	328
SL1344_0441	tig	+	501151	502449	689
SL1344_0442	clpP	+	502696	503319	153
SL1344_0443	clpX	+	503571	504842	271
SraA		-	504976	504870	22
SL1344_0444	lon	+	505028	507382	117
SL1344_0445	hupB	+	507591	507863	979
SL1344_0446	cypD	+	508154	510025	125
SL1344_0447	comE1	+	510175	510549	5
SL1344_0448	ybaW	+	510653	511051	3
SL1344_0449	ybaX	-	511157	511852	46
SL1344_0450	ybaE	-	511917	513617	3
SL1344_0451	cof	+	513718	514536	12
STnc930		+	514484	514578	157
SL1344_0452		-	514586	515641	6
SL1344_0453	ybaO	+	515754	516212	31
SL1344_0454	mdlA	+	516253	518025	18
SL1344_0455	mdlB	+	518018	519799	16
SL1344_0456	glnK	+	520012	520350	9
SL1344_0457	amtB	+	520382	521668	12
SL1344_0458	tesB	-	521768	522628	21
SL1344_0459	ybaY	+	522843	523412	16
SL1344_0460	ybaZ	-	523445	523756	38
4.5S		+	523912	524027	15329
SL1344_0461	ylaB	-	524065	525615	23
SL1344_0462	rpmE2	+	525840	526100	26
SL1344_0463	rpmJa	+	526163	526246	60
SL1344_0464	ylaC	-	526302	526772	121
SL1344_0465	maa	-	526889	527440	79
SL1344_0466	hha	-	527619	527837	202
SL1344_0467	ybaJ	-	527865	528239	186
SL1344_0468	acrB	-	528735	531884	80
SL1344_0469	acrA	-	531907	533100	77
SL1344_0470	acrR	+	533242	533895	62
SL1344_0471	aefA	+	534014	537376	37
SL1344_0472		-	537418	538353	22
SL1344_0473	ybaM	-	538423	538590	34
SL1344_0474	priC	-	538604	539119	11
SL1344_0476	apt	+	539730	540281	135
SL1344_0477	dnaX	+	540395	542323	145
SL1344_0478	ybaB	+	542369	542698	116
SL1344_0479	recR	+	542698	543303	151
SL1344_0480	htpG	+	543414	545288	77
STnc3130		-	545385	545302	38
SL1344_0481	adk	+	545529	546173	258
SL1344_0482	hemH	+	546402	547364	29
SL1344_0483	aes	-	547361	548332	0
SL1344_0484	gsk	+	548485	549789	53
SL1344_0485	ybaL	-	549838	551514	25
SL1344_0486	fsr	-	551729	552949	13
SL1344_0487	ushA	+	553122	554774	30
SL1344_0488	ybaK	-	554891	555370	39
ChiX		+	555450	555566	34165
SL1344_0489	ybaP	-	555572	556366	17
SL1344_0490		-	556452	557279	6
SL1344_0491	copA	-	557433	559934	9
SL1344_0492	cueR	+	560044	560460	28
SL1344_0493	ybbJ	-	560461	560913	14
SL1344_0494	ybbK	-	560910	561827	18
SL1344_0495	ybbL	+	561974	562651	14
SL1344_0496	ybbM	+	562638	563417	11
SL1344_0497	ybbN	-	563503	564357	35
SL1344_0498	ybbO	-	564417	565187	23
SL1344_0499	tesA	-	565342	565956	16
SL1344_0500	ybbA	+	565927	566613	7
SL1344_0501	ybbP	+	566610	569024	11
STnc950		+	569023	569074	19
SL1344_0502		+	569210	570343	18
SL1344_0503	sfbA	+	570600	571430	15
SL1344_0504	sfbB	+	571467	572483	9
SL1344_0505	sfbC	+	572476	573135	12
SL1344_0506	ybbB	-	573174	574268	22
SL1344_0507	ybbS	-	574338	575264	2
SL1344_0508	allA	+	575491	575973	9
SL1344_0509	allR	+	576052	576870	21
SL1344_0510	gcl	+	576955	578736	1
SL1344_0511	gip	+	578749	579525	2
SL1344_0512	garRa	+	579626	580504	1
SL1344_0513		+	580570	581817	1
SL1344_0515	allP	+	581913	583367	0
SL1344_0516	allB	+	583446	584807	0
SL1344_0517	ybbY	+	584866	586164	1
SL1344_0518	glxK	+	586187	587335	1
STnc480		-	587412	587347	165
SL1344_0519	ylbA	-	587415	588200	10
SL1344_0520	allC	-	588211	589446	1
SL1344_0521	allD	-	589468	590517	1
SL1344_0522	fdrA	+	590848	592512	0
SL1344_0523	ylbE	+	592522	593781	1
SL1344_0524	ylbF	+	593793	594602	1
SL1344_0525	arcC	+	594606	595499	2
SL1344_0526	purK	-	595540	596607	24
SL1344_0527	purE	-	596604	597113	36
SL1344_0528	lpxH	-	597231	597953	56
SL1344_0529	ppiB	-	597956	598450	325
SL1344_0530	cysS	+	598623	600008	92
SL1344_0531		-	600052	600876	3
SL1344_0532		-	600873	601310	3
SL1344_0533	ybcI	-	601303	601848	4
SL1344_0534	ybcJ	-	601976	602188	155
SL1344_0535	folD	-	602190	603056	91
SL1344_0536	fimA	+	603618	604160	4
SL1344_0537	fimI	+	604236	604769	1
SL1344_0538	fimC	+	604813	605505	0
SL1344_0539	fimD	+	605536	608148	1
SL1344_0540	fimH	+	608163	609170	2
SL1344_0541	fimF	+	609180	609698	3
SL1344_0542	fimZ	-	609744	610376	6
SL1344_0543	fimY	-	610980	611702	0
SL1344_0544		-	611721	612032	0
SL1344_0545	fimW	-	612194	612790	4
SL1344_0546		-	613262	613552	2
SL1344_0547		-	614292	615944	47
SL1344_0548	gtrBa	-	615925	616851	38
SL1344_0549	gtrAa	-	616848	617210	32
STnc1870		+	617317	617426	10
SL1344_0550		-	618078	618407	1
SL1344_0550A	cusA	+	618456	618692	19
SL1344_0551	ykgD	-	618746	619600	2
SL1344_0552	ykgC	+	619816	621141	3
SL1344_0553		+	621298	621534	1
SL1344_0554	ykgB	+	621547	622107	1
SL1344_0555		-	622186	623361	40
SL1344_0556	pheP	+	623687	625081	120
SL1344_0557	ybdG	-	625123	626253	22
SL1344_0558	apeE	+	626681	628651	5
SL1344_0559		+	628818	631547	6
SL1344_0560		-	631675	632661	0
SL1344_0561		-	632728	633771	0
SL1344_0562	manZ	-	633804	634658	0
SL1344_0563	manY	-	634661	635335	0
SL1344_0564	manX	-	635419	635889	0
SL1344_0565		-	635867	636316	0
SL1344_0566	nfnB	-	636516	637169	27
SL1344_0567	ybdF	-	637266	637634	12
SL1344_0568	ramR	-	637634	638215	17
SL1344_0569	ramA	+	638504	638845	11
SL1344_0570	ybdJ	-	638851	639099	20
SL1344_0571	ybdK	-	639166	640284	5
SL1344_0572	entD	-	640296	641000	4
SL1344_0573	fepA	-	641046	643301	15
SL1344_0574	fes	+	643490	644704	19
SL1344_0575	ybdZ	+	644735	644953	17
SL1344_0576	entF	+	644950	648834	12
SL1344_0577	fepE	+	649084	650220	45
SL1344_0578	fepC	-	650273	651067	46
SL1344_0579	fepG	-	651064	652053	36
SL1344_0580	fepD	-	652053	653060	71
SL1344_0581	ybdA	+	653171	654415	63
SL1344_0582	fepB	-	654478	655434	14
SL1344_0583	entC	+	655743	656918	15
SL1344_0584	entE	+	656928	658538	19
SL1344_0585	entB	+	658552	659409	10
SL1344_0586	entA	+	659409	660164	16
SL1344_0587	ybdB	+	660167	660580	15
SL1344_0588	cstAa	+	660762	662867	24
SL1344_0589	ybdD	+	662931	663128	24
SL1344_0590	ybdH	-	663164	664252	5
SL1344_0591	ybdL	+	664379	665539	9
SL1344_0592	ybdM	-	665540	666157	5
SL1344_0593	ybdN	-	666130	667365	9
SL1344_0594	ybdO	-	667531	668433	19
STnc3180		+	668611	668719	0
SL1344_0595	dsbG	-	668750	669496	12
STnc070		+	669642	669793	1061
SL1344_0596	ahpC	+	669937	670500	279
SL1344_0597	ahpF	+	670742	672307	32
SL1344_0598		+	672639	673199	0
SL1344_0599		+	673192	675471	2
SL1344_0600		+	675468	676025	1
SL1344_0601		+	676025	676792	8
SL1344_0602	ybdQ	-	676860	677288	229
SL1344_0603	ybdR	+	677511	678749	2
SL1344_0604	rnk	-	678832	679242	70
sRNA10		-	679410	679315	121
SL1344_0605	rna	-	679477	680283	51
SL1344_0606	citT	-	680393	681856	4
SL1344_0607	citG	-	681894	682790	0
SL1344_0608	citX	-	682762	683313	1
SL1344_0609	citF	-	683317	684846	0
SL1344_0610	citE	-	684856	685764	0
SL1344_0611	citD	-	685761	686057	1
SL1344_0612	citC	-	686054	687130	1
SL1344_0613	citA	+	687515	689176	3
SL1344_0614	citB	+	689145	689825	6
SL1344_0615	dcuC	-	689879	691132	1
STnc3550		-	689990	689844	9
SL1344_0616	pagP	+	691643	692215	97
