locus_tag	common gene name	strand	start	end	NonSPI2	InSPI2 (biological replicate 1)	InSPI2 (biological replicate 2)	InSPI2 average (biological replicate 1 and 2)	InSPI2 LowMg2+	Peroxide shock (InSPI2)	Nitric oxide shock (InSPI2)
SL1344_0025	bcfE	+	29433	29978	2	1	1	1	2	1	2
SL1344_0026	bcfF	+	29994	30512	3	2	1	2	3	0	1
SL1344_0027	bcfG	+	30505	31209	4	3	2	2	4	1	3
SL1344_0028	bcfH	+	31274	32119	10	12	12	12	8	6	7
SL1344_0029		+	32116	32445	8	10	8	9	13	3	12
SL1344_0030		-	32545	32994	1	2	0	1	1	0	2
SL1344_0031		+	33364	34368	4	3	2	3	3	2	8
SL1344_0032		-	34376	34816	4	2	2	2	1	1	2
SL1344_0033		+	35339	37057	5	6	5	6	6	5	10
SL1344_0034		-	37103	38674	8	9	9	9	10	9	14
SL1344_0035		-	38773	39534	5	4	3	3	12	5	8
SL1344_0036		+	40131	41624	8	6	7	6	12	6	11
STnc1010		+	41629	41708	360	408	287	348	756	611	605
SL1344_0037		+	41723	42913	4	3	3	3	4	2	3
SL1344_0038		+	42932	44185	3	2	2	2	3	1	4
SL1344_0039		+	44312	46027	9	16	13	14	21	11	18
SL1344_0040	nhaA	+	46190	47356	78	82	84	83	100	40	59
SL1344_0041	nhaR	+	47418	48317	70	46	40	43	53	12	39
SL1344_0042		-	48372	50411	4	3	3	3	2	1	2
SL1344_0043		-	50451	51824	2	1	1	1	2	0	2
SL1344_0044	rpsT	-	52280	52543	6320	3051	4230	3641	935	131	611
SL1344_0045	yaaY	+	52649	52864	72	48	46	47	42	8	29
SL1344_0046	ribF	+	52872	53810	163	102	91	97	56	19	46
SL1344_0047	ileS	+	53855	56689	121	100	83	91	45	27	44
SL1344_0048	lspA	+	56689	57189	176	174	139	156	85	61	118
SL1344_0049	fkpB	+	57344	57793	140	80	78	79	61	8	48
SL1344_0050	ispH	+	57796	58746	100	79	73	76	68	16	73
SL1344_0051		+	58946	60148	21	13	13	13	12	6	11
SL1344_0052	rihC	+	60164	61084	19	20	14	17	14	5	10
SL1344_0053	citB2	-	61106	61792	6	9	6	7	9	2	7
SL1344_0054	citA2	-	61794	63413	6	15	11	13	24	5	10
STnc3220		+	61807	62034	47	43	40	41	73	156	112
SL1344_0055		-	63548	64849	0	0	0	0	0	0	0
SL1344_0056		-	64862	66637	0	0	0	0	0	0	0
SL1344_0057	oadG	-	66654	66893	1	0	1	0	1	1	1
STnc3090		+	66916	67048	14	209	221	215	168	25	16
STnc4160		-	67051	66912	51	83	122	102	31	60	54
SL1344_0058		-	67052	68392	1	1	1	1	1	1	1
SL1344_0059	citC2	+	68637	69683	1	1	1	1	1	0	1
SL1344_0060	citD2	+	69713	70006	1	0	0	0	0	0	0
SL1344_0061	citE2	+	70003	70872	1	1	1	1	0	0	0
SL1344_0062	citF2	+	70883	72403	1	1	1	1	1	0	1
SL1344_0063	citX2	+	72403	72954	2	2	1	1	1	0	1
SL1344_0064	citG2	+	72947	73840	3	2	2	2	3	2	2
SL1344_0065	dapB	+	74020	74841	500	412	400	406	372	151	425
DapZ		+	74847	74924	9452	4361	4399	4380	4164	10784	12730
STnc3230		-	75015	74894	45	108	135	121	490	60	161
SL1344_0066A		+	75091	75438	7	3	2	3	2	1	3
SL1344_0067	carA	+	75883	77031	310	175	165	170	31	16	14
SL1344_0068	carB	+	77050	80277	239	157	139	148	26	37	9
SL1344_0069	caiF	+	80551	80946	22	11	8	9	7	6	16
SL1344_0070	caiE	-	81023	81619	2	2	1	1	1	0	2
SL1344_0071	caiD	-	81728	82513	1	2	1	2	1	0	1
SL1344_0072	caiC	-	82567	84120	3	3	2	3	6	1	5
SL1344_0073	caiB	-	84183	85454	3	1	2	2	2	2	3
SL1344_0074	caiA	-	85512	86654	3	3	2	2	3	3	3
SL1344_0075	caiT	-	86689	88206	0	0	0	0	0	0	0
SL1344_0076	fixA	+	88687	89457	3	1	2	2	2	1	2
SL1344_0077	fixB	+	89473	90414	1	1	1	1	0	0	1
SL1344_0078	fixC	+	90464	91750	1	1	1	1	1	0	1
SL1344_0079	fixX	+	91747	92034	3	3	2	3	2	1	1
SL1344_0080	yaaU	+	92181	93521	6	8	7	8	10	3	7
SL1344_0081		+	93610	93840	24	53	39	46	34	7	17
SL1344_0082		+	94134	94550	31	128	92	110	166	44	23
STnc470		-	94741	94653	756	3309	3615	3462	6460	2034	1488
SL1344_0083		-	94774	95064	45	481	381	431	583	18	99
STnc4170		+	95102	95188	134	105	89	97	131	98	334
SL1344_0083A		-	95134	95226	23	277	196	236	256	18	66
SL1344_0084		+	95962	97851	7	5	4	5	8	8	12
SL1344_0085		-	98056	98121	4	2	9	5	8	6	20
SL1344_0086	yabF	+	98258	98788	17	21	23	22	57	9	32
SL1344_0087	kefC	+	98781	100643	11	11	11	11	20	2	12
SL1344_0088	folA	+	100842	101321	87	76	79	78	98	15	42
SL1344_0089	apaH	-	101427	102275	48	49	47	48	67	20	46
STnc3240		-	101483	101322	56	124	72	98	137	68	127
SL1344_0090	apaG	-	102286	102663	100	101	96	99	83	10	45
SL1344_0091	ksgA	-	102666	103487	132	138	112	125	143	27	79
SL1344_0092	pdxAa	-	103484	104473	168	155	194	175	332	271	256
SL1344_0093	surA	-	104473	105759	143	109	110	109	103	22	80
SL1344_0094	imp	-	105813	108173	139	95	92	94	94	19	79
SL1344_0095	djlA	+	108427	109239	44	40	38	39	48	22	39
STnc4180		-	109322	109243	136	148	63	105	80	65	60
SL1344_0096	rluA	-	109334	109993	24	18	20	19	17	5	8
SL1344_0097	hepA	-	110005	112911	21	15	14	15	15	3	8
SL1344_0098	polB	-	113085	115436	10	7	8	7	13	61	18
SL1344_0099		-	115480	116100	15	9	10	10	17	15	25
SL1344_0099A		-	116195	116254	1	0	1	1	1	0	1
SL1344_0100		+	116819	117238	5	3	2	2	3	3	7
SL1344_0101	araD	-	117244	117939	5	7	5	6	6	10	14
SL1344_0102	araA	-	118080	119582	1	2	1	2	2	1	2
SL1344_0103	araB	-	119593	121302	0	1	0	0	1	0	0
SL1344_0104	araC	+	121643	122488	14	9	8	8	10	2	4
SL1344_0105	yabI	+	122607	123374	26	16	14	15	18	1	5
SL1344_0106	thiQ	-	123413	124120	32	24	24	24	29	4	8
SL1344_0107	thiP	-	124104	125714	58	39	42	41	40	7	11
SL1344_0108	tbpA	-	125690	126673	61	60	52	56	55	8	14
SroA		-	126802	126713	3680	5778	3477	4628	1754	3562	3517
SL1344_0109	yabN	-	126851	128509	6	4	4	4	5	3	5
SgrS		+	128577	128808	530	344	374	359	400	500	756
SL1344_0109A	sgrT	+	128602	128724	0	0	0	0	0	0	0
SL1344_0110	leuD	-	129060	129665	277	185	151	168	24	79	533
SL1344_0111	leuC	-	129676	131076	170	93	86	89	15	72	358
SL1344_0112	leuB	-	131079	132170	272	153	127	140	24	94	358
SL1344_0113	leuA	-	132170	133741	110	58	50	54	12	34	105
SL1344_0114	leuL	-	133829	133915	11820	10450	10372	10411	3378	7170	11626
SL1344_0115	leuO	+	134572	135516	2	3	2	2	7	3	8
SL1344_0116	ilvI	+	135901	137562	127	105	88	96	35	33	44
SL1344_0117	ilvH	+	137565	138056	158	147	118	133	50	24	50
STnc1500		-	138274	138100	73	186	169	178	105	79	83
SL1344_0118	fruR	+	138340	139344	49	39	39	39	29	11	23
SL1344_0119	mraZ	+	139950	140408	256	219	200	209	170	61	166
SL1344_0120	mraW	+	140410	141351	154	179	152	165	134	32	129
SL1344_0121	ftsL	+	141348	141713	119	178	150	164	90	43	94
SL1344_0122	ftsI	+	141729	143495	162	236	214	225	247	91	237
SL1344_0123	murE	+	143482	144969	88	87	75	81	58	10	63
SL1344_0124	murF	+	144966	146324	73	70	56	63	49	8	52
SL1344_0125	mraY	+	146318	147400	85	78	78	78	61	11	61
SL1344_0126	murD	+	147403	148719	87	91	77	84	68	19	62
SL1344_0127	ftsW	+	148806	149963	78	61	67	64	50	10	33
SL1344_0128	murG	+	149960	151027	87	87	78	82	72	15	38
SL1344_0129	murC	+	151146	152621	94	87	74	80	57	10	24
SL1344_0130	ddl	+	152614	153534	136	147	125	136	139	38	67
SL1344_0131	ftsQ	+	153536	154366	138	116	115	115	98	21	57
SL1344_0132	ftsA	+	154363	155625	162	148	135	141	114	39	59
SL1344_0133	ftsZ	+	155686	156837	156	191	169	180	118	37	56
SL1344_0134	lpxC	+	156938	157855	527	487	421	454	324	163	244
SL1344_0135	yacA	+	158203	158631	76	43	46	45	41	11	34
SL1344_0136	secA	+	158693	161398	80	54	54	54	27	8	27
SL1344_0137	mutT	+	161550	161945	19	27	30	28	30	2	9
SL1344_0138	yacG	-	162267	162458	76	62	63	63	61	9	31
SL1344_0139	yacF	-	162468	163211	54	35	34	35	30	4	21
SL1344_0140	coaE	-	163211	163831	74	40	35	38	39	10	30
SL1344_0141	guaC	+	164057	165100	174	186	155	171	88	22	71
SL1344_0142	pilC	-	165131	166333	1	1	1	1	1	0	0
SL1344_0143	pilB	-	166323	167708	0	0	0	0	1	1	1
SL1344_0144	pilA	-	167718	168155	1	0	0	0	0	0	0
SL1344_0145	nadC	-	168377	169123	22	23	21	22	11	3	8
SL1344_0146	ampD	+	169358	169921	34	34	31	33	33	28	25
SL1344_0147	ampE	+	169918	170772	40	32	31	31	36	24	44
SL1344_0148		-	170864	171814	8	9	10	10	8	3	9
SL1344_0149		-	171814	173220	5	4	4	4	6	2	5
SL1344_0150	aroP	-	173384	174757	152	93	111	102	49	98	90
SL1344_0151	pdhR	+	175320	176084	135	105	120	112	133	23	108
tp2		-	176242	176086	1	6	3	4	5	2	6
SL1344_0152	aceE	+	176244	178907	200	230	187	209	115	35	57
SL1344_0153	aceF	+	178922	180811	224	276	206	241	130	55	63
SL1344_0154	lpdA	+	181011	182435	391	358	295	327	176	82	173
SL1344_0155		+	182724	183008	5	2	1	2	1	1	1
SL1344_0156		-	183046	183837	1	3	2	2	2	0	1
SL1344_0157	yacH	-	183850	185464	4	4	3	4	9	2	5
SL1344_0159	acnB	+	185853	188450	174	113	106	109	44	54	123
SL1344_0160		-	188511	189353	159	152	111	131	184	49	261
SL1344_0161	yacL	+	189599	189961	39	32	30	31	46	67	60
SL1344_0162	kdgT	+	190196	191149	3	1	2	1	2	2	3
SL1344_0163		+	191146	192417	4	2	2	2	3	2	3
SL1344_0164	pdxAb	+	192407	193390	33	19	15	17	16	31	28
SL1344_0165		+	193400	194167	66	43	39	41	35	54	59
SL1344_0166	speD	-	194197	194991	226	113	98	106	14	19	5
SL1344_0167	speE	-	195012	195872	119	70	68	69	15	32	9
SL1344_0168	yacC	-	195979	196326	124	95	114	105	86	44	111
SL1344_0169	cueO	+	196528	198138	51	60	50	55	40	42	87
SL1344_0170	gcd	-	198216	200606	16	71	70	71	81	12	46
SL1344_0171	hpt	+	200812	201348	133	104	103	103	143	26	65
SL1344_0172	yadF	-	201406	202068	466	471	428	450	292	66	255
SL1344_0173	yadG	+	202177	203103	25	16	17	16	16	8	15
SL1344_0174	yadH	+	203100	203870	22	14	18	16	16	6	13
SL1344_0175	stiH	-	203987	205066	3	3	3	3	5	2	4
SL1344_0176	stiC	-	205075	207621	1	1	1	1	1	0	1
SL1344_0177	stiB	-	207648	208331	0	1	1	1	1	0	1
SL1344_0178	stiA	-	208379	208918	3	3	1	2	2	2	4
SL1344_0179	yadI	+	209289	209729	4	8	3	5	8	3	5
SL1344_0180	yadE	+	209791	211020	20	17	16	17	21	2	12
STnc4190		-	209971	209868	37	43	55	49	51	18	68
SL1344_0181	panD	-	211027	211407	260	271	319	295	141	23	84
SL1344_0182	panC	-	211502	212356	49	40	33	37	20	6	8
SL1344_0183	panB	-	212482	213273	42	32	29	31	21	4	5
SL1344_0184	folK	-	213394	213873	43	35	31	33	15	2	7
SL1344_0185	pcnB	-	213870	215288	152	101	93	97	42	7	23
SL1344_0186	yadB	-	215429	216370	37	19	22	20	11	2	8
SL1344_0187	dksA	-	216394	216849	438	358	456	407	202	47	131
SL1344_0188	sfsA	-	217026	217730	49	46	37	42	75	19	68
SL1344_0189	ligT	-	217747	218277	68	43	40	41	43	45	57
SL1344_0190	hrpB	+	218305	220779	25	21	19	20	22	5	13
SL1344_0191	mrcB	+	220920	223442	60	52	47	49	44	14	33
STnc3250		-	223676	223451	81	8	8	8	9	357	33
SL1344_0192	fhuA	+	223735	225924	134	8	7	8	9	8	10
SL1344_0193	fhuC	+	225973	226770	51	2	2	2	2	1	3
SL1344_0194	fhuD	+	226770	227660	50	22	13	18	23	6	5
SL1344_0195	fhuB	+	227657	229714	34	7	5	6	6	1	4
SL1344_0196	stfA	+	230653	231213	2	3	4	3	2	1	2
SL1344_0197	stfC	+	231299	233956	2	6	4	5	6	1	4
SL1344_0198	stfD	+	233974	234726	1	2	2	2	1	0	0
SL1344_0199	stfE	+	234790	235257	0	2	2	2	1	0	1
SL1344_0200	stfF	+	235254	235730	2	1	2	2	2	1	2
SL1344_0201	stfG	+	235730	236260	1	2	1	2	2	1	1
SL1344_0202		+	236260	237099	9	10	11	11	21	9	13
STnc1510		+	237091	237187	69	125	50	88	200	295	344
SL1344_0203	hemL	-	237207	238487	68	58	60	59	59	32	44
SL1344_0204	clcA	+	238657	240078	29	36	36	36	47	13	38
SL1344_0205	yadR	+	240160	240504	487	370	354	362	375	255	410
SL1344_0206	yadS	-	240605	241228	15	8	10	9	9	2	3
SL1344_0207	btuF	-	241265	242065	24	17	14	15	15	4	9
SL1344_0208	mtn	-	242058	242756	47	47	44	46	31	14	20
SL1344_0209	dgt	+	243051	244358	27	25	25	25	26	9	23
SL1344_0210	htrA	+	244488	245915	35	48	40	44	59	12	23
STnc3100		+	245838	245954	136	149	169	159	204	69	156
SL1344_0211	cdaR	+	246068	247225	5	3	4	3	2	2	2
SL1344_0212	yaeH	-	247314	247700	229	264	214	239	265	135	209
SL1344_0213		+	248223	249248	22	52	62	57	90	20	21
STnc3110		+	249153	249274	59	163	168	166	324	114	165
SL1344_0214	dapD	-	249285	250109	520	692	643	668	192	166	235
SL1344_0215	glnD	-	250139	252811	20	13	11	12	13	6	15
SL1344_0216	map	-	253048	253842	106	85	80	82	71	42	64
t44		+	254126	254264	1938	1403	1062	1233	474	171	218
SL1344_0217	rpsB	+	254293	255018	1333	1002	846	924	314	215	143
SL1344_0218	tsf	+	255276	256127	783	669	606	638	191	174	90
SL1344_0219	pyrH	+	256272	256997	192	126	110	118	61	10	22
SL1344_0220	frr	+	257144	257701	479	451	398	425	326	152	261
sRNA1		+	257725	257790	492	800	577	688	331	567	467
SL1344_0221	dxr	+	257842	259038	51	34	31	32	20	7	18
STnc920		+	259116	259164	513	414	486	450	330	226	203
SL1344_0222	uppS	+	259351	260109	162	80	79	79	56	5	26
SL1344_0223	cdsA	+	260122	260979	101	64	63	63	45	16	28
SL1344_0224	yaeL	+	260991	262343	227	155	150	152	130	14	74
SL1344_0225	yaeT	+	262375	264789	282	229	199	214	164	66	86
SL1344_0226	hlpA	+	264912	265397	663	962	799	880	364	108	251
SL1344_0227	lpxD	+	265401	266426	369	276	265	271	132	50	101
SL1344_0228	fabZ	+	266532	266987	321	209	237	223	125	32	73
SL1344_0229	lpxA	+	266991	267779	212	160	141	151	92	19	46
SL1344_0230	lpxB	+	267779	268927	109	60	57	58	37	6	28
SL1344_0231	rnhB	+	268924	269520	92	47	55	51	42	9	32
SL1344_0232	dnaE	+	269544	273026	80	54	51	53	31	6	17
SL1344_0233	accA	+	273039	273998	153	116	113	114	54	14	32
SL1344_0234		+	274178	275941	12	11	9	10	15	8	12
SL1344_0235	ldcC	+	276017	278158	25	14	15	14	19	5	15
SL1344_0236	yaeR	+	278214	278603	44	35	28	31	26	11	27
SL1344_0237	mesJ	+	278747	279958	24	15	14	14	13	2	9
SL1344_0238	rof	-	280042	280296	284	455	359	407	537	720	905
SL1344_0239	yaeP	-	280289	280507	292	394	366	380	442	604	694
SL1344_0240	yaeQ	+	280687	281232	29	37	46	42	39	13	17
SL1344_0241	yaeJ	+	281229	281651	52	58	59	58	50	41	37
SL1344_0242	cutF	+	281683	282384	39	47	39	43	35	20	35
SL1344_0243	proS	-	282458	284176	87	71	69	70	30	12	19
SL1344_0244	yaeB	-	284287	284994	61	48	38	43	32	7	23
SL1344_0245	rcsF	-	284991	285395	117	88	79	83	74	19	50
SL1344_0246	metQ	-	285514	286329	853	806	651	729	283	249	283
SL1344_0247	yaeE	-	286368	287021	271	201	202	202	90	73	74
SL1344_0248	abc	-	287014	288045	264	148	144	146	55	119	46
SL1344_0249	yaeD	+	288235	288801	62	56	50	53	33	18	30
SL1344_0250	dkgB	+	295060	295863	15	12	11	12	18	4	11
SL1344_0251	yafC	-	295884	296798	5	4	3	4	7	6	7
SL1344_0252		+	296903	298078	2	2	2	2	4	1	2
SL1344_0253	yafD	+	298231	299010	57	38	34	36	35	21	56
SL1344_0254	yafE	+	299088	299858	18	15	11	13	13	5	43
SL1344_0255	dniR	-	299914	301281	458	219	193	206	129	26	57
SL1344_0256	gloB	-	301353	302108	21	21	16	19	17	11	21
SL1344_0257	yafS	+	302143	302865	23	12	13	12	22	20	29
SL1344_0258	rnhA	-	302862	303329	52	33	42	37	21	4	25
SL1344_0259	dnaQ	+	303393	304124	55	53	47	50	63	31	41
SL1344_0260	sciA	-	304656	305711	2	4	3	4	3	1	2
SL1344_0261	sciB	-	305722	306717	2	2	2	2	1	0	0
SL1344_0262	sciC	-	306714	308597	3	4	3	3	3	0	2
SL1344_0263	sciD	-	308613	309107	5	2	3	2	3	2	2
SL1344_0264	sciE	-	309104	309928	4	3	3	3	3	1	2
SL1344_0265	sciF	-	309915	310817	2	2	2	2	2	1	3
SL1344_0266	sciG	+	311185	313824	3	2	1	2	1	0	1
SL1344_0267	sciH	+	313924	314466	2	2	2	2	1	0	2
SL1344_0268	sciI	+	314490	315983	2	2	1	2	2	0	1
SL1344_0270	sciJ	+	316169	316615	4	3	4	4	5	2	4
SL1344_0271	sciK	+	316869	317354	0	1	1	1	1	0	0
SL1344_0272		+	317659	318144	4	5	3	4	5	4	5
SL1344_0273		+	318129	318512	2	1	0	1	1	1	2
SL1344_0274	sciK1	+	318655	319140	2	1	1	1	1	1	1
SL1344_0275	sciN	+	319207	319743	0	0	1	0	0	0	0
SL1344_0276	sciO	+	319747	321090	1	1	1	1	1	0	1
SL1344_0277	sciP	+	321087	322391	1	1	1	1	1	0	1
SL1344_0278	sciQ	+	322396	323169	3	2	2	2	3	1	3
SL1344_0279	sciR	+	323372	323803	3	1	1	1	3	2	4
SL1344_0280	sciS	+	323837	327706	2	2	2	2	3	0	2
SL1344_0281	sciT	+	327706	328494	3	2	2	2	2	0	2
SL1344_0282	sciU	+	328491	328907	3	2	2	2	5	1	4
SL1344_0283	sciV	+	328931	329452	6	6	5	5	7	5	7
SL1344_0284	vgrS	+	329849	332038	2	2	1	1	2	1	2
SL1344_0285	sciW	+	332062	332508	1	0	1	1	1	0	1
SL1344_0286		+	332521	336123	17	14	11	13	23	5	21
SL1344_0286A		+	336117	336380	155	110	87	99	197	28	223
SL1344_0286B		+	336396	337313	49	58	51	54	99	24	84
SL1344_0288	sciX	+	337307	337753	53	32	21	26	58	6	105
SL1344_0289	sciY	+	338265	338753	6	3	3	3	5	2	13
IsrA		+	339238	338816	1	0	0	0	0	0	0
SL1344_0291		+	339522	339830	13	7	6	7	12	3	27
SL1344_0292		-	339867	340180	1	1	1	1	3	0	3
SL1344_0293		+	340233	340373	5	8	6	7	7	1	7
SL1344_0294		+	340510	340975	0	0	0	0	0	0	0
SL1344_0295	safA	+	341687	342199	17	12	13	12	16	21	55
SL1344_0296	safB	+	342307	343020	10	5	4	5	4	2	10
SL1344_0297	safC	+	343044	345554	8	8	7	8	6	2	7
SL1344_0298	safD	+	345576	346046	11	10	7	8	7	2	6
SL1344_0299	ybeJ	+	346452	347273	5	11	12	12	10	2	3
SL1344_0300	sinR	+	348088	349035	34	17	18	17	14	4	48
SL1344_0301		+	349152	349367	10	4	3	4	1	1	9
SL1344_0302	pagN	-	349371	350090	64	338	332	335	389	60	50
SL1344_0303	sciZ	-	350421	350828	14	30	28	29	34	8	13
STnc1030		+	350892	351095	5	5	10	8	8	4	14
STnc1040		-	351100	351053	10	14	9	11	3	0	9
SL1344_0304	yafV	-	351199	351966	26	30	27	29	37	18	23
SL1344_0305	fadE	-	352075	354519	13	12	11	11	14	11	12
SL1344_0306	gmhA	+	354759	355337	93	99	89	94	94	56	71
SL1344_0307	yafJ	+	355550	356317	50	33	29	31	21	11	23
SL1344_0308	yafK	-	356288	357028	135	99	102	101	52	7	38
SL1344_0309	dbh	+	357278	358333	14	12	11	11	18	129	32
SL1344_0310		+	358540	359684	13	7	7	7	8	3	12
SL1344_0311	prfH	+	359681	360295	8	7	6	7	8	7	12
SL1344_0312	pepD	-	360451	361908	104	126	110	118	84	26	50
SL1344_0313	gpt	+	362157	362615	128	133	133	133	86	12	20
SL1344_0314	frsA	+	362704	363948	38	35	35	35	58	32	25
SL1344_0315	crl	+	364006	364407	328	264	244	254	187	82	142
SL1344_0316	phoE	-	364458	365510	4	8	7	8	80	3	7
SL1344_0317	proB	+	365793	366896	70	62	57	60	34	7	25
SL1344_0318	proA	+	366908	368158	57	65	50	58	35	12	20
SL1344_0319		-	368675	369475	1	1	1	1	1	1	1
SL1344_0320	dhaF	+	369393	370107	0	1	1	1	1	1	3
SL1344_0322		+	370217	370540	48	50	36	43	42	92	79
SL1344_0323		+	370836	372119	1	1	0	1	2	1	2
SL1344_0324	leuC2	+	372251	373465	2	1	1	1	2	1	2
SL1344_0325	leuD2	+	373674	374300	1	1	1	1	1	0	1
SL1344_0326		+	374315	375193	4	3	4	4	8	2	4
SL1344_0327		+	375193	376107	6	6	6	6	11	6	10
STnc3270		+	376115	376194	91	59	68	63	59	110	157
SL1344_0328		+	376141	377106	13	12	11	11	13	5	11
SL1344_0329		-	377051	377323	8	9	8	9	14	16	16
SL1344_0330		+	378014	378412	6	6	4	5	6	5	14
SL1344_0331	stbE	-	378459	379217	6	8	6	7	12	3	12
SL1344_0332	stbD	-	379183	380508	6	6	6	6	11	4	6
SL1344_0333	stbC	-	380513	383080	4	4	3	4	6	2	4
SL1344_0334	stbB	-	383064	383825	0	0	0	0	0	0	0
SL1344_0335	stbA	-	383887	384423	1	0	1	0	0	0	0
SL1344_0336		+	385057	385821	16	31	27	29	13	5	28
SL1344_0337		+	385794	386294	16	10	18	14	6	2	15
STnc1700		+	386381	386476	77	190	222	206	162	56	119
SL1344_0338		+	386594	388168	8	9	9	9	16	6	21
SL1344_0339		+	388268	389011	63	46	43	44	59	38	111
SL1344_0340		+	388984	389472	41	27	25	26	26	6	79
SL1344_0341		+	389874	390398	2	3	1	2	2	0	7
SL1344_0342		+	390542	391183	3	1	2	2	2	1	7
SL1344_0343		+	391194	391418	4	4	2	3	7	2	5
SL1344_0344		+	391476	391835	8	6	7	7	10	6	10
SL1344_0345		-	391905	393362	1	1	2	2	2	1	2
SL1344_0346		-	393379	396546	1	1	1	1	1	0	1
SL1344_0347		-	396543	397553	0	1	1	1	1	0	0
SL1344_0348		+	398046	400334	3	4	4	4	3	2	19
SL1344_0349		+	400346	400810	5	7	6	7	6	2	34
SL1344_0350		+	400888	401082	23	45	35	40	40	17	141
SL1344_0351		+	401375	402628	4	8	7	8	11	7	17
SL1344_0352	mod	+	402817	404775	44	30	28	29	20	6	17
SL1344_0353	res	+	404782	407757	39	21	20	21	16	6	11
SL1344_0354		+	408034	408135	101	124	160	142	455	107	286
SL1344_0355		+	408252	409655	17	22	25	24	39	2	20
SL1344_0356		+	409652	410662	25	30	34	32	61	6	28
SL1344_0357		+	410679	410903	7	16	13	14	24	2	10
SL1344_0358		+	410999	412003	31	14	9	11	6	52	14
SL1344_0359	foxA	+	412149	414257	6	5	5	5	5	5	6
SL1344_0360	yahN	-	414298	414930	26	30	25	27	38	24	30
SL1344_0361	yahO	+	415162	415437	59	203	142	172	356	48	149
SL1344_0362	prpR	-	415573	417198	3	2	3	3	3	1	3
SL1344_0363	prpB	+	417463	418350	1	2	2	2	1	1	2
STnc3280		-	418463	418391	79	92	79	85	121	90	177
SL1344_0364	prpC	+	418473	419642	1	2	2	2	3	3	3
SL1344_0365	prpD	+	419682	421133	2	2	1	2	2	1	2
SL1344_0366	prpE	+	421174	423060	2	2	2	2	2	1	2
SL1344_0367	hemB	-	423164	424138	51	56	39	48	32	16	24
SL1344_0368	yaiU	+	424651	427587	16	22	21	22	26	9	24
SL1344_0369	yaiV	+	427673	428296	8	9	6	7	13	7	22
SL1344_0370	ampH	-	428341	429471	28	29	31	30	28	6	22
SL1344_0371	sbmA	+	429947	431065	20	22	24	23	23	4	13
SL1344_0372	yaiW	+	431080	432174	16	19	19	19	18	3	12
SL1344_0373	yaiY	-	432212	432520	6	19	17	18	136	9	5
SL1344_0374	yaiZ	+	432788	433003	75	56	59	57	62	114	80
SL1344_0375	ddlA	-	433029	434123	49	46	44	45	25	8	18
SL1344_0376		+	434201	434914	5	8	7	7	18	5	10
SL1344_0377		+	435083	436294	5	11	11	11	18	3	20
SL1344_0378	yaiB	+	436585	436851	218	708	695	701	1047	231	346
STnc4150		-	437082	436953	34	32	31	31	83	44	136
SL1344_0379	psiF	+	437203	437523	21	92	95	93	265	80	97
SL1344_0380	adrA	+	437615	438727	11	14	13	14	29	8	18
SL1344_0381	proC	-	438742	439551	44	54	36	45	35	27	31
SL1344_0382	yaiI	+	439691	440146	16	18	17	17	12	4	8
SL1344_0383	aroL	+	440331	440876	152	103	111	107	59	98	79
SL1344_0384	yaiA	+	440903	441094	257	245	242	243	297	200	349
