locus_tag	common gene name	strand	start	end	Anaerobic growth	Aerobic shock
SL1344_0508	allA	+	575491	575973	15	18
SL1344_0509	allR	+	576052	576870	37	50
SL1344_0510	gcl	+	576955	578736	1	2
SL1344_0511	gip	+	578749	579525	2	4
SL1344_0512	garRa	+	579626	580504	1	2
SL1344_0513		+	580570	581817	1	2
SL1344_0515	allP	+	581913	583367	1	1
SL1344_0516	allB	+	583446	584807	2	2
SL1344_0517	ybbY	+	584866	586164	2	1
SL1344_0518	glxK	+	586187	587335	1	2
STnc480		-	587412	587347	325	236
SL1344_0519	ylbA	-	587415	588200	15	25
SL1344_0520	allC	-	588211	589446	4	1
SL1344_0521	allD	-	589468	590517	2	1
SL1344_0522	fdrA	+	590848	592512	1	2
SL1344_0523	ylbE	+	592522	593781	1	1
SL1344_0524	ylbF	+	593793	594602	1	1
SL1344_0525	arcC	+	594606	595499	4	4
SL1344_0526	purK	-	595540	596607	16	35
SL1344_0527	purE	-	596604	597113	9	39
SL1344_0528	lpxH	-	597231	597953	49	59
SL1344_0529	ppiB	-	597956	598450	153	272
SL1344_0530	cysS	+	598623	600008	55	71
SL1344_0531		-	600052	600876	6	9
SL1344_0532		-	600873	601310	6	8
SL1344_0533	ybcI	-	601303	601848	4	10
SL1344_0534	ybcJ	-	601976	602188	103	89
SL1344_0535	folD	-	602190	603056	45	66
SL1344_0536	fimA	+	603618	604160	35	37
SL1344_0537	fimI	+	604236	604769	3	7
SL1344_0538	fimC	+	604813	605505	2	4
SL1344_0539	fimD	+	605536	608148	3	4
SL1344_0540	fimH	+	608163	609170	2	6
SL1344_0541	fimF	+	609180	609698	6	10
SL1344_0542	fimZ	-	609744	610376	9	6
SL1344_0543	fimY	-	610980	611702	1	2
SL1344_0544		-	611721	612032	5	4
SL1344_0545	fimW	-	612194	612790	7	10
SL1344_0546		-	613262	613552	4	4
SL1344_0547		-	614292	615944	3	9
SL1344_0548	gtrBa	-	615925	616851	3	8
SL1344_0549	gtrAa	-	616848	617210	2	5
STnc1870		+	617317	617426	14	3
SL1344_0550		-	618078	618407	4	2
SL1344_0550A	cusA	+	618456	618692	19	41
SL1344_0551	ykgD	-	618746	619600	6	4
SL1344_0552	ykgC	+	619816	621141	4	6
SL1344_0553		+	621298	621534	1	1
SL1344_0554	ykgB	+	621547	622107	0	2
SL1344_0555		-	622186	623361	41	63
SL1344_0556	pheP	+	623687	625081	17	37
SL1344_0557	ybdG	-	625123	626253	17	31
SL1344_0558	apeE	+	626681	628651	10	15
SL1344_0559		+	628818	631547	11	12
SL1344_0560		-	631675	632661	1	2
SL1344_0561		-	632728	633771	0	0
SL1344_0562	manZ	-	633804	634658	1	1
