Sequence name	locus tag	Name	Start	End	Strand	L Arabinose logFC	D Maltose monohydrate logFC	Mucin from porcine stomach logFC	N Acetyl D Glucosamine logFC	D Xylose logFC	28°C logFC	42°C logFC	Aerobic shaking logFC	bile salts logFC	deoxycholic acid logFC	Gentamicin logFC	peroxide logFC	pH 6 logFC	Starvation logFC
NC_004663.1	BT_0013	BT_0013	10181	10723	+	0.6719412839	-0.526338166	0.5029235116	0.6786867003	0.4658472769	-2.166661646	0.3949259565	-0.300721369	0.6163806687	-0.8807980375	0.6577414211	0.4108921947	-0.644441164	-0.1048037877
NC_004663.1	BT_0014	BT_0014	10893	13316	+	0.4273734439	-0.5279524532	0.1541684012	0.06054789501	0.1460799479	-1.4370445	0.4314254353	0.03872234928	0.150934729	-0.2266020763	0.514853154	0.2974945624	-0.1333839864	-0.3770297867
NC_004663.1	BT_0015	BT_0015	13288	14586	+	0.9531782784	-0.0002955956846	-0.2682009508	0.8351084191	0.8653210728	-2.2203434	0.09072644607	0.02676906914	-0.2572335425	-0.1856343566	-0.2319998141	-0.2969444818	-0.3041894954	-0.1296518806
NC_004663.1	BT_0022	BT_0022	19044	19334	+	0.2939899114	0.01129233337	1.820733267	1.205561722	0.7965595401	-4.478262767	-0.04891132159	0.0936984353	-4.006839379	-3.679073707	-3.678106481	-0.2028333471	-0.8682334611	1.737643332
NC_004663.1	BT_0027	BT_0027	21544	22080	-	0.2768665565	-0.6424218647	-0.1967900362	-0.04193648654	0.03496781102	-0.7605864853	1.058749678	1.01332677	2.496106502	2.029657195	0.483681954	0.8051264296	0.7976653585	0.741580931
NC_004663.1	BT_0028	BT_0028	22552	22830	+	0.4038810881	-0.8551744651	-0.5913992527	-0.04045228113	-0.3866362778	0.2431784718	0.5040296977	0.5672515634	0.1426799703	0.3931149598	0.4160806546	0.3261980244	0.3722861857	-6.199902054
NC_004663.1	BT_0029	BT_0029	22906	26169	+	-0.5780772288	-0.4123616725	-1.915778195	-0.4423102507	-0.8606833114	0.1774406652	-0.6141090463	-0.3758092044	-1.109282802	-0.3088579249	-0.2370103895	-0.07446709692	-0.1546987934	-3.386989768
NC_004663.1	BT_0030	BT_0030	26182	28011	+	-0.5163562598	-0.5440808108	-1.809558513	-0.3533124877	-0.9737697891	0.08238675066	-0.7477459984	-0.3934556242	-0.9460609087	-0.1317747862	-0.3229566425	0.07221801853	-0.001868601181	-3.483517155
NC_004663.1	BT_0031	BT_0031	28131	29195	+	-0.4136232859	-0.4176925717	-1.572597862	-0.3837690109	-0.4959350364	0.1727502778	-0.8203983055	0.1753358753	-0.4918272282	-0.06300916947	-0.1989974682	0.09482641841	0.06655207778	-3.160485484
NC_004663.1	BT_0032	BT_0032	29209	29406	+	-0.8192764676	-0.3721840307	-2.029421236	-0.4646637599	-0.6095071449	0.4042052422	-1.683652961	0.4105500584	-0.4338298433	-0.005567323877	-0.05625693922	0.1243937199	-0.2066132931	-4.223058455
NC_004663.1	BT_0033	BT_0033	29680	29970	+	0.1700564726	-0.2545663172	-1.893741027	-0.3718563399	-0.2144381148	1.099426747	-0.5282971371	1.215388204	0.0655919531	0.8519459324	0.5214881085	0.5340010106	0.6242276667	-2.027873199
NC_004663.1	BT_0034	BT_0034	30281	31492	+	0.4592166893	0.1051643076	-0.02340579417	-0.3898395666	0.1990578857	-0.3247587656	0.5104674175	0.1045256211	2.3142131	2.745825492	0.5180704095	0.2195375035	-0.9726992123	0.6907342991
NC_004663.1	BT_0037	BT_0037	34087	35142	+	-0.1536530579	-0.02550092274	-0.6563927178	-0.389173828	-0.2076963361	-0.03305621093	-0.0167318253	-0.02625675	0.4419232034	0.368578132	0.6309808199	0.08714571214	-0.1496849225	0.05322390337
NC_004663.1	BT_0038	BT_0038	35266	35703	+	-0.03627455754	0.06342198695	0.3846840837	-0.2500312321	0.06311949307	-1.601853402	0.1801134943	0.00644484072	-1.646119237	-1.211356191	-0.4535305456	0.115368898	-0.2193282011	1.132064234
NC_004663.1	BT_0039	BT_0039	35989	36417	+	-0.07602704413	-0.110940554	0.002226615953	-0.161648295	-0.2786270715	-1.531877927	-0.01335053723	-0.4701672747	-1.875869948	-0.8128537803	-0.09108999381	-0.2279423798	-0.2654715339	0.3793789825
NC_004663.1	BT_0040	BT_0040	36478	38019	+	-0.06833731235	-0.05986858582	-0.1644705976	-0.402754309	-0.2717071438	-1.183276296	-0.2104993123	-0.6068171977	-1.384728449	-0.3752782762	0.4801069752	-0.1866232661	-0.3368376298	-0.10684226
NC_004663.1	BT_0041	BT_0041	38016	39218	+	-0.02766108537	-0.123765803	-0.1341908923	-0.4219655063	-0.3468438549	-2.258204006	-0.6324997002	-0.5223166935	-1.677443623	-0.7433750385	0.0000113550281	-0.3521413144	-0.397612117	-0.511782286
NC_004663.1	BT_0042	BT_0042	39215	40375	+	0.1195286827	0.1182374723	-0.1087535292	0.06195009886	-0.1879318914	-1.187110544	0.006142294758	0.1078007115	-1.665413046	-0.9914383152	0.454631846	0.06881240228	0.0296442377	-0.009892307443
NC_004663.1	BT_0044	BT_0044	40593	41537	+	-0.4304121557	-0.3715804375	-0.05711160022	-0.5029821252	-0.5944781098	-1.389631938	-0.3419523792	-0.1671773838	-2.208576787	-1.2051163	-0.2117592407	-0.07528007268	-0.2831397809	0.305997837
NC_004663.1	BT_0045	BT_0045	41534	42700	+	-0.1558500049	0.04795100575	-0.09473428661	-0.1656915491	-0.1972057159	-1.418602325	-0.8093235371	-0.5227673677	-1.863088291	-1.020283944	-0.3349047447	-0.3833226189	-0.3793575667	-0.142680555
NC_004663.1	BT_0046	BT_0046	42724	43656	+	0.02343175144	-0.02959662316	0.03672957554	-0.07088703392	-0.3957990763	-1.208449151	-0.6279904703	-0.3208579379	-1.039244183	-0.8623641685	0.1128856704	-0.03757589979	-0.05546722008	-0.2952033394
NC_004663.1	BT_0047	BT_0047	43671	44066	+	0.6517141174	0.2332171617	0.5815704548	0.1797585305	-0.1393260661	-1.494627014	-0.8066635255	-0.7093577233	-1.613663761	-2.151649843	-0.1043381866	-0.1880425885	-0.5659407023	-0.1619020288
NC_004663.1	BT_0048	BT_0048	44162	44638	+	-0.2938393672	-0.6457392718	-0.3431402204	-0.3324201087	-0.517960837	-1.420785938	-1.108398836	-0.6345485454	-1.046576384	-0.8400979064	0.3546072882	-0.3189069644	-0.1678346139	-0.5801849544
NC_004663.1	BT_0049	BT_0049	44647	45582	+	-0.5036085176	-0.4926623502	-0.1203321951	-0.6248326553	-0.4097076917	-1.31732452	-0.8819774464	0.08336030086	-0.8671763886	-0.7124527873	0.2855306868	0.2065822327	0.02566970263	-0.4120136619
NC_004663.1	BT_0050	BT_0050	45594	46565	+	0.1227729588	0.1636583713	0.1035009779	-0.05325951324	-0.1558973889	-1.435982001	-1.063678096	-0.6059941812	-1.284744228	-0.9922482458	0.05645451258	-0.1992107348	-0.4415551494	-0.4668310004
NC_004663.1	BT_0051	BT_0051	46565	47545	+	0.16408325	-0.2126356677	-0.3774121039	-0.2756627638	-0.46599605	-1.865318086	-0.9803055044	-0.2415862716	-1.561704086	-0.8513153588	-0.2875564238	-0.4456144954	-0.7377178872	-0.6272077573
NC_004663.1	BT_0052	BT_0052	47716	48834	+	0.1942142256	-0.04061072441	-0.2299513365	-0.3062615188	-0.162179038	-1.520540992	-0.7601411214	-0.2417869749	-1.055779528	-0.8338748419	0.1465441144	-0.01325027009	-0.2904554606	-0.3044297724
NC_004663.1	BT_0053	BT_0053	48834	49958	+	-0.2180805728	-0.4485253734	-0.2384447527	-0.7741890971	-0.2999229971	-1.230627393	-0.7410375381	0.01102696903	-1.330643839	-0.5970497868	-0.04755709533	0.166593848	-0.2041426952	-0.1928339614
NC_004663.1	BT_0054	BT_0054	50011	51132	+	0.1147323597	-0.2686930678	-0.5953884027	-0.2257821675	0.102715328	-1.510136913	-0.2582476267	-0.09201128551	-2.302254495	-0.9301367871	-0.384565912	0.321963657	-0.1884228088	-0.1841886931
NC_004663.1	BT_0055	BT_0055	51140	52255	+	0.5684288503	0.4483350296	0.3335968436	0.3870554798	-0.1833659425	-1.727772881	-0.2664774941	-0.232364392	-1.163367244	-1.019054419	-0.2060376967	0.2334447278	-0.2136737962	0.8436557555
NC_004663.1	BT_0056	BT_0056	52276	53298	+	-0.02816815497	0.1125959241	0.01974762619	0.1457587213	0.01273515807	-1.888276346	-0.6499903594	-0.603809082	-2.22540111	-0.9752916996	-0.5843699027	-0.08944882535	-0.724679351	0.1789040879
NC_004663.1	BT_0057	BT_0057	53288	53575	+	0.2102954344	0.1694930359	0.2424636512	-0.0212514413	-0.01457556919	-1.632627331	-0.4601598381	-0.08327839271	-1.772429137	-0.8080501518	0.1075568894	0.1219533921	-0.3604194029	0.9237965401
NC_004663.1	BT_0058	BT_0058	53647	54777	+	0.1028394626	-0.2939248642	0.1002274996	-0.5099521628	-0.1960759855	-1.282644302	-0.5660435791	-0.0900757859	-1.398525348	-0.1475781598	0.1226962666	-0.1023425684	-0.1627719635	0.6196711989
NC_004663.1	BT_0059	BT_0059	54774	55715	+	0.1684468919	-0.1687005822	0.08252556243	-0.3911148189	-0.1236261687	-1.57979539	-0.8412530707	-0.4984139058	-1.591176865	-0.3824493182	-0.1888124831	-0.1663748711	-0.33124583	0.8097245576
NC_004663.1	BT_0060	BT_0060	55754	56539	+	0.02645226552	-0.2552462272	0.04613397169	0.0009635450047	-0.181652839	-1.919901443	-0.6203952581	0.1242252786	-1.881088105	-0.8670180536	-0.2554465735	0.08430772354	-0.3252358635	0.9031533642
NC_004663.1	BT_0061	BT_0061	56555	58894	+	0.07857867621	-0.2263600812	0.05717575163	-0.2394632081	-0.06939276384	-2.105820406	-0.5376655328	-0.207517638	-1.81821331	-0.7708550553	-0.4416412433	-0.09444966593	-0.4564893543	0.9391355468
NC_004663.1	BT_0062	BT_0062	58891	59103	+	0.6107036498	0.6112482836	1.34497406	-0.04132039349	1.108677943	-4.35997001	-0.1909546857	0.06806916356	-2.624346626	-2.000372662	-1.105214006	-0.2231853539	-0.2174336351	1.294370696
NC_004663.1	BT_0063	BT_0063	59156	59356	+	-0.5963300773	-0.3382842108	0.05145240069	-0.4742396971	-0.3326484447	-3.21040133	-0.7601568991	0.1897143381	-2.964955918	-1.787392277	-1.813974924	0.0986626219	-0.4161428912	0.2255136179
NC_004663.1	BT_0064	BT_0064	59377	61551	+	-0.05874056847	-0.1344133528	0.09902173571	-0.02011668844	-0.4083510565	-2.796816868	-0.5769458184	-0.005129875231	-2.711437057	-1.374522853	-1.209503443	-0.001848410716	-0.4260855742	0.3499962455
NC_004663.1	BT_0065	BT_0065	61621	64158	+	0.06042974009	-0.03788737905	0.1616593489	0.05608202371	-0.3049500684	-2.915947431	-0.4510681935	-0.005533593567	-2.834249042	-1.447137911	-0.9973291235	-0.01508764078	-0.409127214	0.6637980807
NC_004663.1	BT_0066	BT_0066	64273	65475	+	-0.05343622024	-0.1137555089	0.1701704988	-0.06680808804	-0.2848445092	-2.720326649	-0.3858474049	0.03507866576	-3.170992643	-1.520555104	-1.228596834	-0.1950348657	-0.3665379298	0.7454839571
NC_004663.1	BT_0067	BT_0067	65813	66064	+	0.3594978275	-0.009654810583	0.785532923	0.2786040051	0.2468365494	-2.150108035	-1.043789829	-0.01216918762	-2.305636652	-1.502094958	-1.675827164	-0.1943065925	-0.501281695	1.063528139
NC_004663.1	BT_0068	BT_0068	66092	66571	+	-0.08466430053	-0.4004912103	0.6863657616	-0.1550417425	-0.3529967178	-1.736439801	-0.2847112819	-0.238434343	-2.727827988	-1.68587263	-0.9900864779	-0.2037395368	-0.3096444746	0.4435654243
NC_004663.1	BT_0069	BT_0069	66856	67662	-	0.4103991829	-0.3037981645	0.1807832576	0.282901725	0.3605554732	0.08554400938	0.3283717203	0.09291143832	0.9774757851	0.8346725668	0.6139836645	-0.06478117174	0.1561498641	0.08789786047
NC_004663.1	BT_0070	BT_0070	67710	68333	-	0.2376587819	-0.07810813659	0.1160047096	0.346135885	0.1004779879	-0.1305873517	0.1355147491	0.2207865923	0.3492998288	0.1820416074	0.066057142	0.02295112644	-0.09190773914	0.5730991597
NC_004663.1	BT_0071	BT_0071	68637	69134	-	0.2247083927	-0.7234879516	-0.5537678065	-0.2770560308	0.1563751635	0.5870629677	0.2363361743	0.05499224383	1.498862892	1.135996197	0.2055516478	0.3101666641	0.04687644276	-0.7084418974
NC_004663.1	BT_0072	BT_0072	69352	69603	-	-0.01438806961	-0.004819846935	0.4731091787	-0.3490826752	-0.1442384197	0.898017021	-0.08419365208	0.2167816755	1.051027101	0.6826293221	0.3295460571	0.1531309883	0.109908285	1.236077386
NC_004663.1	BT_0073	BT_0073	69588	71018	-	-0.02027701258	-0.1816708864	-0.06099727679	-0.4550082036	-0.2147964165	0.6346173847	0.008301734567	0.1918872027	1.113077759	0.6582765706	0.4384368556	0.1070650973	0.1155371115	1.142488095
NC_004663.1	BT_0074	BT_0074	71009	71500	-	-0.04242172166	-0.1676920248	-0.2507385034	-0.2810394263	-0.2521658187	0.4452488319	0.05933791633	0.2173195571	0.9506294439	0.4629881619	0.4292637781	-0.0792765914	0.05111750971	0.8663327994
NC_004663.1	BT_0076	BT_0076	73184	74416	+	0.03122526549	-0.2265710015	-0.7837439233	0.5233422888	0.07005534486	-1.31195324	0.8530213759	-0.3614581171	1.488031709	-0.07345489843	0.5474254001	0.02432268989	0.007213524397	0.6841312639
NC_004663.1	BT_0077	BT_0077	74493	74999	+	0.1513876091	-0.07746701274	-1.360232113	0.5783475037	0.335195229	-1.913257252	0.3521375326	0.02097155147	-1.255649222	-1.409503855	-0.349510866	0.1241848699	-0.5710191298	-0.320712974
NC_004663.1	BT_0082	BT_0082	77115	78035	-	0.0891664174	0.04215146073	1.667989987	0.1778468263	0.2835994518	-0.4648993443	-0.5999715092	-0.1128533197	-1.067486666	-0.7044301082	-0.907872104	-0.1579450397	-0.09314399632	2.840828933
NC_004663.1	BT_0083	BT_0083	78109	78975	-	0.1019020035	0.000332727035	1.83241586	0.1190004908	0.02523288769	-0.5223059395	-0.4477998396	-0.03179198081	-0.6989224986	-0.7051086463	-0.5492947438	-0.05391925071	-0.1882900597	2.817081913
NC_004663.1	BT_0084	BT_0084	79079	79522	-	-0.5141035844	-0.4209696996	0.5799163589	0.9256723222	0.7661247176	-1.894259544	1.101264586	0.1865745081	-1.903524181	-2.506225933	-1.53792601	0.2203362634	-1.602489668	0.6177050954
NC_004663.1	BT_0085	BT_0085	79544	80122	-	0.02857478177	0.6359925075	1.24245081	1.489311615	1.69266477	-1.868739417	0.8767007021	0.1522667902	-2.400487015	-5.412723764	-0.7382435104	-0.03970954841	-2.977342669	0.6489221528
NC_004663.1	BT_0086	BT_0086	80125	81033	-	0.1122571991	-0.2062229623	0.3526205916	1.277798688	0.1485414148	-2.597076956	0.2996759877	-0.8559536956	-3.127572689	-1.5929543	-0.5150085877	0.3202560979	-0.1359067984	0.3796072624
NC_004663.1	BT_0087	BT_0087	81067	82452	-	0.1220309803	-0.7057446179	-0.2448280304	1.035975602	-0.8409578833	-2.134369167	0.1351029364	-0.128216081	-3.599509821	-0.9646702551	-0.964817582	-0.1622495542	0.3966522043	0.6542245112
NC_004663.1	BT_0102	BT_0102	92986	94995	+	0.1080574116	-0.5127800063	0.1053817591	0.3506404152	-0.2433446801	-0.5229437263	0.3673054006	-0.1362816604	-0.5859955711	-0.9286889862	0.1399720378	0.1774886768	0.8399801682	-0.8139482752
NC_004663.1	BT_0103	BT_0103	95169	96704	+	-0.08241025156	-0.1774442312	0.6644486984	0.2545047545	-0.2074324942	-0.3589114569	0.8978384788	0.1764366748	-0.05861097634	0.1156816303	0.5762770795	-0.1816522641	0.5298860302	-1.237424497
NC_004663.1	BT_0105	BT_0105	96886	98967	+	0.1936554983	-1.413494951	0.1464000938	0.8577827407	0.05083308226	-2.823802147	0.5204229077	-0.01089488551	-1.86235605	-1.623321998	-2.167640639	0.1172384758	-0.3454660235	0.004223096069
NC_004663.1	BT_0106	BT_0106	99073	99519	-	1.293738773	-0.340447562	1.510374529	1.471374763	1.441682768	-0.9787932723	0.567059066	-0.1831315855	-0.005657856234	-0.7493859999	-0.7043337371	0.1935178239	-0.4173629614	1.181048753
NC_004663.1	BT_0107	BT_0107	99969	100247	-	0.9218606868	-0.1735701248	0.7631574098	1.596781057	0.5425602227	-2.384151147	0.1205905793	-0.6911472705	-1.259828099	-3.57658953	-1.77574671	-0.3355477031	-0.4688746189	1.894003887
NC_004663.1	BT_0108	BT_0108	100303	102303	-	0.9070650935	-0.2897861865	0.738092294	0.6369587185	1.091960098	-2.114164592	1.218903108	0.4242750352	-0.7163308164	-1.675111044	-0.6613906929	-0.2922174153	-0.2269408488	0.7930685194
NC_004663.1	BT_0110	BT_0110	102836	103696	-	0.9496939154	-0.8813142959	0.9977732477	0.7878356212	0.4328717934	-2.572014258	-0.2973826636	-0.2689414126	-0.4313407239	-1.616577725	-1.64131087	0.03112437927	-0.937683414	-1.796496821
NC_004663.1	BT_0111	BT_0111	103864	104115	-	0.8811216321	-0.4629557474	1.019519571	1.092623551	1.015247526	-1.709368136	-0.4128323688	-1.021831833	-1.235780752	-2.720730461	-1.432702831	-0.04850360899	-0.04764067581	0.618629779
NC_004663.1	BT_0112	BT_0112	104093	104998	-	0.5021887503	0.04065891847	1.509294303	0.983295897	0.5837071044	-0.9551113584	0.1393346441	-1.38103608	0.196011034	-0.8197015805	-1.830912609	-0.4616281895	-0.4821278082	1.14052323
NC_004663.1	BT_0113	BT_0113	105024	105524	-	1.518776659	-1.497207176	0.7457448142	0.6378551319	1.287198809	-0.1356659107	-0.4076921595	-0.5771275394	-0.2491485081	-0.3299210555	-0.4664291046	-0.2939199319	0.1699503725	-0.9471622673
NC_004663.1	BT_0114	BT_0114	105527	106573	-	0.1758094962	-0.181714226	0.5685086816	0.3006071014	0.1533424914	-0.4682622437	0.5736122726	0.248940236	1.17925581	-0.03383467263	-0.3879247374	0.2430922908	-0.4110716604	-0.1989948144
NC_004663.1	BT_0116	BT_0116	107019	108731	-	0.0360313478	-0.3748649755	0.6363663969	0.4385757309	0.1083973881	-0.3195058719	0.3825775736	0.1062741994	2.142982656	0.1981132139	-0.4702615569	0.1862409312	-0.01109901263	-0.3080007318
NC_004663.1	BT_0117	BT_0117	108759	109085	-	-0.2562765673	-0.2314134846	1.047461251	0.1107189104	0.2751693992	-0.7223832304	0.3081802154	-0.5591981846	2.487666429	0.100118033	-0.8139202004	-0.2986676016	-0.3041882843	-0.2478674439
NC_004663.1	BT_0118	BT_0118	109119	109826	-	1.191729223	0.9749112049	2.392844809	0.8961023162	0.9351927652	0.2632522617	-0.32816725	-0.1290159282	3.715274365	0.4547121524	0.6159745362	-0.9484155555	-0.8418913715	1.903013143
NC_004663.1	BT_0119	BT_0119	109828	110271	-	2.065412984	2.465628361	2.458845014	2.601116911	2.680995589	0.07543918497	-1.463974794	-0.1320393497	3.939263243	0.6361462796	0.24660672	0.1246399817	-0.4703123082	2.430415048
NC_004663.1	BT_0120	BT_0120	110282	110515	-	0.5990417754	-0.5456512096	-0.2352856987	1.223530875	-0.2984111177	-0.3490665205	-1.005482974	-1.510185071	4.516719628	1.622786481	0.4186817658	-1.555500158	-0.598406578	0.7029758695
NC_004663.1	BT_0121	BT_0121	110593	110862	-	-0.4143593792	-0.7469684265	-1.019438384	-0.8446758914	-0.0005166328346	1.171226469	0.473125566	-0.388456789	5.543282837	2.252569122	1.147048686	0.1546505813	1.036472674	-0.6422031002
NC_004663.1	BT_0122	BT_0122	111648	112655	+	-0.2986371878	-0.5327976557	-1.08493407	-0.4722976371	-0.6363687001	0.7396199965	-0.2242289534	0.05896982343	0.502164758	0.6910033425	0.2795951957	-0.02831024963	0.3854308284	-2.83434861
NC_004663.1	BT_0123	BT_0123	112706	113182	-	2.403964039	2.5746225	5.67858854	2.484461226	3.986851176	-0.1830652033	0.2393484756	-0.9025949624	1.231006935	1.508561091	-0.07398224891	-0.403140929	-0.5359924012	6.129307024
NC_004663.1	BT_0124	BT_0124	113201	114967	-	2.127176745	3.030472719	5.61442327	2.3923648	3.49420397	0.2426065146	0.1920868182	-0.366579718	1.444494623	1.838694604	0.3126536351	0.00212899366	0.3176737489	5.716558655
NC_004663.1	BT_0125	BT_0125	114979	116886	-	0.7172845391	1.237866057	3.318924274	1.049452555	1.611312567	-0.08932450406	0.415897846	-0.03930898654	1.57439654	1.018203068	0.184029778	-0.163643904	-0.1320835803	3.71543335
NC_004663.1	BT_0126	BT_0126	117467	120223	+	-0.2991632169	-0.05897445726	-0.7190038614	-0.1183617024	-0.4323295368	-0.6461535255	0.1637524507	0.01303386669	-0.8487125098	-0.6703549545	-0.4346134649	-0.1014143067	0.2470098453	0.02295048599
NC_004663.1	BT_0127	BT_0127	120368	123661	+	-0.2207015955	-0.1586780655	-0.4430688971	-0.0135491543	-0.2814041332	-0.8141932179	-0.286244578	-0.07839510517	-1.36330946	-1.295552784	-1.199678143	-0.02425380837	-0.05205319833	0.3218782575
NC_004663.1	BT_0128	BT_0128	123845	124243	+	-0.08969576234	-0.3415744227	-2.163284138	-0.765092303	-0.4829477951	0.2706513506	-0.1516396567	-0.06669660837	-0.05165053787	-0.02930787719	-0.05590309044	0.002916294627	0.2727020664	-1.256582092
NC_004663.1	BT_0129	BT_0129	124349	125536	-	-0.2293159591	-0.004109570075	-0.6910779834	0.08444207585	-0.1334774092	-1.237180183	-0.3364566148	-0.2266907207	-1.735597303	-1.481859487	-0.4669943745	-0.3735686926	-0.4139120444	-0.3220434613
NC_004663.1	BT_0130	BT_0130	125549	126364	-	-0.5108967845	0.0455161145	-0.7152662607	-0.1561339182	-0.3190763616	-1.599687777	-0.4523537969	-0.2024952635	-1.832972073	-1.32429142	-1.055839839	-0.4694957749	-0.07606623298	-0.3907447919
NC_004663.1	BT_0131	BT_0131	126746	127678	+	0.9355884239	-0.163019791	2.758698864	1.656830479	1.128548887	-4.555272298	-0.8184697905	-0.4114120324	-3.441248671	-4.034245486	-3.623063286	0.02272150645	-0.2316686136	2.530251214
NC_004663.1	BT_0132	BT_0132	127918	129852	+	-0.0437960026	-0.1233549535	0.7406298929	0.3382091696	0.03525826563	-2.071354717	0.3763084207	0.0567885303	-1.766258623	-1.713425157	-0.8359405166	0.03768522282	0.002065631732	0.7859085042
NC_004663.1	BT_0133	murQ	129836	130669	-	0.1829084786	-0.3119464543	-0.09015018458	0.1012752585	0.04408846084	0.06279931841	-0.317257478	0.1925463142	-1.189190213	-0.9401860892	-0.2556804685	0.06713984583	0.3168121863	-0.004202039904
NC_004663.1	BT_0134	BT_0134	130680	131063	-	0.2276193	-0.1913145777	-0.4626682678	0.09774293605	0.02017904484	-0.3626750504	0.1183577824	0.1549118158	-1.053662653	-1.183550665	-0.411134769	-0.03289904787	0.3342554132	-0.3784665042
NC_004663.1	BT_0135	BT_0135	131041	131823	-	0.08795822497	-0.06196919316	-0.240251667	0.05783644093	-0.1206248553	-0.3254606594	0.1813402244	0.09334652103	-0.8128005327	-1.139273773	-0.549510276	0.08855770933	0.382148187	-0.283545734
NC_004663.1	BT_0136	BT_0136	131976	133586	+	-0.3891992156	0.06878708377	-0.6756432668	-0.6960543863	-0.546743269	-1.247076116	0.4538987332	0.1087484364	-0.436462057	-0.2992799985	0.06773816876	0.09959263817	0.4353201043	0.9351617433
NC_004663.1	BT_0137	BT_0137	133691	135616	+	-0.94313649	-0.2233329019	-0.4727823642	-1.329888097	-1.084254975	-1.386060869	0.8145222912	-0.01410506779	-1.93672883	-1.411487114	-0.7298661915	0.07742686862	-0.1311357225	0.7215758946
NC_004663.1	BT_0138	BT_0138	135838	138585	+	0.01682898787	0.2757137757	0.3612404213	-0.04057601216	0.1202839836	0.4901091506	0.5741233592	0.3125235879	1.222575851	1.087520364	0.6415691691	0.04980009588	0.1512233637	1.416876862
NC_004663.1	BT_0140	BT_0140	139919	143212	+	0.3706252323	0.8502172923	1.577055437	1.347804247	0.8225932564	-1.714765146	0.4404851931	-0.1094607266	-0.3073726539	-0.5916121323	-0.1504018705	-0.2323406701	0.1336173249	2.964487127
NC_004663.1	BT_0141	BT_0141	143223	144962	+	0.452065611	0.3469924307	1.345124658	1.054752069	0.8872883004	-2.10694808	0.1519104995	0.08563082784	-1.420920285	-1.292952008	-0.980936343	0.0008925331402	0.07064899857	2.585565696
NC_004663.1	BT_0142	BT_0142	144992	146377	+	0.4069150838	0.4599316665	1.099494665	1.255818915	0.7234124166	-2.055955406	0.1740262094	-0.05528837236	-1.119492661	-1.535225409	-0.7508558964	-0.1343270409	-0.01280927448	2.639430237
