locus_tag	common gene name	strand	start	end	EEP	MEP	LEP	ESP (biological replicate 1)	ESP (biological replicate 2)	ESP average (biological replicate 1 and 2)	LSP (biological replicate 1)	LSP (biological replicate 2)	LSP average (biological replicate 1 and 2)
SL1344_0108	tbpA	-	125690	126673	36	39	27	13	12	13	3	2	3
SroA		-	126802	126713	5486	25327	18703	10404	9363	9883	2883	2717	2800
SL1344_0109	yabN	-	126851	128509	6	6	6	4	5	5	10	6	8
SgrS		+	128577	128808	167	517	335	676	730	703	129	200	165
SL1344_0109A	sgrT	+	128602	128724	0	0	0	0	0	0	0	0	0
SL1344_0110	leuD	-	129060	129665	8	5	9	5	5	5	0	0	0
SL1344_0111	leuC	-	129676	131076	4	3	4	3	3	3	0	0	0
SL1344_0112	leuB	-	131079	132170	7	5	8	6	4	5	1	1	1
SL1344_0113	leuA	-	132170	133741	3	1	3	2	2	2	0	0	0
SL1344_0114	leuL	-	133829	133915	327	541	943	1736	1618	1677	646	713	679
SL1344_0115	leuO	+	134572	135516	2	1	2	2	2	2	1	1	1
SL1344_0116	ilvI	+	135901	137562	7	9	10	10	8	9	3	2	2
SL1344_0117	ilvH	+	137565	138056	19	26	27	20	21	21	5	4	4
STnc1500		-	138274	138100	26	37	59	127	142	134	55	46	50
SL1344_0118	fruR	+	138340	139344	43	52	73	75	81	78	2	2	2
SL1344_0119	mraZ	+	139950	140408	459	381	352	171	184	177	8	8	8
SL1344_0120	mraW	+	140410	141351	242	216	190	112	119	115	5	5	5
SL1344_0121	ftsL	+	141348	141713	208	175	134	128	116	122	5	3	4
SL1344_0122	ftsI	+	141729	143495	205	211	208	210	156	183	9	8	8
SL1344_0123	murE	+	143482	144969	143	135	101	55	58	57	1	1	1
SL1344_0124	murF	+	144966	146324	125	123	82	43	49	46	1	1	1
SL1344_0125	mraY	+	146318	147400	123	116	91	52	54	53	1	2	1
SL1344_0126	murD	+	147403	148719	139	138	105	73	69	71	2	2	2
SL1344_0127	ftsW	+	148806	149963	130	111	94	40	46	43	1	1	1
SL1344_0128	murG	+	149960	151027	123	123	104	70	79	74	1	1	1
SL1344_0129	murC	+	151146	152621	127	118	105	54	63	59	2	1	1
SL1344_0130	ddl	+	152614	153534	175	182	172	201	181	191	12	9	10
SL1344_0131	ftsQ	+	153536	154366	184	181	166	116	143	129	4	3	3
SL1344_0132	ftsA	+	154363	155625	229	209	190	120	126	123	4	4	4
SL1344_0133	ftsZ	+	155686	156837	169	183	179	120	153	137	2	2	2
SL1344_0134	lpxC	+	156938	157855	642	574	509	312	376	344	62	47	55
SL1344_0135	yacA	+	158203	158631	149	125	55	35	41	38	3	3	3
SL1344_0136	secA	+	158693	161398	154	136	78	38	43	41	3	2	2
SL1344_0137	mutT	+	161550	161945	22	22	38	18	17	18	1	3	2
SL1344_0138	yacG	-	162267	162458	110	112	61	33	43	38	3	3	3
SL1344_0139	yacF	-	162468	163211	64	74	50	29	35	32	1	1	1
SL1344_0140	coaE	-	163211	163831	81	102	71	32	38	35	3	3	3
SL1344_0141	guaC	+	164057	165100	140	91	124	53	57	55	3	3	3
SL1344_0142	pilC	-	165131	166333	1	1	1	0	0	0	0	0	0
SL1344_0143	pilB	-	166323	167708	0	1	1	0	0	0	0	0	0
SL1344_0144	pilA	-	167718	168155	1	1	1	1	0	0	0	0	0
SL1344_0145	nadC	-	168377	169123	20	22	16	10	9	9	1	1	1
SL1344_0146	ampD	+	169358	169921	29	38	28	23	21	22	3	1	2
SL1344_0147	ampE	+	169918	170772	26	47	44	30	30	30	6	4	5
SL1344_0148		-	170864	171814	11	11	10	5	5	5	1	1	1
SL1344_0149		-	171814	173220	2	2	4	3	2	2	1	1	1
SL1344_0150	aroP	-	173384	174757	26	16	15	10	11	10	3	4	3
SL1344_0151	pdhR	+	175320	176084	647	886	77	76	93	84	8	8	8
tp2		-	176242	176086	1	0	1	2	2	2	2	2	2
SL1344_0152	aceE	+	176244	178907	507	871	74	66	59	62	4	3	4
SL1344_0153	aceF	+	178922	180811	570	974	99	85	81	83	5	6	6
SL1344_0154	lpdA	+	181011	182435	582	989	557	241	210	226	11	10	11
SL1344_0155		+	182724	183008	20	10	7	1	2	2	0	0	0
SL1344_0156		-	183046	183837	2	1	1	1	1	1	0	1	0
SL1344_0157	yacH	-	183850	185464	2	2	3	3	3	3	1	1	1
SL1344_0159	acnB	+	185853	188450	46	133	262	104	93	98	7	7	7
SL1344_0160		-	188511	189353	90	152	197	89	102	95	42	24	33
SL1344_0161	yacL	+	189599	189961	53	59	69	71	62	66	30	22	26
SL1344_0162	kdgT	+	190196	191149	4	25	7	10	7	8	1	1	1
SL1344_0163		+	191146	192417	3	34	9	9	10	10	1	1	1
SL1344_0164	pdxAb	+	192407	193390	40	60	32	24	17	21	5	2	4
SL1344_0165		+	193400	194167	58	113	57	51	48	50	6	5	5
SL1344_0166	speD	-	194197	194991	262	124	84	14	18	16	1	1	1
SL1344_0167	speE	-	195012	195872	155	80	58	16	14	15	1	1	1
SL1344_0168	yacC	-	195979	196326	129	109	79	37	32	35	15	11	13
SL1344_0169	cueO	+	196528	198138	12	19	12	8	10	9	1	1	1
SL1344_0170	gcd	-	198216	200606	9	6	22	30	20	25	63	16	40
SL1344_0171	hpt	+	200812	201348	306	260	172	83	71	77	45	28	36
SL1344_0172	yadF	-	201406	202068	389	407	196	73	76	75	19	12	15
SL1344_0173	yadG	+	202177	203103	33	27	25	13	16	14	2	2	2
SL1344_0174	yadH	+	203100	203870	29	17	19	11	11	11	1	2	1
SL1344_0175	stiH	-	203987	205066	3	3	3	6	4	5	5	3	4
SL1344_0176	stiC	-	205075	207621	1	1	1	1	1	1	0	0	0
SL1344_0177	stiB	-	207648	208331	0	0	1	1	0	1	0	0	0
SL1344_0178	stiA	-	208379	208918	2	2	2	2	2	2	5	2	4
SL1344_0179	yadI	+	209289	209729	6	4	7	20	17	19	3	1	2
SL1344_0180	yadE	+	209791	211020	25	21	21	7	11	9	3	2	3
STnc4190		-	209971	209868	44	55	35	23	24	24	4	2	3
SL1344_0181	panD	-	211027	211407	181	237	165	119	118	119	7	11	9
SL1344_0182	panC	-	211502	212356	55	63	35	19	22	20	6	5	5
SL1344_0183	panB	-	212482	213273	48	48	25	15	16	16	4	2	3
SL1344_0184	folK	-	213394	213873	62	45	36	15	17	16	1	0	0
SL1344_0185	pcnB	-	213870	215288	213	167	147	48	55	51	1	1	1
SL1344_0186	yadB	-	215429	216370	41	35	42	19	26	23	2	2	2
SL1344_0187	dksA	-	216394	216849	321	460	519	317	493	405	29	32	31
SL1344_0188	sfsA	-	217026	217730	35	46	48	53	62	57	46	40	43
SL1344_0189	ligT	-	217747	218277	53	52	38	40	34	37	14	7	10
SL1344_0190	hrpB	+	218305	220779	38	38	31	20	20	20	3	2	2
SL1344_0191	mrcB	+	220920	223442	70	66	65	37	36	36	4	4	4
STnc3250		-	223676	223451	177	140	12	24	19	21	55	42	48
SL1344_0192	fhuA	+	223735	225924	223	139	5	5	4	5	14	10	12
SL1344_0193	fhuC	+	225973	226770	99	73	4	2	2	2	1	0	1
SL1344_0194	fhuD	+	226770	227660	105	81	4	3	3	3	1	1	1
SL1344_0195	fhuB	+	227657	229714	67	56	4	2	2	2	0	1	0
SL1344_0196	stfA	+	230653	231213	2	3	3	2	3	3	5	3	4
SL1344_0197	stfC	+	231299	233956	2	1	2	2	2	2	5	2	3
SL1344_0198	stfD	+	233974	234726	0	1	1	0	1	1	0	0	0
SL1344_0199	stfE	+	234790	235257	1	1	1	1	1	1	0	0	0
SL1344_0200	stfF	+	235254	235730	0	2	3	3	3	3	2	0	1
SL1344_0201	stfG	+	235730	236260	2	2	2	1	1	1	0	0	0
SL1344_0202		+	236260	237099	9	9	11	8	8	8	11	7	9
STnc1510		+	237091	237187	58	98	113	186	142	164	57	42	50
SL1344_0203	hemL	-	237207	238487	81	90	68	35	40	37	4	4	4
SL1344_0204	clcA	+	238657	240078	19	26	42	38	32	35	11	10	11
SL1344_0205	yadR	+	240160	240504	995	893	437	132	167	150	60	41	50
SL1344_0206	yadS	-	240605	241228	22	18	22	11	14	13	1	1	1
SL1344_0207	btuF	-	241265	242065	46	33	31	13	16	15	3	2	3
SL1344_0208	mtn	-	242058	242756	73	58	48	28	22	25	3	2	3
SL1344_0209	dgt	+	243051	244358	18	17	20	17	21	19	8	5	7
SL1344_0210	htrA	+	244488	245915	30	36	46	37	31	34	9	7	8
STnc3100		+	245838	245954	84	128	134	136	166	151	271	219	245
SL1344_0211	cdaR	+	246068	247225	6	6	21	10	8	9	0	1	1
SL1344_0212	yaeH	-	247314	247700	119	295	677	1226	912	1069	168	148	158
SL1344_0213		+	248223	249248	16	12	18	15	17	16	10	7	9
STnc3110		+	249153	249274	39	42	89	126	119	123	274	206	240
SL1344_0214	dapD	-	249285	250109	103	173	120	88	92	90	9	9	9
SL1344_0215	glnD	-	250139	252811	27	28	16	8	9	8	1	1	1
SL1344_0216	map	-	253048	253842	135	124	74	46	44	45	5	5	5
t44		+	254126	254264	2910	2494	2161	450	460	455	8	7	7
SL1344_0217	rpsB	+	254293	255018	2705	1975	1433	371	413	392	5	6	6
SL1344_0218	tsf	+	255276	256127	1840	1373	856	329	310	320	3	8	6
SL1344_0219	pyrH	+	256272	256997	407	306	208	57	65	61	1	0	1
SL1344_0220	frr	+	257144	257701	931	874	646	303	347	325	82	115	99
sRNA1		+	257725	257790	387	775	578	655	582	619	608	572	590
SL1344_0221	dxr	+	257842	259038	94	69	59	21	24	23	29	17	23
STnc920		+	259116	259164	474	653	430	330	340	335	26	25	26
SL1344_0222	uppS	+	259351	260109	336	194	190	60	76	68	5	3	4
SL1344_0223	cdsA	+	260122	260979	202	119	112	51	47	49	4	4	4
SL1344_0224	yaeL	+	260991	262343	321	251	220	120	119	119	6	5	6
SL1344_0225	yaeT	+	262375	264789	346	344	263	120	122	121	8	4	6
SL1344_0226	hlpA	+	264912	265397	1018	1232	669	334	324	329	9	9	9
SL1344_0227	lpxD	+	265401	266426	407	393	291	159	189	174	12	12	12
SL1344_0228	fabZ	+	266532	266987	364	286	272	134	171	153	6	7	6
SL1344_0229	lpxA	+	266991	267779	312	220	200	98	115	106	11	10	10
SL1344_0230	lpxB	+	267779	268927	149	109	90	58	75	66	2	2	2
SL1344_0231	rnhB	+	268924	269520	153	95	75	52	57	54	2	2	2
SL1344_0232	dnaE	+	269544	273026	154	98	89	32	35	33	2	2	2
SL1344_0233	accA	+	273039	273998	176	148	146	70	77	73	4	2	3
SL1344_0234		+	274178	275941	19	12	14	10	9	9	3	3	3
SL1344_0235	ldcC	+	276017	278158	21	24	24	15	17	16	3	2	2
SL1344_0236	yaeR	+	278214	278603	33	46	46	30	29	29	12	6	9
SL1344_0237	mesJ	+	278747	279958	33	35	23	14	14	14	1	1	1
SL1344_0238	rof	-	280042	280296	168	310	282	436	354	395	42	37	40
SL1344_0239	yaeP	-	280289	280507	163	270	270	350	412	381	58	63	60
SL1344_0240	yaeQ	+	280687	281232	54	42	33	21	21	21	3	2	3
SL1344_0241	yaeJ	+	281229	281651	51	59	45	41	32	36	83	67	75
SL1344_0242	cutF	+	281683	282384	36	39	34	23	27	25	12	10	11
SL1344_0243	proS	-	282458	284176	120	125	83	32	40	36	2	2	2
SL1344_0244	yaeB	-	284287	284994	77	77	54	34	33	33	5	3	4
SL1344_0245	rcsF	-	284991	285395	137	125	109	63	65	64	9	7	8
SL1344_0246	metQ	-	285514	286329	138	122	135	107	98	102	30	19	24
SL1344_0247	yaeE	-	286368	287021	54	38	39	20	21	20	4	3	4
SL1344_0248	abc	-	287014	288045	51	26	29	14	15	15	5	4	4
SL1344_0249	yaeD	+	288235	288801	86	94	59	37	33	35	3	3	3
SL1344_0250	dkgB	+	295060	295863	52	23	15	8	8	8	1	2	1
SL1344_0251	yafC	-	295884	296798	5	4	4	4	3	3	2	1	1
SL1344_0252		+	296903	298078	3	3	3	1	2	2	1	1	1
SL1344_0253	yafD	+	298231	299010	27	46	27	22	26	24	9	8	8
SL1344_0254	yafE	+	299088	299858	12	19	9	6	8	7	1	1	1
SL1344_0255	dniR	-	299914	301281	268	215	283	159	221	190	20	12	16
SL1344_0256	gloB	-	301353	302108	20	14	14	11	16	14	2	1	2
SL1344_0257	yafS	+	302143	302865	19	20	19	19	16	17	12	7	10
SL1344_0258	rnhA	-	302862	303329	70	69	53	22	24	23	2	3	2
SL1344_0259	dnaQ	+	303393	304124	60	52	41	39	42	40	17	10	13
SL1344_0260	sciA	-	304656	305711	2	2	2	2	2	2	1	0	0
SL1344_0261	sciB	-	305722	306717	1	2	2	1	1	1	0	0	0
SL1344_0262	sciC	-	306714	308597	2	3	4	2	2	2	1	0	0
SL1344_0263	sciD	-	308613	309107	3	4	3	3	3	3	1	1	1
SL1344_0264	sciE	-	309104	309928	3	3	3	2	2	2	0	0	0
SL1344_0265	sciF	-	309915	310817	1	1	1	1	1	1	1	0	0
SL1344_0266	sciG	+	311185	313824	4	2	3	2	2	2	0	0	0
SL1344_0267	sciH	+	313924	314466	3	1	3	2	1	1	1	0	0
SL1344_0268	sciI	+	314490	315983	1	2	2	1	1	1	0	0	0
SL1344_0270	sciJ	+	316169	316615	3	3	6	3	4	4	4	1	2
SL1344_0271	sciK	+	316869	317354	2	1	1	1	0	0	0	0	0
SL1344_0272		+	317659	318144	10	7	5	5	3	4	1	1	1
SL1344_0273		+	318129	318512	2	2	3	1	1	1	1	1	1
SL1344_0274	sciK1	+	318655	319140	3	1	1	1	1	1	0	0	0
SL1344_0275	sciN	+	319207	319743	1	1	1	1	0	0	0	0	0
SL1344_0276	sciO	+	319747	321090	1	1	1	1	1	1	0	0	0
SL1344_0277	sciP	+	321087	322391	1	1	2	1	1	1	0	0	0
SL1344_0278	sciQ	+	322396	323169	4	2	3	2	1	1	2	1	2
SL1344_0279	sciR	+	323372	323803	3	1	3	2	2	2	2	1	2
SL1344_0280	sciS	+	323837	327706	2	3	4	2	2	2	0	0	0
SL1344_0281	sciT	+	327706	328494	2	1	1	2	1	1	0	0	0
SL1344_0282	sciU	+	328491	328907	2	2	1	3	2	2	1	0	0
SL1344_0283	sciV	+	328931	329452	4	7	5	3	4	4	2	1	1
SL1344_0284	vgrS	+	329849	332038	2	1	2	1	1	1	0	1	0
SL1344_0285	sciW	+	332062	332508	1	1	1	0	0	0	0	0	0
SL1344_0286		+	332521	336123	10	10	15	10	10	10	10	5	7
SL1344_0286A		+	336117	336380	98	85	143	113	117	115	85	47	66
SL1344_0286B		+	336396	337313	37	35	48	38	40	39	45	26	35
SL1344_0288	sciX	+	337307	337753	28	27	33	23	29	26	9	6	8
SL1344_0289	sciY	+	338265	338753	18	5	6	2	3	2	1	0	1
IsrA		+	339238	338816	0	0	1	0	0	0	0	0	0
SL1344_0291		+	339522	339830	12	8	10	5	9	7	4	3	4
SL1344_0292		-	339867	340180	1	1	2	1	1	1	0	1	1
SL1344_0293		+	340233	340373	5	6	10	8	6	7	2	3	2
SL1344_0294		+	340510	340975	1	0	0	0	0	0	0	0	0
SL1344_0295	safA	+	341687	342199	14	7	8	12	15	14	9	6	7
SL1344_0296	safB	+	342307	343020	5	2	5	5	5	5	2	1	2
SL1344_0297	safC	+	343044	345554	5	5	6	6	6	6	4	2	3
SL1344_0298	safD	+	345576	346046	8	8	7	6	3	5	0	0	0
SL1344_0299	ybeJ	+	346452	347273	3	2	4	3	4	4	2	1	2
SL1344_0300	sinR	+	348088	349035	25	21	79	82	115	98	59	46	52
SL1344_0301		+	349152	349367	4	7	22	13	22	17	3	1	2
SL1344_0302	pagN	-	349371	350090	20	17	51	96	71	83	58	24	41
SL1344_0303	sciZ	-	350421	350828	14	19	16	12	9	10	4	2	3
STnc1030		+	350892	351095	8	6	7	8	9	8	2	3	2
STnc1040		-	351100	351053	10	6	8	10	4	7	0	2	1
SL1344_0304	yafV	-	351199	351966	14	18	19	19	20	19	5	5	5
SL1344_0305	fadE	-	352075	354519	6	7	30	19	14	17	10	9	10
SL1344_0306	gmhA	+	354759	355337	108	127	94	64	69	67	9	7	8
SL1344_0307	yafJ	+	355550	356317	57	57	48	27	34	30	2	2	2
SL1344_0308	yafK	-	356288	357028	93	68	107	44	50	47	6	7	6
SL1344_0309	dbh	+	357278	358333	24	26	20	11	10	10	8	5	7
SL1344_0310		+	358540	359684	11	10	14	7	8	8	2	1	1
SL1344_0311	prfH	+	359681	360295	8	5	8	6	8	7	1	1	1
SL1344_0312	pepD	-	360451	361908	84	137	95	67	68	67	8	8	8
SL1344_0313	gpt	+	362157	362615	257	285	161	67	87	77	8	9	8
SL1344_0314	frsA	+	362704	363948	54	58	43	38	36	37	12	9	10
SL1344_0315	crl	+	364006	364407	269	389	296	190	156	173	19	18	18
SL1344_0316	phoE	-	364458	365510	4	5	3	3	4	3	3	2	3
SL1344_0317	proB	+	365793	366896	47	48	45	30	30	30	2	2	2
SL1344_0318	proA	+	366908	368158	49	53	40	31	27	29	2	2	2
SL1344_0319		-	368675	369475	0	1	1	1	0	1	0	0	0
SL1344_0320	dhaF	+	369393	370107	2	1	1	1	1	1	0	0	0
SL1344_0322		+	370217	370540	22	88	279	426	336	381	25	26	25
SL1344_0323		+	370836	372119	2	1	2	2	2	2	3	2	2
SL1344_0324	leuC2	+	372251	373465	2	1	2	2	2	2	1	0	1
SL1344_0325	leuD2	+	373674	374300	1	1	2	1	1	1	0	0	0
SL1344_0326		+	374315	375193	2	3	5	4	4	4	2	1	2
SL1344_0327		+	375193	376107	6	7	6	4	5	5	3	2	2
STnc3270		+	376115	376194	52	52	33	42	37	39	36	22	29
SL1344_0328		+	376141	377106	6	8	8	8	7	7	3	2	3
SL1344_0329		-	377051	377323	7	7	11	12	15	14	17	11	14
SL1344_0330		+	378014	378412	5	3	7	5	3	4	2	0	1
SL1344_0331	stbE	-	378459	379217	9	5	7	4	4	4	9	4	7
SL1344_0332	stbD	-	379183	380508	6	6	5	3	2	3	1	1	1
SL1344_0333	stbC	-	380513	383080	3	4	4	3	3	3	1	1	1
SL1344_0334	stbB	-	383064	383825	0	0	0	0	1	0	1	0	0
SL1344_0335	stbA	-	383887	384423	1	0	1	0	0	0	0	0	0
SL1344_0336		+	385057	385821	26	24	62	35	46	40	13	6	10
SL1344_0337		+	385794	386294	17	12	21	12	12	12	3	1	2
STnc1700		+	386381	386476	37	35	54	77	78	77	112	90	101
SL1344_0338		+	386594	388168	6	7	10	10	12	11	5	3	4
SL1344_0339		+	388268	389011	71	61	48	48	45	47	8	5	6
SL1344_0340		+	388984	389472	39	38	36	26	28	27	4	3	3
SL1344_0341		+	389874	390398	6	2	3	2	2	2	1	0	0
