locus_tag	common gene name	strand	start	end	MEP	Cold shock (15C)	pH3 shock	pH5.8 shock	NaCl shock	Bile shock	LowFe2+ shock	Anaerobic shock
SL1344_0035		-	38773	39534	1	2	1	2	4	1	2	2
SL1344_0036		+	40131	41624	6	6	5	6	19	7	7	7
STnc1010		+	41629	41708	260	238	368	213	345	306	230	464
SL1344_0037		+	41723	42913	5	5	4	3	4	4	4	7
SL1344_0038		+	42932	44185	2	3	2	3	4	4	3	3
SL1344_0039		+	44312	46027	10	9	7	8	15	11	13	10
SL1344_0040	nhaA	+	46190	47356	51	76	32	34	104	73	59	28
SL1344_0041	nhaR	+	47418	48317	53	40	18	26	68	60	50	32
SL1344_0042		-	48372	50411	4	4	2	5	3	5	5	4
SL1344_0043		-	50451	51824	1	2	1	1	4	1	2	2
SL1344_0044	rpsT	-	52280	52543	7528	6283	11240	13933	3440	9965	6724	968
SL1344_0045	yaaY	+	52649	52864	98	69	40	70	87	169	86	51
SL1344_0046	ribF	+	52872	53810	217	195	72	129	99	246	204	92
SL1344_0047	ileS	+	53855	56689	161	165	47	100	69	228	171	62
SL1344_0048	lspA	+	56689	57189	307	245	204	194	88	351	307	142
SL1344_0049	fkpB	+	57344	57793	182	150	32	88	52	217	163	64
SL1344_0050	ispH	+	57796	58746	127	124	64	94	50	148	128	57
SL1344_0051		+	58946	60148	26	31	16	14	19	30	25	22
SL1344_0052	rihC	+	60164	61084	24	24	14	13	12	32	24	22
SL1344_0053	citB2	-	61106	61792	6	9	2	6	3	9	9	13
SL1344_0054	citA2	-	61794	63413	5	2	4	7	11	8	8	15
STnc3220		+	61807	62034	66	252	150	64	137	69	76	119
SL1344_0055		-	63548	64849	0	0	0	0	0	0	0	0
SL1344_0056		-	64862	66637	0	0	0	0	0	0	0	0
SL1344_0057	oadG	-	66654	66893	1	1	0	0	0	1	0	1
STnc3090		+	66916	67048	10	5	12	22	5	1	14	9
STnc4160		-	67051	66912	34	15	25	23	33	1	36	46
SL1344_0058		-	67052	68392	1	1	0	1	1	1	1	1
SL1344_0059	citC2	+	68637	69683	1	0	0	1	1	2	1	1
SL1344_0060	citD2	+	69713	70006	1	1	0	1	1	2	1	1
SL1344_0061	citE2	+	70003	70872	1	1	0	1	0	1	1	2
SL1344_0062	citF2	+	70883	72403	1	1	1	1	1	2	1	1
SL1344_0063	citX2	+	72403	72954	2	3	1	2	1	2	4	1
SL1344_0064	citG2	+	72947	73840	2	3	2	2	3	2	3	3
SL1344_0065	dapB	+	74020	74841	48	54	28	36	33	77	62	136
DapZ		+	74847	74924	1601	1720	2867	1256	1490	1120	1652	3122
STnc3230		-	75015	74894	37	10	52	31	141	81	90	87
SL1344_0066A		+	75091	75438	2	5	0	1	2	1	1	1
SL1344_0067	carA	+	75883	77031	28	19	8	11	7	56	29	3
SL1344_0068	carB	+	77050	80277	26	17	6	11	5	43	23	6
SL1344_0069	caiF	+	80551	80946	13	16	12	9	10	22	9	387
SL1344_0070	caiE	-	81023	81619	1	1	1	2	1	2	3	2
SL1344_0071	caiD	-	81728	82513	2	2	1	2	1	2	1	2
SL1344_0072	caiC	-	82567	84120	3	3	2	2	3	3	4	4
SL1344_0073	caiB	-	84183	85454	3	2	2	2	2	3	3	6
SL1344_0074	caiA	-	85512	86654	3	2	3	3	4	5	4	15
SL1344_0075	caiT	-	86689	88206	0	1	0	0	0	0	1	1
SL1344_0076	fixA	+	88687	89457	2	1	1	2	3	2	2	4
SL1344_0077	fixB	+	89473	90414	1	0	0	0	1	1	0	2
SL1344_0078	fixC	+	90464	91750	1	1	1	1	1	1	1	2
SL1344_0079	fixX	+	91747	92034	2	2	1	1	2	3	3	3
SL1344_0080	yaaU	+	92181	93521	6	8	10	6	6	7	10	12
SL1344_0081		+	93610	93840	9	9	1	9	445	35	22	12
SL1344_0082		+	94134	94550	10	15	23	24	32	29	20	16
STnc470		-	94741	94653	60	54	105	96	550	85	81	117
SL1344_0083		-	94774	95064	7	15	10	7	217	17	19	11
STnc4170		+	95102	95188	51	124	94	73	212	42	112	92
SL1344_0083A		-	95134	95226	8	5	11	6	75	9	7	9
SL1344_0084		+	95962	97851	8	10	5	8	18	7	11	7
SL1344_0085		-	98056	98121	4	6	0	4	3	5	2	2
SL1344_0086	yabF	+	98258	98788	7	10	7	6	14	14	9	9
SL1344_0087	kefC	+	98781	100643	6	3	3	5	5	8	7	8
SL1344_0088	folA	+	100842	101321	125	131	88	116	26	136	95	30
SL1344_0089	apaH	-	101427	102275	58	91	27	29	52	65	50	39
STnc3240		-	101483	101322	86	122	83	85	64	69	132	123
SL1344_0090	apaG	-	102286	102663	175	174	76	129	67	139	146	54
SL1344_0091	ksgA	-	102666	103487	169	175	79	119	105	218	171	91
SL1344_0092	pdxAa	-	103484	104473	239	252	210	238	380	173	259	273
SL1344_0093	surA	-	104473	105759	155	193	40	96	99	210	159	81
SL1344_0094	imp	-	105813	108173	131	185	41	84	112	186	140	91
SL1344_0095	djlA	+	108427	109239	64	66	33	51	73	93	65	54
STnc4180		-	109322	109243	237	277	561	533	87	36	147	77
SL1344_0096	rluA	-	109334	109993	51	35	22	81	9	46	26	11
SL1344_0097	hepA	-	110005	112911	26	37	15	40	6	27	17	6
SL1344_0098	polB	-	113085	115436	15	27	17	11	24	13	11	8
SL1344_0099		-	115480	116100	14	20	22	17	26	12	12	15
SL1344_0099A		-	116195	116254	0	0	0	0	3	0	2	5
SL1344_0100		+	116819	117238	4	6	3	2	15	3	4	6
SL1344_0101	araD	-	117244	117939	2	3	1	1	2	1	4	8
SL1344_0102	araA	-	118080	119582	1	2	1	1	2	2	2	4
SL1344_0103	araB	-	119593	121302	0	1	1	0	0	1	0	1
SL1344_0104	araC	+	121643	122488	13	18	14	5	14	69	13	22
SL1344_0105	yabI	+	122607	123374	40	55	29	38	27	39	26	22
SL1344_0106	thiQ	-	123413	124120	23	29	16	18	9	25	21	9
SL1344_0107	thiP	-	124104	125714	28	25	24	25	9	27	25	8
SL1344_0108	tbpA	-	125690	126673	39	30	20	34	18	47	38	12
SroA		-	126802	126713	25327	31382	51711	40264	7914	280	26758	25156
SL1344_0109	yabN	-	126851	128509	6	7	5	5	13	8	8	5
SgrS		+	128577	128808	517	588	728	321	688	383	516	1014
SL1344_0109A	sgrT	+	128602	128724	0	0	0	0	0	0	0	0
SL1344_0110	leuD	-	129060	129665	5	6	2	5	98	6	7	3
SL1344_0111	leuC	-	129676	131076	3	3	1	2	53	5	3	3
SL1344_0112	leuB	-	131079	132170	5	10	4	5	106	9	5	5
SL1344_0113	leuA	-	132170	133741	1	6	2	2	31	3	2	2
SL1344_0114	leuL	-	133829	133915	541	2648	1887	928	7373	911	1257	2640
SL1344_0115	leuO	+	134572	135516	1	2	1	2	14	2	2	2
SL1344_0116	ilvI	+	135901	137562	9	9	6	10	10	11	11	9
SL1344_0117	ilvH	+	137565	138056	26	17	13	14	39	32	30	27
STnc1500		-	138274	138100	37	24	64	43	112	9	50	89
SL1344_0118	fruR	+	138340	139344	52	70	29	22	38	137	41	128
SL1344_0119	mraZ	+	139950	140408	381	331	209	292	405	469	440	288
SL1344_0120	mraW	+	140410	141351	216	216	90	181	158	262	238	165
SL1344_0121	ftsL	+	141348	141713	175	190	93	142	155	233	181	165
SL1344_0122	ftsI	+	141729	143495	211	258	199	208	152	219	278	294
SL1344_0123	murE	+	143482	144969	135	186	79	94	74	160	146	69
SL1344_0124	murF	+	144966	146324	123	153	46	71	59	138	121	64
SL1344_0125	mraY	+	146318	147400	116	150	50	81	76	134	123	63
SL1344_0126	murD	+	147403	148719	138	146	94	98	68	145	145	90
SL1344_0127	ftsW	+	148806	149963	111	117	43	68	48	127	109	61
SL1344_0128	murG	+	149960	151027	123	141	84	104	54	117	130	91
SL1344_0129	murC	+	151146	152621	118	132	46	89	42	119	128	63
SL1344_0130	ddl	+	152614	153534	182	160	132	156	99	179	197	174
SL1344_0131	ftsQ	+	153536	154366	181	215	111	143	103	184	189	132
SL1344_0132	ftsA	+	154363	155625	209	237	94	149	122	224	217	125
SL1344_0133	ftsZ	+	155686	156837	183	199	52	123	74	249	179	121
SL1344_0134	lpxC	+	156938	157855	574	519	151	471	529	638	536	347
SL1344_0135	yacA	+	158203	158631	125	190	70	58	67	143	123	89
SL1344_0136	secA	+	158693	161398	136	155	40	99	67	152	146	74
SL1344_0137	mutT	+	161550	161945	22	22	10	20	16	30	24	8
SL1344_0138	yacG	-	162267	162458	112	93	25	67	76	188	103	77
SL1344_0139	yacF	-	162468	163211	74	67	28	38	44	88	68	35
SL1344_0140	coaE	-	163211	163831	102	96	47	59	63	100	100	55
SL1344_0141	guaC	+	164057	165100	91	131	45	106	62	169	96	74
SL1344_0142	pilC	-	165131	166333	1	1	1	1	0	1	2	1
SL1344_0143	pilB	-	166323	167708	1	1	0	1	1	0	1	0
SL1344_0144	pilA	-	167718	168155	1	1	0	1	1	1	0	1
SL1344_0145	nadC	-	168377	169123	22	23	8	13	8	33	26	16
SL1344_0146	ampD	+	169358	169921	38	57	38	22	38	51	35	32
SL1344_0147	ampE	+	169918	170772	47	41	27	38	51	49	51	56
SL1344_0148		-	170864	171814	11	14	9	13	8	9	14	12
SL1344_0149		-	171814	173220	2	3	2	2	5	4	4	4
SL1344_0150	aroP	-	173384	174757	16	25	12	18	40	18	20	13
SL1344_0151	pdhR	+	175320	176084	886	699	1027	581	496	150	512	39
tp2		-	176242	176086	0	3	0	0	0	1	0	6
SL1344_0152	aceE	+	176244	178907	871	568	117	540	283	993	593	41
SL1344_0153	aceF	+	178922	180811	974	537	117	668	285	1165	656	58
SL1344_0154	lpdA	+	181011	182435	989	788	178	722	471	1271	727	89
SL1344_0155		+	182724	183008	10	26	6	18	6	9	4	2
SL1344_0156		-	183046	183837	1	3	1	3	3	1	1	1
SL1344_0157	yacH	-	183850	185464	2	4	2	1	3	3	3	4
SL1344_0159	acnB	+	185853	188450	133	146	28	47	190	203	121	69
SL1344_0160		-	188511	189353	152	192	285	155	784	436	286	105
SL1344_0161	yacL	+	189599	189961	59	60	59	38	97	84	58	111
SL1344_0162	kdgT	+	190196	191149	25	26	18	4	48	340	62	91
SL1344_0163		+	191146	192417	34	20	8	2	29	281	69	108
SL1344_0164	pdxAb	+	192407	193390	60	68	39	28	91	213	97	235
SL1344_0165		+	193400	194167	113	81	70	47	91	226	154	319
SL1344_0166	speD	-	194197	194991	124	105	34	118	79	141	63	7
SL1344_0167	speE	-	195012	195872	80	67	38	71	51	83	46	11
SL1344_0168	yacC	-	195979	196326	109	423	144	70	168	121	117	117
SL1344_0169	cueO	+	196528	198138	19	10	7	13	12	18	61	18
SL1344_0170	gcd	-	198216	200606	6	8	3	28	61	15	17	8
SL1344_0171	hpt	+	200812	201348	260	180	164	199	125	273	161	50
SL1344_0172	yadF	-	201406	202068	407	429	206	341	469	545	471	90
SL1344_0173	yadG	+	202177	203103	27	29	13	23	32	43	31	14
SL1344_0174	yadH	+	203100	203870	17	21	5	16	25	32	24	16
SL1344_0175	stiH	-	203987	205066	3	3	4	3	3	4	3	5
SL1344_0176	stiC	-	205075	207621	1	2	1	1	2	1	2	1
SL1344_0177	stiB	-	207648	208331	0	2	0	0	1	1	1	1
SL1344_0178	stiA	-	208379	208918	2	4	1	2	10	2	2	5
SL1344_0179	yadI	+	209289	209729	4	3	10	3	9	3	5	192
SL1344_0180	yadE	+	209791	211020	21	22	12	19	17	22	19	26
STnc4190		-	209971	209868	55	54	27	26	69	22	73	62
SL1344_0181	panD	-	211027	211407	237	140	77	100	83	289	306	126
SL1344_0182	panC	-	211502	212356	63	51	12	29	18	92	47	30
SL1344_0183	panB	-	212482	213273	48	47	17	21	11	73	39	26
SL1344_0184	folK	-	213394	213873	45	83	41	46	12	38	39	6
SL1344_0185	pcnB	-	213870	215288	167	202	84	136	34	137	129	35
SL1344_0186	yadB	-	215429	216370	35	60	34	28	23	41	27	12
SL1344_0187	dksA	-	216394	216849	460	369	123	184	413	893	420	225
SL1344_0188	sfsA	-	217026	217730	46	44	18	24	145	60	54	59
SL1344_0189	ligT	-	217747	218277	52	27	47	42	119	84	71	77
SL1344_0190	hrpB	+	218305	220779	38	27	23	27	24	36	37	25
SL1344_0191	mrcB	+	220920	223442	66	61	27	55	45	98	73	39
STnc3250		-	223676	223451	140	150	231	130	110	352	413	32
SL1344_0192	fhuA	+	223735	225924	139	226	47	110	50	400	354	8
SL1344_0193	fhuC	+	225973	226770	73	97	37	40	11	178	148	4
SL1344_0194	fhuD	+	226770	227660	81	140	57	55	12	140	162	5
SL1344_0195	fhuB	+	227657	229714	56	95	38	37	9	110	115	4
SL1344_0196	stfA	+	230653	231213	3	3	2	2	4	2	3	1
SL1344_0197	stfC	+	231299	233956	1	1	1	1	4	2	2	2
SL1344_0198	stfD	+	233974	234726	1	1	0	1	1	1	1	0
SL1344_0199	stfE	+	234790	235257	1	1	0	1	1	1	2	1
SL1344_0200	stfF	+	235254	235730	2	2	0	2	3	3	5	3
SL1344_0201	stfG	+	235730	236260	2	0	0	1	0	2	1	1
SL1344_0202		+	236260	237099	9	7	4	8	14	7	11	20
STnc1510		+	237091	237187	98	122	93	137	167	46	179	336
SL1344_0203	hemL	-	237207	238487	90	90	42	76	50	123	81	50
SL1344_0204	clcA	+	238657	240078	26	33	30	35	45	30	34	41
SL1344_0205	yadR	+	240160	240504	893	677	555	824	863	931	583	67
SL1344_0206	yadS	-	240605	241228	18	12	7	16	11	21	17	9
SL1344_0207	btuF	-	241265	242065	33	35	18	25	23	37	34	17
SL1344_0208	mtn	-	242058	242756	58	61	23	62	70	81	58	31
SL1344_0209	dgt	+	243051	244358	17	15	9	10	35	29	22	22
SL1344_0210	htrA	+	244488	245915	36	49	10	25	68	58	39	30
STnc3100		+	245838	245954	128	106	92	108	236	149	116	165
SL1344_0211	cdaR	+	246068	247225	6	13	22	2	5	36	5	33
SL1344_0212	yaeH	-	247314	247700	295	321	355	99	364	640	331	1004
SL1344_0213		+	248223	249248	12	16	16	17	24	20	14	14
STnc3110		+	249153	249274	42	61	81	57	154	49	50	96
SL1344_0214	dapD	-	249285	250109	173	209	64	91	187	329	275	190
SL1344_0215	glnD	-	250139	252811	28	23	11	15	10	42	31	15
SL1344_0216	map	-	253048	253842	124	135	76	89	124	198	144	63
t44		+	254126	254264	2494	1854	575	2064	1585	1866	1789	347
SL1344_0217	rpsB	+	254293	255018	1975	1423	585	1778	1213	1861	1348	179
SL1344_0218	tsf	+	255276	256127	1373	983	367	1079	691	1354	791	131
SL1344_0219	pyrH	+	256272	256997	306	264	69	249	114	430	184	36
SL1344_0220	frr	+	257144	257701	874	654	359	699	545	1106	669	307
sRNA1		+	257725	257790	775	525	699	890	351	427	658	634
SL1344_0221	dxr	+	257842	259038	69	58	34	69	34	80	48	29
STnc920		+	259116	259164	653	444	424	442	1012	388	584	379
SL1344_0222	uppS	+	259351	260109	194	222	93	170	54	193	142	49
SL1344_0223	cdsA	+	260122	260979	119	146	75	102	58	123	102	50
SL1344_0224	yaeL	+	260991	262343	251	225	169	200	188	253	225	121
SL1344_0225	yaeT	+	262375	264789	344	262	122	258	181	330	337	135
SL1344_0226	hlpA	+	264912	265397	1232	896	523	865	451	1273	1293	389
SL1344_0227	lpxD	+	265401	266426	393	250	149	294	280	387	349	166
SL1344_0228	fabZ	+	266532	266987	286	273	100	218	207	424	253	106
SL1344_0229	lpxA	+	266991	267779	220	189	62	222	104	271	182	76
SL1344_0230	lpxB	+	267779	268927	109	164	114	93	53	87	91	34
SL1344_0231	rnhB	+	268924	269520	95	140	82	76	49	94	75	35
SL1344_0232	dnaE	+	269544	273026	98	104	54	78	34	102	77	32
SL1344_0233	accA	+	273039	273998	148	144	43	113	63	210	123	59
SL1344_0234		+	274178	275941	12	11	10	13	11	11	15	14
SL1344_0235	ldcC	+	276017	278158	24	23	22	12	24	40	31	26
SL1344_0236	yaeR	+	278214	278603	46	30	30	17	65	96	59	52
SL1344_0237	mesJ	+	278747	279958	35	27	21	17	21	46	35	20
SL1344_0238	rof	-	280042	280296	310	186	147	230	1749	544	533	838
SL1344_0239	yaeP	-	280289	280507	270	251	191	195	1281	470	409	720
SL1344_0240	yaeQ	+	280687	281232	42	32	33	48	38	55	44	24
SL1344_0241	yaeJ	+	281229	281651	59	49	50	41	114	67	65	84
SL1344_0242	cutF	+	281683	282384	39	38	16	33	95	55	41	34
SL1344_0243	proS	-	282458	284176	125	152	25	79	32	150	105	35
SL1344_0244	yaeB	-	284287	284994	77	61	49	49	28	74	74	33
SL1344_0245	rcsF	-	284991	285395	125	140	97	92	144	212	139	101
SL1344_0246	metQ	-	285514	286329	122	127	65	170	193	147	151	111
SL1344_0247	yaeE	-	286368	287021	38	42	29	56	69	46	35	24
SL1344_0248	abc	-	287014	288045	26	23	9	54	52	45	24	13
SL1344_0249	yaeD	+	288235	288801	94	97	88	66	62	118	84	54
SL1344_0250	dkgB	+	295060	295863	23	141	12	22	11	30	23	14
SL1344_0251	yafC	-	295884	296798	4	5	4	2	14	8	7	10
SL1344_0252		+	296903	298078	3	4	1	1	2	4	4	3
SL1344_0253	yafD	+	298231	299010	46	43	11	18	77	71	65	77
SL1344_0254	yafE	+	299088	299858	19	27	5	6	19	14	14	21
SL1344_0255	dniR	-	299914	301281	215	248	96	223	72	193	156	56
SL1344_0256	gloB	-	301353	302108	14	17	12	13	21	32	18	17
SL1344_0257	yafS	+	302143	302865	20	36	23	14	31	29	23	30
SL1344_0258	rnhA	-	302862	303329	69	79	63	49	31	86	63	33
SL1344_0259	dnaQ	+	303393	304124	52	49	27	34	52	66	52	44
SL1344_0260	sciA	-	304656	305711	2	3	2	2	1	4	2	4
SL1344_0261	sciB	-	305722	306717	2	2	1	1	1	4	3	1
SL1344_0262	sciC	-	306714	308597	3	3	2	2	1	3	3	4
SL1344_0263	sciD	-	308613	309107	4	2	2	2	2	5	5	5
SL1344_0264	sciE	-	309104	309928	3	3	3	3	3	3	5	6
SL1344_0265	sciF	-	309915	310817	1	1	1	0	0	2	1	3
SL1344_0266	sciG	+	311185	313824	2	2	1	2	4	4	3	2
SL1344_0267	sciH	+	313924	314466	1	2	1	2	3	3	2	1
SL1344_0268	sciI	+	314490	315983	2	2	1	1	2	2	2	1
SL1344_0270	sciJ	+	316169	316615	3	4	2	2	7	2	3	2
SL1344_0271	sciK	+	316869	317354	1	2	1	1	3	1	1	0
SL1344_0272		+	317659	318144	7	15	9	8	13	5	6	5
SL1344_0273		+	318129	318512	2	7	1	2	4	1	3	3
SL1344_0274	sciK1	+	318655	319140	1	1	0	1	4	1	1	1
SL1344_0275	sciN	+	319207	319743	1	0	0	1	2	0	0	1
SL1344_0276	sciO	+	319747	321090	1	1	1	1	2	1	0	1
SL1344_0277	sciP	+	321087	322391	1	1	1	1	2	2	2	1
SL1344_0278	sciQ	+	322396	323169	2	2	2	2	6	3	2	2
SL1344_0279	sciR	+	323372	323803	1	1	2	1	9	4	2	1
SL1344_0280	sciS	+	323837	327706	3	2	1	2	3	2	2	2
SL1344_0281	sciT	+	327706	328494	1	1	0	2	1	2	2	1
SL1344_0282	sciU	+	328491	328907	2	1	1	1	5	4	3	2
SL1344_0283	sciV	+	328931	329452	7	5	4	4	11	7	5	9
SL1344_0284	vgrS	+	329849	332038	1	1	1	1	2	2	2	2
SL1344_0285	sciW	+	332062	332508	1	2	0	1	1	2	1	0
SL1344_0286		+	332521	336123	10	6	11	12	17	15	11	9
SL1344_0286A		+	336117	336380	85	58	127	122	171	188	75	60
SL1344_0286B		+	336396	337313	35	54	34	33	69	33	40	45
SL1344_0288	sciX	+	337307	337753	27	71	24	22	68	41	30	28
SL1344_0289	sciY	+	338265	338753	5	22	18	7	19	8	7	2
IsrA		+	339238	338816	0	2	1	0	0	0	0	0
SL1344_0291		+	339522	339830	8	12	10	14	17	11	6	4
SL1344_0292		-	339867	340180	1	0	1	1	3	1	3	1
SL1344_0293		+	340233	340373	6	7	4	11	4	3	9	11
SL1344_0294		+	340510	340975	0	0	0	0	0	0	1	0
SL1344_0295	safA	+	341687	342199	7	12	9	7	42	10	12	14
SL1344_0296	safB	+	342307	343020	2	2	3	2	12	5	4	3
SL1344_0297	safC	+	343044	345554	5	3	4	3	4	7	8	7
SL1344_0298	safD	+	345576	346046	8	7	4	5	5	8	10	6
SL1344_0299	ybeJ	+	346452	347273	2	2	1	1	3	2	3	3
SL1344_0300	sinR	+	348088	349035	21	33	23	18	76	28	46	12
SL1344_0301		+	349152	349367	7	22	7	3	17	4	8	6
SL1344_0302	pagN	-	349371	350090	17	38	31	45	87	41	27	52
SL1344_0303	sciZ	-	350421	350828	19	19	12	20	18	26	22	19
STnc1030		+	350892	351095	6	6	8	15	9	9	12	13
STnc1040		-	351100	351053	6	9	3	6	25	7	15	6
SL1344_0304	yafV	-	351199	351966	18	31	13	11	38	30	24	25
SL1344_0305	fadE	-	352075	354519	7	12	9	7	31	16	11	17
SL1344_0306	gmhA	+	354759	355337	127	144	74	76	86	187	121	109
SL1344_0307	yafJ	+	355550	356317	57	55	8	31	16	82	53	43
SL1344_0308	yafK	-	356288	357028	68	112	49	73	17	102	67	35
SL1344_0309	dbh	+	357278	358333	26	62	24	13	38	30	23	15
SL1344_0310		+	358540	359684	10	13	4	11	12	11	10	5
SL1344_0311	prfH	+	359681	360295	5	5	4	4	5	3	4	6
SL1344_0312	pepD	-	360451	361908	137	113	28	71	47	222	168	128
SL1344_0313	gpt	+	362157	362615	285	238	139	195	58	274	189	41
SL1344_0314	frsA	+	362704	363948	58	55	28	33	59	80	62	53
SL1344_0315	crl	+	364006	364407	389	356	261	217	490	563	511	162
SL1344_0316	phoE	-	364458	365510	5	7	4	4	7	5	7	11
SL1344_0317	proB	+	365793	366896	48	52	16	31	39	96	67	42
SL1344_0318	proA	+	366908	368158	53	45	16	31	22	70	58	33
SL1344_0319		-	368675	369475	1	0	1	1	1	1	1	1
SL1344_0320	dhaF	+	369393	370107	1	3	1	1	1	1	1	2
SL1344_0322		+	370217	370540	88	169	256	18	108	599	148	2693
SL1344_0323		+	370836	372119	1	2	2	1	4	2	1	4
SL1344_0324	leuC2	+	372251	373465	1	1	1	1	2	1	1	2
SL1344_0325	leuD2	+	373674	374300	1	0	0	0	1	2	1	0
SL1344_0326		+	374315	375193	3	2	1	2	3	4	5	4
SL1344_0327		+	375193	376107	7	5	6	6	7	6	8	9
STnc3270		+	376115	376194	52	88	92	54	173	95	69	141
SL1344_0328		+	376141	377106	8	8	5	5	9	13	11	9
SL1344_0329		-	377051	377323	7	10	7	10	20	6	9	14
SL1344_0330		+	378014	378412	3	6	4	4	23	5	6	7
SL1344_0331	stbE	-	378459	379217	5	8	5	6	8	5	11	8
SL1344_0332	stbD	-	379183	380508	6	4	4	6	6	4	7	6
SL1344_0333	stbC	-	380513	383080	4	5	4	3	4	3	4	7
SL1344_0334	stbB	-	383064	383825	0	0	0	0	0	0	1	0
SL1344_0335	stbA	-	383887	384423	0	1	0	0	1	0	0	1
SL1344_0336		+	385057	385821	24	32	39	27	100	36	60	25
SL1344_0337		+	385794	386294	12	24	20	11	72	16	20	12
STnc1700		+	386381	386476	35	52	78	76	199	32	48	10
SL1344_0338		+	386594	388168	7	10	4	5	16	8	9	7
SL1344_0339		+	388268	389011	61	66	57	55	88	65	82	32
SL1344_0340		+	388984	389472	38	50	37	27	42	50	49	15
SL1344_0341		+	389874	390398	2	4	3	2	11	1	3	1
SL1344_0342		+	390542	391183	4	6	4	4	8	2	3	1
SL1344_0343		+	391194	391418	4	3	5	8	14	4	4	2
SL1344_0344		+	391476	391835	8	5	13	11	18	8	16	10
SL1344_0345		-	391905	393362	1	1	2	1	3	1	2	2
SL1344_0346		-	393379	396546	1	1	1	1	1	1	1	1
SL1344_0347		-	396543	397553	0	1	1	0	0	0	0	1
SL1344_0348		+	398046	400334	2	1	1	1	2	2	3	3
SL1344_0349		+	400346	400810	2	2	1	3	4	6	8	5
SL1344_0350		+	400888	401082	16	10	9	13	18	13	54	31
SL1344_0351		+	401375	402628	5	10	6	14	42	7	9	8
SL1344_0352	mod	+	402817	404775	66	53	27	38	39	82	58	17
SL1344_0353	res	+	404782	407757	48	40	14	26	18	59	40	14
SL1344_0354		+	408034	408135	16	24	13	19	690	37	31	17
SL1344_0355		+	408252	409655	3	2	1	3	35	8	5	5
SL1344_0356		+	409652	410662	8	8	8	8	20	13	14	14
SL1344_0357		+	410679	410903	3	0	2	1	8	4	5	3
SL1344_0358		+	410999	412003	22	23	16	12	17	44	146	7
SL1344_0359	foxA	+	412149	414257	6	8	4	4	6	9	32	6
SL1344_0360	yahN	-	414298	414930	18	39	39	11	43	81	25	175
SL1344_0361	yahO	+	415162	415437	16	19	7	9	87	33	27	56
SL1344_0362	prpR	-	415573	417198	11	41	42	2	9	77	9	3
SL1344_0363	prpB	+	417463	418350	1	1	2	2	3	2	2	1
STnc3280		-	418463	418391	65	88	141	78	110	69	99	153
SL1344_0364	prpC	+	418473	419642	3	3	2	2	3	3	3	3
