Sequence name	locus tag	Name	Start	End	Strand	L Arabinose logFC	D Maltose monohydrate logFC	Mucin from porcine stomach logFC	N Acetyl D Glucosamine logFC	D Xylose logFC	28°C logFC	42°C logFC	Aerobic shaking logFC	bile salts logFC	deoxycholic acid logFC	Gentamicin logFC	peroxide logFC	pH 6 logFC	Starvation logFC	L Arabinose R1	L Arabinose R2	D Maltose monohydrate R1	D Maltose monohydrate R2	Mucin from porcine stomach R1	Mucin from porcine stomach R2	N Acetyl D Glucosamine R1	N Acetyl D Glucosamine R2	D Xylose R1	D Xylose R2	Glucose R1	Glucose R2	28°C R1	28°C R2	42°C R1	42°C R2	Aerobic shaking R1	Aerobic shaking R2	Bile salts R1	Bile salts R2	Deoxycholic acid R1	Deoxycholic acid R2	Gentamicin R1	Gentamicin R2	Peroxide R1	Peroxide R2	pH 6 R1	pH 6 R2	Starvation R1	Starvation R2	Control for TYG growth R1	Control for TYG growth R2
NC_004663.1	BT_0013	BT_0013	10181	10723	+	0.6719412839	-0.526338166	0.5029235116	0.6786867003	0.4658472769	-2.166661646	0.3949259565	-0.300721369	0.6163806687	-0.8807980375	0.6577414211	0.4108921947	-0.644441164	-0.1048037877	1.022629067	0.8665441331	0.4478936225	0.37181389	0.8390540483	0.8534139879	0.6916662375	1.225263536	0.5954843001	1.044538565	0.5704805445	0.6181187504	0.1050738462	0.1615647667	1.125104286	0.4845296924	0.4501540873	0.5574557299	0.6851630833	1.270166026	0.4064082125	0.2650184609	0.9573171199	1.066497265	0.6806782565	1.018761793	0.5312497408	0.2622291888	0.4932736034	0.6092987866	0.6099975484	0.6369651823
NC_004663.1	BT_0014	BT_0014	10893	13316	+	0.4273734439	-0.5279524532	0.1541684012	0.06054789501	0.1460799479	-1.4370445	0.4314254353	0.03872234928	0.150934729	-0.2266020763	0.514853154	0.2974945624	-0.1333839864	-0.3770297867	3.765134293	3.961344608	1.79157449	2.184406604	3.553640675	2.773595461	2.717260219	3.26736943	2.764748536	3.575535858	2.333784046	3.399653127	0.7355169232	1.023243522	2.487072633	4.014674594	1.929231803	2.973097226	2.234936724	3.117680247	1.828836956	2.252656917	3.53010688	3.199491794	2.775072892	3.129054079	2.656248704	1.704489727	1.832159098	2.572594877	2.236657677	2.547860729
NC_004663.1	BT_0015	BT_0015	13288	14586	+	0.9531782784	-0.0002955956846	-0.2682009508	0.8351084191	0.8653210728	-2.2203434	0.09072644607	0.02676906914	-0.2572335425	-0.1856343566	-0.2319998141	-0.2969444818	-0.3041894954	-0.1296518806	1.62690988	2.228256342	0.8509978828	1.11544167	0.8390540483	0.7822961556	1.729165594	1.786842657	1.658849122	1.92837889	0.9853754859	0.9786880214	0.2101476923	0.2692746111	1.065888271	1.38437055	0.771692721	1.548488138	0.8809239643	1.039226749	0.812816425	1.192583074	1.01714944	0.8531978118	0.6806782565	1.237067892	1.195311917	0.6555729721	0.7751442339	1.015497978	1.084440086	1.203156455
NC_004663.1	BT_0022	BT_0022	19044	19334	+	0.2939899114	0.01129233337	1.820733267	1.205561722	0.7965595401	-4.478262767	-0.04891132159	0.0936984353	-4.006839379	-3.679073707	-3.678106481	-0.2028333471	-0.8682334611	1.737643332	0.3253819759	0.09284401426	0.2239468113	0.1394302088	0.6169515061	0.7111783232	0.39523785	0.4594738261	0.2339402608	0.401745602	0.155585603	0.2060395835	0.05253692308	0.1346373055	2.753544701	1.522807605	2.66877066	2.105943868	0.2447011012	0	0.2709388083	0.06625461521	0.08974847999	0.4265989059	2.356193965	1.45537399	1.294921243	1.147252701	0.4580397746	0.7785484496	2.101102667	2.370925956
NC_004663.1	BT_0027	BT_0027	21544	22080	-	0.2768665565	-0.6424218647	-0.1967900362	-0.04193648654	0.03496781102	-0.7605864853	1.058749678	1.01332677	2.496106502	2.029657195	0.483681954	0.8051264296	0.7976653585	0.741580931	0.720488661	0.6189600951	0.4254989414	0.2788604175	0.4195270241	0.5689426586	0.6175591406	0.4594738261	0.7018207823	0.4419201622	0.5186186768	0.5923638024	0.1838792308	0.3231295333	0.8586322186	0.9690593848	0.7395388576	1.022002171	2.05548925	2.944475788	1.964306361	1.623238073	0.5983232	0.6398983588	0.7330381224	0.8004556947	0.8632808289	0.6555729721	1.19795018	0.6769986518	0.2711100215	0.6015782277
NC_004663.1	BT_0028	BT_0028	22552	22830	+	0.4038810881	-0.8551744651	-0.5913992527	-0.04045228113	-0.3866362778	0.2431784718	0.5040296977	0.5672515634	0.1426799703	0.3931149598	0.4160806546	0.3261980244	0.3722861857	-6.199902054	0.6507639519	0.8046481236	0.2687361735	0.3253371538	0.1480683615	0.6400604909	0.4940473125	0.5615791208	0.4253459287	0.401745602	0.4667568091	0.6181187504	0.5779061539	0.3231295333	0.5329441357	0.5537482199	0.4501540873	0.6813347809	0.6851630833	0.1154696388	0.3386735104	0.6625461521	0.53849088	0.4265989059	0.6806782565	0.2183060986	0.3984373056	0.5900156749	0	0	0.4744425376	0.2830956366
NC_004663.1	BT_0029	BT_0029	22906	26169	+	-0.5780772288	-0.4123616725	-1.915778195	-0.4423102507	-0.8606833114	0.1774406652	-0.6141090463	-0.3758092044	-1.109282802	-0.3088579249	-0.2370103895	-0.07446709692	-0.1546987934	-3.386989768	20.03423309	18.2593228	21.36452579	21.61168236	7.674876736	7.467372394	19.02082153	23.0757966	15.86540314	15.62790392	30.18360699	27.01694038	23.74668923	26.14656474	14.11315026	14.70893709	16.52708577	17.4669462	8.939746897	11.54696388	16.52726731	19.08132918	18.8471808	18.55705241	19.26843065	22.6674499	23.30858238	16.323767	2.67777099	2.775694472	23.58657187	20.52443365
NC_004663.1	BT_0030	BT_0030	26182	28011	+	-0.5163562598	-0.5440808108	-1.809558513	-0.3533124877	-0.9737697891	0.08238675066	-0.7477459984	-0.3934556242	-0.9460609087	-0.1317747862	-0.3229566425	0.07221801853	-0.001868601181	-3.483517155	9.854425557	11.26507373	10.92860439	9.760114613	4.07187994	4.551541269	11.21487399	12.4057933	7.401019159	7.95456292	13.84711867	16.32863699	10.98021692	12.54819688	5.980817523	7.267945386	8.488619931	8.423775473	5.970706869	5.542542661	9.144184782	11.13077536	8.226943999	9.811774835	10.95069195	12.44344762	13.08202487	9.112464312	0.7751442339	1.895596225	11.3188434	10.89918201
NC_004663.1	BT_0031	BT_0031	28131	29195	+	-0.4136232859	-0.4176925717	-1.572597862	-0.3837690109	-0.4959350364	0.1727502778	-0.8203983055	0.1753358753	-0.4918272282	-0.06300916947	-0.1989974682	0.09482641841	0.06655207778	-3.160485484	4.322931966	4.085136627	4.120621327	4.275859735	2.02360094	1.706827976	3.902973769	4.696843556	4.423597658	3.535361298	6.430871592	4.790420315	4.413101539	4.900797922	2.190992558	2.491866989	4.244309966	5.079041094	2.349130571	3.579558802	4.064082125	3.842767682	3.05144832	4.692587965	4.4505886	4.366121971	5.179684973	3.474536752	0.4228059458	0.8123983822	3.388875269	4.883399731
NC_004663.1	BT_0032	BT_0032	29209	29406	+	-0.8192764676	-0.3721840307	-2.029421236	-0.4646637599	-0.6095071449	0.4042052422	-1.683652961	0.4105500584	-0.4338298433	-0.005567323877	-0.05625693922	0.1243937199	-0.2066132931	-4.223058455	0.6972470913	0.9284401426	0.9405766073	1.254871879	0.5429173254	0.07111783232	1.284523012	0.7657897102	0.8506918574	1.004364005	1.192822957	1.648316668	1.418496923	1.615647667	0.3552960905	0.3460926374	1.6237701	1.424609087	0.9788044047	0.6928178326	1.354694042	0.927564613	1.1966464	0.8531978118	1.256636781	1.237067892	1.328124352	0.6555729721	0	0.1353997304	0.9488850753	1.344704274
NC_004663.1	BT_0033	BT_0033	29680	29970	+	0.1700564726	-0.2545663172	-1.893741027	-0.3718563399	-0.2144381148	1.099426747	-0.5282971371	1.215388204	0.0655919531	0.8519459324	0.5214881085	0.5340010106	0.6242276667	-2.027873199	0.8366965095	1.485504228	0.895787245	0.7901045163	0.1480683615	0.4267069939	0.988094625	0.5615791208	0.8506918574	0.8838403244	0.9335136182	1.081707813	1.523570769	0.8616787555	0.4737281206	0.2768741099	1.543385442	1.052971934	0.7830435238	0.3464089163	1.151489935	0.8613099978	0.77782016	0.8531978118	1.099557184	0.4366121971	0.7304683937	0.9833594581	0.1409353153	0.3384993259	0.6099975484	0.495417364
NC_004663.1	BT_0034	BT_0034	30281	31492	+	0.4592166893	0.1051643076	-0.02340579417	-0.3898395666	0.1990578857	-0.3247587656	0.5104674175	0.1045256211	2.3142131	2.745825492	0.5180704095	0.2195375035	-0.9726992123	0.6907342991	0.1859325577	0.495168076	0.3135255358	0.185906945	0.3948489639	0	0.197618925	0.153157942	0.1701383715	0.3615710418	0.155585603	0.3090593752	0.2626846154	0.4846943	0.6513761658	0.6921852748	0.3858463605	0.6193952554	1.774082984	3.002210608	3.725408615	2.650184609	0.8376524799	0.2132994529	0.5759585248	0.5093808966	0.2739256476	0.1966718916	0.4228059458	0.3384993259	0.2033325161	0.743126046
NC_004663.1	BT_0037	BT_0037	34087	35142	+	-0.1536530579	-0.02550092274	-0.6563927178	-0.389173828	-0.2076963361	-0.03305621093	-0.0167318253	-0.02625675	0.4419232034	0.368578132	0.6309808199	0.08714571214	-0.1496849225	0.05322390337	9.482560441	9.284401426	10.61507885	9.899544821	7.748910916	5.404955257	8.942256356	6.994212686	8.677056945	9.400847087	10.68354474	10.19895938	8.35337077	8.024383411	7.855991333	8.721534463	7.781234937	8.671533575	12.52869638	10.19981809	11.04075644	10.60073843	13.28277504	12.58466772	9.267696262	8.513937843	7.171871501	7.932432962	10.35874567	11.30587749	8.336633161	8.422095188
NC_004663.1	BT_0038	BT_0038	35266	35703	+	-0.03627455754	0.06342198695	0.3846840837	-0.2500312321	0.06311949307	-1.601853402	0.1801134943	0.00644484072	-1.646119237	-1.211356191	-0.4535305456	0.115368898	-0.2193282011	1.132064234	1.487460461	1.485504228	1.925942577	1.254871879	2.171669301	1.777945808	1.235118281	1.327368831	1.743918308	1.446284167	1.452132295	1.596806772	1.523570769	0.9693885999	5.447873387	3.114833737	4.180002239	3.46861343	1.566087048	0.8082874713	1.151489935	2.120147687	3.2907776	1.706395624	4.555308332	3.638434976	3.585935751	2.950078374	3.452915224	3.249593529	4.066650323	3.538695457
NC_004663.1	BT_0039	BT_0039	35989	36417	+	-0.07602704413	-0.110940554	0.002226615953	-0.161648295	-0.2786270715	-1.531877927	-0.01335053723	-0.4701672747	-1.875869948	-0.8128537803	-0.09108999381	-0.2279423798	-0.2654715339	0.3793789825	3.439752317	2.53773639	2.911308546	2.97451112	4.145914121	2.062417137	2.470236562	3.216316783	2.339402608	2.892568334	3.111712061	3.245123439	1.891329231	1.884922278	6.040033538	4.776078396	4.437233146	3.46861343	1.370326167	1.616574943	2.777122786	3.445239991	5.74390272	4.052689606	4.817107662	4.51165937	4.582029015	4.523453507	3.593850539	4.671290698	5.218867914	5.73268664
NC_004663.1	BT_0040	BT_0040	36478	38019	+	-0.06833731235	-0.05986858582	-0.1644705976	-0.402754309	-0.2717071438	-1.183276296	-0.2104993123	-0.6068171977	-1.384728449	-0.3752782762	0.4801069752	-0.1866232661	-0.3368376298	-0.10684226	6.182257543	7.613209169	8.017295843	5.809592031	6.07080282	6.827311903	5.13809205	5.76894915	5.997377594	5.94583491	7.36438521	7.056855733	3.887732308	3.554424866	6.217681583	8.444660353	5.594772227	5.512617773	3.132174095	3.348619524	5.351041465	7.685535365	11.54763776	12.15806882	6.021384577	8.950550041	6.906246631	6.490172424	6.483024502	6.905386249	9.692183269	7.218938732
NC_004663.1	BT_0041	BT_0041	38016	39218	+	-0.02766108537	-0.123765803	-0.1341908923	-0.4219655063	-0.3468438549	-2.258204006	-0.6324997002	-0.5223166935	-1.677443623	-0.7433750385	0.0000113550281	-0.3521413144	-0.397612117	-0.511782286	2.510089529	2.723424418	2.329046837	2.556220494	2.369093783	2.489124131	1.877379787	2.093158541	2.339402608	1.848029769	2.385645913	2.936064064	0.7355169232	0.7539689111	2.190992558	2.445721304	3.022463157	1.982064817	0.8809239643	1.385635665	1.828836956	2.451420763	4.12843008	2.559593435	2.408553831	3.274591478	3.386717098	2.065054862	1.832159098	1.895596225	4.337760344	2.830956366
NC_004663.1	BT_0042	BT_0042	39215	40375	+	0.1195286827	0.1182374723	-0.1087535292	0.06195009886	-0.1879318914	-1.187110544	0.006142294758	0.1078007115	-1.665413046	-0.9914383152	0.454631846	0.06881240228	0.0296442377	-0.009892307443	2.37064011	2.228256342	2.463414924	2.137929868	1.826176458	2.13353497	1.778570325	2.654737662	1.914056679	1.807855209	2.696817119	1.545296876	1.576107693	1.238663211	3.079232784	3.391707847	3.151078611	3.778311058	0.8809239643	1.154696388	1.219224638	2.00420211	4.72675328	3.839390153	3.141591953	3.638434976	3.619138859	2.950078374	2.043562071	2.166395686	3.456652774	2.972504184
NC_004663.1	BT_0044	BT_0044	40593	41537	+	-0.4304121557	-0.3715804375	-0.05711160022	-0.5029821252	-0.5944781098	-1.389631938	-0.3419523792	-0.1671773838	-2.208576787	-1.2051163	-0.2117592407	-0.07528007268	-0.2831397809	0.305997837	1.62690988	1.423608219	1.567627679	1.626685769	1.924888699	2.062417137	1.333927744	1.582632068	1.616314529	1.124887686	2.489369649	1.648316668	0.8405907693	1.400227978	2.546288648	2.076555824	2.700924524	2.539520547	0.9788044047	0.2309392775	1.083755233	1.457601535	2.63262208	2.346293982	2.879792624	2.692441882	2.473631606	2.360062699	2.889173963	2.234095551	2.982210237	2.901730275
NC_004663.1	BT_0045	BT_0045	41534	42700	+	-0.1558500049	0.04795100575	-0.09473428661	-0.1656915491	-0.1972057159	-1.418602325	-0.8093235371	-0.5227673677	-1.863088291	-1.020283944	-0.3349047447	-0.3833226189	-0.3793575667	-0.142680555	2.463606389	2.599632399	3.538359618	2.277360076	3.306860073	1.84906364	2.569046025	2.450527073	2.296868015	2.611346413	2.696817119	2.936064064	1.523570769	1.9387772	2.783152709	2.491866989	3.858463605	2.601460073	1.370326167	1.154696388	1.910118599	2.650184609	3.5899392	3.839390153	3.926989942	3.129054079	3.585935751	3.540094049	2.114029729	2.978794068	4.812202882	4.458756276
NC_004663.1	BT_0046	BT_0046	42724	43656	+	0.02343175144	-0.02959662316	0.03672957554	-0.07088703392	-0.3957990763	-1.208449151	-0.6279904703	-0.3208579379	-1.039244183	-0.8623641685	0.1128856704	-0.03757589979	-0.05546722008	-0.2952033394	4.741280221	5.261160808	4.97161921	4.647673625	5.281104892	4.764894766	4.298211619	5.054212087	3.275163651	4.178154261	4.978739297	4.841930211	2.626846154	2.854310878	3.789824965	4.429985759	4.75877178	5.388738722	2.838532774	3.348619524	3.725408615	3.246476145	7.53887232	5.759085229	6.283183906	6.064058293	5.910153367	6.293500532	3.593850539	4.400491237	5.964420473	6.723521368
NC_004663.1	BT_0047	BT_0047	43671	44066	+	0.6517141174	0.2332171617	0.5815704548	0.1797585305	-0.1393260661	-1.494627014	-0.8066635255	-0.7093577233	-1.613663761	-2.151649843	-0.1043381866	-0.1880425885	-0.5659407023	-0.1619020288	1.208561625	1.23792019	0.895787245	0.929534725	1.184546892	1.137885317	0.8398804312	0.9189476522	0.7656226716	0.6427929632	0.6742042798	0.8756682297	0.6829800001	0.5924041444	0.6513761658	1.453589077	1.221846808	0.9910324086	0.2936413214	0.9237571101	0.4064082125	0.3975276913	1.67530496	1.706395624	1.518436111	1.673680089	1.527343005	0.9178021609	0.9865472068	0.4061991911	1.829992645	1.792939032
NC_004663.1	BT_0048	BT_0048	44162	44638	+	-0.2938393672	-0.6457392718	-0.3431402204	-0.3324201087	-0.517960837	-1.420785938	-1.108398836	-0.6345485454	-1.046576384	-0.8400979064	0.3546072882	-0.3189069644	-0.1678346139	-0.5801849544	1.208561625	1.052232162	0.9405766073	0.8365812525	0.8390540483	1.422356646	0.8398804312	1.378421478	1.063364822	0.8838403244	1.296546692	1.49378698	0.5779061539	0.8078238333	0.8882402261	0.8306223298	1.157539082	1.238790511	0.9788044047	0.8082874713	1.083755233	0.9938192282	2.30354432	2.559593435	1.15191705	1.902381716	2.191405181	1.130863377	0.7046765763	1.150897708	2.304435183	1.415478183
NC_004663.1	BT_0049	BT_0049	44647	45582	+	-0.5036085176	-0.4926623502	-0.1203321951	-0.6248326553	-0.4097076917	-1.31732452	-0.8819774464	0.08336030086	-0.8671763886	-0.7124527873	0.2855306868	0.2065822327	0.02566970263	-0.4120136619	1.348011043	1.856880285	1.657206403	1.533732296	2.07295706	2.062417137	1.531546669	1.378421478	1.48871075	1.888204329	2.437507781	2.060395835	1.103275385	0.9155336777	1.480400377	1.245933495	2.443693617	2.9111577	1.174565286	1.616574943	1.422428744	1.65636538	3.35060992	2.559593435	2.67035316	3.201822779	2.789061139	2.360062699	1.268417837	2.098695821	2.439990194	2.618634638
NC_004663.1	BT_0050	BT_0050	45594	46565	+	0.1227729588	0.1636583713	0.1035009779	-0.05325951324	-0.1558973889	-1.435982001	-1.063678096	-0.6059941812	-1.284744228	-0.9922482458	0.05645451258	-0.1992107348	-0.4415551494	-0.4668310004	2.881954644	3.156696485	3.403991531	2.788604175	2.714586627	3.271420287	2.322022369	3.012106193	2.594610165	2.370299052	2.800540855	2.730024481	1.471033846	2.369616578	2.605504663	2.353429934	4.051386785	2.787278649	1.761847929	2.540332053	2.302979871	2.915203069	5.0857472	5.972384682	5.131266857	3.856741074	4.050779274	3.605651346	1.550288468	2.437195147	4.676647871	5.73268664
NC_004663.1	BT_0051	BT_0051	46565	47545	+	0.16408325	-0.2126356677	-0.3774121039	-0.2756627638	-0.46599605	-1.865318086	-0.9803055044	-0.2415862716	-1.561704086	-0.8513153588	-0.2875564238	-0.4456144954	-0.7377178872	-0.6272077573	5.717426148	5.508744846	5.016408572	3.625185428	4.244626362	3.413655952	4.446425812	3.828948551	3.147559872	4.09780514	4.563844356	5.460048961	1.471033846	2.208051811	3.73060895	3.045615209	5.530464501	5.822315401	2.544891452	1.962983859	3.725408615	3.710258452	5.59432192	5.332486323	4.71238793	5.166577666	3.585935751	4.45789621	2.959641621	3.520392989	6.913305548	6.511199641
NC_004663.1	BT_0052	BT_0052	47716	48834	+	0.1942142256	-0.04061072441	-0.2299513365	-0.3062615188	-0.162179038	-1.520540992	-0.7601411214	-0.2417869749	-1.055779528	-0.8338748419	0.1465441144	-0.01325027009	-0.2904554606	-0.3044297724	6.786538355	7.241833112	5.912195817	5.995498976	5.182392651	5.262719592	4.545235275	5.360527971	6.252585152	4.700423543	5.80852918	6.438736983	2.88953077	2.638891189	4.737281206	4.637641341	6.623695855	6.813347809	3.719456738	3.925967718	4.470490338	4.439059219	8.974847999	8.531978118	8.429938408	7.276869952	5.843747149	7.145745396	3.87572117	6.025288001	8.94663071	6.935843096
NC_004663.1	BT_0053	BT_0053	48834	49958	+	-0.2180805728	-0.4485253734	-0.2384447527	-0.7741890971	-0.2999229971	-1.230627393	-0.7410375381	0.01102696903	-1.330643839	-0.5970497868	-0.04755709533	0.166593848	-0.2041426952	-0.1928339614	3.114370341	3.71376057	3.000887271	2.788604175	3.849777398	2.773595461	2.420831831	2.195263836	2.552075572	3.856757779	3.993363811	3.914752086	1.628644616	1.669502589	2.605504663	2.007337297	3.665540425	4.149948211	1.468206607	1.616574943	2.573918679	2.550802686	3.70960384	3.839390153	4.345868869	4.366121971	3.851560621	2.884521077	3.946188827	2.978794068	3.727762796	4.034112821
