	SP TEX (Biological replicate 2)	SP TEX (Biological replicate 1)	SP TEX (Biological replicate 3)	SP (Biological replicate 2)	SP (Biological replicate 1)	SP (Biological replicate 3)	ML (Biological replicate 3)	ML (Biological replicate 1)	ML (Biological replicate 2)	EL (Biological replicate 2)	EL (Biological replicate 1)	EL (Biological replicate 3)	ML TEX (Biological replicate 3)	ML TEX (Biological replicate 1)	ML TEX (Biological replicate 2)	EL TEX(Biological replicate 3)	EL TEX (Biological replicate 1)	EL TEX (Biological replicate 2)
('1075562', 'Locus_Tag: BT_0226', 'Strand: -', 'Start: 245914', 'End: 246459')	0.259723871	0.6921991009999999	0.45257635399999996	3.216601823	1.6840083780000001	0.713051522	3.7162044069999998	19.73483895	22.12017957	135.631361	137.52883	103.11416009999999	2.5076496440000002	5.933457326	7.228823685	45.83656477	44.21043508	50.01117492
('1075563', 'Locus_Tag: BT_0227', 'Strand: -', 'Start: 246480', 'End: 247109')	1.5756581490000001	2.79956081	2.157280622	3.385090489	2.918947855	2.677904603	10.60939925	38.07570911	37.64872329999999	399.5765978	381.62239680000005	319.95093310000004	15.93750663	41.82428142	31.00732298	359.37766739999995	324.56754680000006	445.735192
('1075591', 'Locus_Tag: BT_0116', 'Strand: -', 'Start: 107019', 'End: 108731')	0.16556828199999998	0.073543629	0	0.073232616	0	0.075759123	0	0.074884094	0	0.308242508	0.153809857	0.20287969100000003	0.133214313	0	0	0.151397962	0.205217363	0.067544553
('1074980', 'Locus_Tag: BT_0297', 'Strand: +', 'Start: 349074', 'End: 350570')	0	0	0.016506793	0	0.076775933	0	0.239189863	0.25706704	0.19440677399999998	0.529077571	0.440007156	0.154768608	0.076217808	0.07213688900000001	0.072900413	0.476418135	0	0
('1075201', 'Locus_Tag: BT_0286', 'Strand: +', 'Start: 331576', 'End: 332022')	0.634493214	0.845504943	0.552811386	0	0	1.161300912	0.267015082	0	0.651066982	0.29531287300000003	2.063013417	0.777478546	0.255252928	0.24158595800000002	0.48828599	0.580189504	1.0485826790000001	0.776535704
('1074931', 'Locus_Tag: BT_0005', 'Strand: +', 'Start: 3460', 'End: 3996')	0.132038392	0	0.23008071600000002	0	0	0	0	0	0	0	0.245322425	0	0	0	0	0.24147552	0.218210641	0.215463352
('1074987', 'Locus_Tag: BT_0299', 'Strand: +', 'Start: 351688', 'End: 354804')	1.078241524	0.7275085840000001	0.47566254	0.040246221	0.147492553	0	0.191459322	0.41153818799999997	0.466838211	0.42349969200000004	0.422644025	0.334487883	0.274538159	0.38109661799999994	0.332612521	0.540821497	0.5639033410000001	0.44544300299999995
('1074978', 'Locus_Tag: BT_0296', 'Strand: +', 'Start: 345748', 'End: 349053')	0.9865736140000001	0.419171991	0.224234745	0.113836181	0	0.15701800000000002	0.46933594700000003	0.38801105	0.352119711	0.39928873	0.39848198	0.455528114	0.310611775	0.293980735	0.495153897	0.392233376	0.567110051	0.454975698
('1074970', 'Locus_Tag: BT_0294', 'Strand: +', 'Start: 343140', 'End: 344570')	0.594587981	0.44018251700000005	0.086340562	0.17532840100000002	0.321267846	0.18137718600000002	0.25022168	0.268923382	0.406746249	0.276739736	0.214807127	0.323813566	0.19933273699999998	0.075463958	0.152525393	0.0906166	0.24565852100000002	0.40427609999999997
('1074059', 'Locus_Tag: BT_0277', 'Strand: +', 'Start: 319627', 'End: 321744')	0.334771561	0.059480754000000004	0.058334912999999995	0.059229212	0.162795427	0	0.225412165	0.060564898	0.13740648800000002	0.186975714	0.310996559	0.16408541599999998	0.161611981	0	0.10305185900000001	0.144896713	0.119871615	0.163886431
('1072873', 'Locus_Tag: BT_0130', 'Strand: -', 'Start: 125549', 'End: 126364')	0.521357476	0.308775089	0.151413413	0.307469292	0.140849965	0.159038452	0.585077164	0.471604607	0.178325331	0.161770654	0.322887604	0.283932116	0.139826052	0.26467873399999997	0	0.476736596	0.287203712	0.141793897
('1074747', 'Locus_Tag: BT_0272', 'Strand: +', 'Start: 310606', 'End: 313776')	0.149068888	0.1191866	0.084420976	0.07912171	0.036245213	0.040925694	0.07527955900000001	0	0.045888827	0.166515111	0.124634004	0.182662099	0.035981728	0.034055163	0.17207808100000002	0.163572821	0.07390672599999999	0
('1074052', 'Locus_Tag: BT_0278', 'Strand: +', 'Start: 321756', 'End: 323528')	0.399913236	0.14210968599999999	0.20905811300000002	0.14150871	0	0.073195362	0.06731852299999999	0.144699891	0.24621568600000002	0.446716934	0.297209571	0.39202809899999996	0.128706214	0	0.36931275399999997	0.073137256	0.066090871	0.065258782
('1072566', 'Locus_Tag: BT_0288', 'Strand: +', 'Start: 332427', 'End: 333950')	1.209658815	0.413320986	0.729645737	0.24694384100000003	0.37707864799999996	0.42577223399999997	0.31326966300000003	0.16834180199999998	0.572887679	0.692938866	0.432211753	1.368239803	0.598939941	0.283435494	0.429653224	0.7657816190000001	0.384445913	0.531447992
('1071802', 'Locus_Tag: BT_0276', 'Strand: +', 'Start: 317808', 'End: 319613')	0.15704234	0.279025994	0.068412705	0.069461501	0.127279703	0.161680287	0	0.071027936	0.161144486	0.146184777	0.145889416	0.320720663	0	0.059794531	0.181282257	0.143601721	0.129766461	0.160165864
('1075555', 'Locus_Tag: BT_0234', 'Strand: -', 'Start: 254974', 'End: 255924')	0.894695479	1.324713317	0.909435766	0.527644463	1.45026589	1.637544189	1.506066139	1.618630324	2.601187168	1.804482758	1.93936277	3.04532869	0.9598154259999999	0.79487115	1.262304004	2.045305272	1.3553840769999999	0.8516579809999999
('1072712', 'Locus_Tag: BT_0082', 'Strand: -', 'Start: 77115', 'End: 78035')	2.155623526	3.282872611	2.41472335	1.498286842	2.371050884	2.536326585	2.203091863	4.1783860960000005	4.897847539	5.303126601000001	3.862030235	3.3960870689999996	1.1149647440000001	1.5242736190000001	3.317799922	0.98556621	2.0356849390000002	2.135683973
('1075631', 'Locus_Tag: BT_0248', 'Strand: -', 'Start: 273972', 'End: 274481')	1.9464012419999999	1.976160572	2.9071375230000003	2.213778901	2.4789593919999997	2.544615234	8.893172898	7.0426288	11.41282121	6.470826177999999	6.457752081000001	7.041516478999999	4.250711995	5.928803633999999	3.20976232	3.8138927710000003	5.514311263	3.403053528
('1074230', 'Locus_Tag: BT_0162', 'Strand: -', 'Start: 167345', 'End: 169663')	0.9172654159999999	0.767344045	1.118853057	0.9737190509999999	0.693863737	1.175197463	2.7793057539999997	2.267932117	2.509934807	1.8784649340000001	2.556367577	3.147128552	1.771250589	1.676412781	1.4117971390000001	1.286099244	1.532743913	0.8980891590000001
('1075326', 'Locus_Tag: BT_0252', 'Strand: +', 'Start: 277801', 'End: 281184')	2.0114784869999998	2.64320236	2.95739389	3.52172274	3.668092717	3.950018861	9.311440829	9.211341051	9.159092552999999	9.713123125	8.681325582000001	10.3725839	6.203913363	6.956733241	5.9338868410000005	7.548892962	6.752342581000001	6.0176927629999994
('1074962', 'Locus_Tag: BT_0258', 'Strand: -', 'Start: 288339', 'End: 290330')	2.776385593	4.36377325	8.559418461	5.9197099810000005	8.077660669	8.860166297000001	21.86990244	20.993033999999998	25.42102796	19.8802491	19.31101285	20.296015	14.49136992	15.39601116	16.54510015	13.80047143	13.35324245	11.3845124
('1075604', 'Locus_Tag: BT_0169', 'Strand: -', 'Start: 177407', 'End: 178462')	4.56582759	4.771978653	5.382058578	6.058542637	6.094962141	5.038627324	10.73749569	17.73519144	16.26002794	16.75061595	12.35045086	15.13874419	7.491286689	10.53301052	11.57459746	12.03398742	10.09782141	10.51852909
('1075492', 'Locus_Tag: BT_0180', 'Strand: +', 'Start: 187553', 'End: 190300')	3.251085044	3.850924258	4.293793458000001	5.751958281	5.562651037	6.0448501629999996	12.16142927	11.52994321	14.08536504	16.380515	12.75194538	11.46639393	8.304079971	7.1128075420000005	8.657481191	8.305070722	6.581020128	10.07706729
('1072109', 'Locus_Tag: BT_0186', 'Strand: +', 'Start: 195185', 'End: 197245')	4.910457199	5.501320367999999	7.3136865879999995	6.512799322999999	7.528399900000001	6.800456433	16.73644314	21.16156918	19.34531339	26.19601422	24.54509787	20.68447532	12.44227982	13.21261855	14.79096685	14.72262537	14.94351151	16.28985529
('1075341', 'Locus_Tag: BT_0259', 'Strand: -', 'Start: 290470', 'End: 291255')	1.80418872	3.36588418	2.750869635	5.107276176	5.26413306	3.9626069289999997	8.959273219	8.160079717	9.811977013	9.23698088	10.22395253	10.31692269	5.806516987	5.083448045	4.443029776	6.104169347000001	7.155976448	5.446617477999999
('1074965', 'Locus_Tag: BT_0260', 'Strand: -', 'Start: 291378', 'End: 291932')	7.4098518339999995	11.34957085	16.69639794	11.52760545	15.11738872	19.40784916	34.838973200000005	35.13156915	41.16327001	42.09884534	26.34762849	38.82349626	21.38053714	18.67916512	17.30379975	26.16811473	15.83501545	18.34583091
('1075456', 'Locus_Tag: BT_0167', 'Strand: -', 'Start: 176559', 'End: 176897')	4.1831632260000005	3.096859303	2.551249006	5.550773057000001	5.42459336	3.44536399	4.929145668	8.324725573	9.872595338	8.566686692000001	6.217729437999999	6.492748566	3.702296893	5.096822341	3.5411537089999996	4.97268615	3.8022721460000004	4.778328847
('1075628', 'Locus_Tag: BT_0250', 'Strand: -', 'Start: 275479', 'End: 276816')	16.32184001	17.41879203	13.75893002	4.875387516	7.645058214	10.08717429	19.08978228	24.44730609	22.40341921	17.75850054	17.82107906	14.80521366	15.94644021	18.15957231	19.24897822	11.72672262	13.57456108	12.45242905
('1075614', 'Locus_Tag: BT_0158', 'Strand: -', 'Start: 163152', 'End: 164579')	2.482654646	3.617079618	1.903482902	2.020512489	3.621856254	3.180769043	7.522420685	5.29993749	6.52161212	4.344697577	4.797187261	3.488308855	4.074930672	4.688594711	3.973991443	3.3598579180000003	3.2002699289999996	2.511777604
('1075485', 'Locus_Tag: hisG', 'Strand: +', 'Start: 215094', 'End: 215945')	5.991939437999999	6.949613982000001	11.311221699999999	11.63186645	11.06168179	15.07953324	17.93137901	18.66934295	21.34880728	18.28236241	14.99835659	16.72400154	11.65085812	15.589950199999997	11.6561087	12.7845983	9.214789507	11.40741887
('1074912', 'Locus_Tag: hisD', 'Strand: +', 'Start: 215955', 'End: 217241')	5.950037764	6.264751462	8.256089858	9.454859903	8.573133561	11.596090400000001	15.11653914	15.54866099	15.4897789	12.92355214	12.07855541	11.97147813	10.3725508	10.7401571	10.42985705	6.649864319	7.9211988710000005	8.810391883
('1075538', 'Locus_Tag: BT_0203', 'Strand: +', 'Start: 218282', 'End: 219406')	5.042106075	4.479297296	9.554791993	7.471093832999999	8.786033045	11.18952139	11.88252716	16.30536249	17.33227114	11.26441421	13.23236453	11.01808041	9.837788181	10.94287757	10.96169496	7.722709096	8.020259381	7.816435836
('1074954', 'Locus_Tag: BT_0202', 'Strand: +', 'Start: 217238', 'End: 218278')	4.086721423	4.598702195	6.053045707999999	6.386854916	7.507668475	12.09242225	13.52927714	15.03335954	16.91366947	12.68058156	12.52841124	13.01996493	8.768342655	8.921275127000001	9.970853084	6.726519816000001	5.853327517	6.0019272589999995
('1075514', 'Locus_Tag: BT_0183', 'Strand: -', 'Start: 192751', 'End: 194139')	0.93926922	1.45117623	2.468398356	2.7997635730000003	2.9788398739999997	3.4569394860000004	4.210533719	6.279912753	5.657111161	4.941866386	5.500944754	4.5036662210000005	4.517921695	3.0320864010000004	3.703952815	2.707342169	3.9087825510000003	2.415702504
('1074950', 'Locus_Tag: BT_0159', 'Strand: -', 'Start: 164674', 'End: 165546')	2.59902375	3.0304524230000003	2.689018958	2.299151818	4.476221582	3.4190534589999997	5.742200623	7.640750932	6.167237578	5.594707445	3.772569945	4.9097814710000005	4.574378073	3.710959565	5.375340792	3.713412206	3.35564474	3.180861029
('1075057', 'Locus_Tag: BT_0083', 'Strand: -', 'Start: 78109', 'End: 78975')	3.761951981	4.359177731	6.697816842999999	4.072030285	4.507198894	5.538280215	5.368943391	10.80067022	11.07715	11.11459555	8.660985145	8.150521921000001	5.395640612	6.476844307	8.307620121	5.384319207000001	5.946806264	6.5392008960000005
('1075622', 'Locus_Tag: BT_0249', 'Strand: -', 'Start: 274551', 'End: 275453')	6.595778296000001	7.39418885	10.125080300000002	9.307841154	13.10980941	11.49726485	24.71708047	29.97378916	27.23341805	16.66506463	15.90194632	12.57224998	12.25638062	12.91561874	14.01916123	8.759704992	11.54921503	7.047298003
('1075338', 'Locus_Tag: BT_0242', 'Strand: +', 'Start: 266639', 'End: 267115')	23.48622523	22.18519887	34.70890607	27.61422319	30.11886054	41.08193274	90.83046997	128.5453765	112.5670243	96.12093494	61.58827205	71.40089138	56.45103119	62.40869294	51.9348964	48.11741446	44.21853371	50.45365733
('1075625', 'Locus_Tag: BT_0239', 'Strand: +', 'Start: 263528', 'End: 264262')	14.47032994	15.94035645	18.32287697	17.409036800000003	18.76466478	18.7159047	42.22107864	59.862344799999995	57.017523100000005	37.17687726	30.64928212	26.63630921	40.05074717	35.40861296	42.16797953	15.52539751	15.78330928	18.41815909
('1075296', 'Locus_Tag: BT_0251', 'Strand: -', 'Start: 276813', 'End: 277556')	7.624152332	8.12775719	11.45857633	8.261997423	10.81364251	11.686761099999998	23.742808800000002	32.24152788	26.99040177	12.95208917	18.59207656	18.52886035	16.40926383	21.33652114	22.88249912	12.897519099999998	13.85989524	10.41956443
('1075384', 'Locus_Tag: BT_0166', 'Strand: +', 'Start: 175872', 'End: 176429')	1.270692055	2.93502343	5.535544119	2.0233463080000003	2.677663859	3.0234406810000003	7.4864712429999996	6.666697386	11.73495729	6.860467324	4.48570736	5.605369518	6.338781045	5.99938463	7.823076621	3.950591437	6.509950796	5.1838629
('1075617', 'Locus_Tag: BT_0240', 'Strand: +', 'Start: 264306', 'End: 266060')	2.504892441	1.8723558409999999	1.9712214540000002	1.787001013	1.178805865	1.109191256	3.128412599	4.31242777	4.891905843	5.716449519	2.4020629959999997	2.178268952	2.925591251	2.461286002	3.295721766	2.733833109	2.06983051	3.5601175360000004
('1075457', 'Locus_Tag: BT_0181', 'Strand: +', 'Start: 190313', 'End: 190912')	1.418092334	1.259802364	3.9125225830000003	1.045395592	1.724003577	1.946630654	5.569934605	5.98623448	8.488285774	11.0004045	5.70865284	5.792215167999999	4.183595489	3.5996307780000003	6.729801663	5.83525594	4.4918660489999995	5.592351297
('1075522', 'Locus_Tag: BT_0029', 'Strand: +', 'Start: 22906', 'End: 26169')	0.304125194	0.656147065	0.605653651	0.19216830699999998	0.281699931	0.318076904	0.877615747	1.218311902	1.604927983	1.132394581	1.4731746940000001	0.745321805	1.048695393	0.496272626	0.9696157009999999	0.715104895	0.682108815	0.673521011
('1075071', 'Locus_Tag: BT_0030', 'Strand: +', 'Start: 26182', 'End: 28011')	0.23247415300000002	0.6425221529999999	0.337577445	0.137101061	0.06280523	0.21274652	1.043547467	1.40192845	1.590311152	0.721338	1.007832784	1.1394521640000002	0.685835326	0.885155109	1.1330636379999999	1.062888149	0.576290726	0.505809049
('1075630', 'Locus_Tag: BT_0247', 'Strand: -', 'Start: 273387', 'End: 273965')	0.979683823	0.435164893	0.640172771	0.43332459799999995	1.389525048	1.1206854659999999	5.153529427	5.31715868	7.790876655	3.8757901869999998	6.82581049	6.402448545	3.9412110119999997	2.9841498680000003	3.2042186889999997	2.911469093	4.250019691	2.198172745
('1073930', 'Locus_Tag: BT_0064', 'Strand: +', 'Start: 59377', 'End: 61551')	0.717196123	1.158438956	0.738479762	1.384247957	1.3210755379999999	0.71600208	2.140171917	2.418084864	1.538763135	1.395913399	1.635370044	1.4380672140000001	0.629506531	1.0923017529999999	1.1038630870000001	0.238477893	0.915882733	0.638365903
('1072135', 'Locus_Tag: BT_0065', 'Strand: +', 'Start: 61621', 'End: 64158')	0.335246415	0.694926442	0.584176571	0.5437045629999999	0.86041681	0.6135951629999999	1.363796889	1.465727794	0.802674778	0.7281591629999999	1.2976570379999999	0.8215908040000001	0.854161985	1.148818333	0.69515341	0.306554029	0.554038366	0.59265156
('1074689', 'Locus_Tag: BT_0061', 'Strand: +', 'Start: 56555', 'End: 58894')	0.24240894600000001	0.538377079	0.5808063210000001	0.536100304	0.442052199	0.22183825100000001	0.9181210890000001	1.425293924	0.746222925	0.564123308	0.675580218	0.7920978009999999	0.731397813	0.922982251	0.8394762990000001	0.44332428799999996	0.851301258	0.395568615
('1075058', 'Locus_Tag: BT_0031', 'Strand: +', 'Start: 28131', 'End: 29195')	0.665771049	0.354873905	0.34803759100000004	0	0.32375654	0.487419256	1.120711188	1.56581586	1.093058933	0.867637538	0.989582291	0.761417956	0.964208948	0.50699025	0.717298997	0.36527423700000006	0.880218699	0.97777876
('1072710', 'Locus_Tag: BT_0060', 'Strand: +', 'Start: 55754', 'End: 56539')	0.240558496	0.160280199	0.353683239	0.159602381	0	0.33021724399999997	0.759260442	1.305612755	1.4810531340000002	0.6717804279999999	0.502817338	0.736923049	1.0161404729999999	0.41217146299999996	0.347111701	0.3299551	0.745414213	0.44161763299999995
('1074938', 'Locus_Tag: BT_0073', 'Strand: -', 'Start: 69588', 'End: 71018')	6.44136979	6.602737759	8.461375111	7.889778055	6.907258682999999	7.345776053	22.1029151	21.60351168	18.30358118	25.09106939	26.05303586	23.39553017	22.00633419	25.95960142	22.80254629	22.8504859	32.05843694	28.05676137
('1074936', 'Locus_Tag: BT_0072', 'Strand: -', 'Start: 69352', 'End: 69603')	6.190085584	3.4994510119999997	7.354365757999999	4.978074249	6.385198433999999	8.754688127	27.944399800000003	39.19558291	30.60402354	26.19143929	32.41176521	27.58197699	22.63850373	23.99753852	25.98379021	26.24321455	23.71482076	33.51737641
('1072469', 'Locus_Tag: BT_0308', 'Strand: +', 'Start: 370710', 'End: 371414')	0.201147849	0.17869537100000002	0.701011885	0.177939675	0.978158058	0.18407854899999998	2.878081711	4.730762811	5.572856314	3.557577626	3.363527042	3.9436358589999996	5.664442636	3.369867111	3.869926201	4.414378016000001	3.490441703	3.938853445
('1075546', 'Locus_Tag: BT_0041', 'Strand: +', 'Start: 38016', 'End: 39218')	0.353638986	0.628330356	0.616226158	0.20855772399999997	0.28661738600000003	0.539382282	0.496075401	0.853043745	0.72575297	0.219459441	0.43803206100000003	0.38518471600000004	0.379378417	0.269299061	0.36286589799999996	0.10779081800000001	0.584434485	0.48089700700000004
('1074937', 'Locus_Tag: BT_0066', 'Strand: +', 'Start: 64273', 'End: 65475')	0.707277972	0.733052082	0.958574024	0.8342308970000001	0.955391287	0.86301165	0.595290481	1.8127179580000001	2.177258909	0.658378324	1.204588169	1.733331222	1.327824458	1.286651068	0.544298847	0.574884363	1.5584919609999999	1.2503322190000001
('1075593', 'Locus_Tag: BT_0233', 'Strand: -', 'Start: 253724', 'End: 254845')	0.631948455	0.6736911040000001	1.101188456	0.335421046	1.3316724009999998	0.693985973	1.063776662	2.057911013	1.685984951	3.058936011	1.878618787	2.477953013	0.915225071	0.673727686	0.875389724	1.5024426069999999	1.462127986	0.8249826729999999
('1072169', 'Locus_Tag: BT_0281', 'Strand: -', 'Start: 326008', 'End: 326649')	0.22088665600000001	1.373616285	1.090553926	0.977005226	0.716097021	1.010711658	2.60277318	2.5974982730000002	2.26656496	6.37406616	2.8727943839999996	5.232842364	1.77722833	2.018484548	1.529886713	3.231709763	2.555307789	1.802240186
('1075543', 'Locus_Tag: BT_0222', 'Strand: +', 'Start: 242935', 'End: 243960')	2.902528168	4.174783664	0.963378906	1.100416413	1.2322312770000001	0.6324336110000001	3.489933963	3.6257477010000003	4.3966058310000005	6.818964195	4.365591466000001	5.98415992	2.335340385	1.578785429	2.127327853	3.917975615	2.96945124	2.706522104
('1075468', 'Locus_Tag: BT_0182', 'Strand: +', 'Start: 191106', 'End: 192656')	0.731446723	0.8934768540000001	0.796604415	0.727935035	0.666925949	0.753048609	2.616437919	2.3984636630000002	2.533116506	4.93635173	5.0962530930000005	4.481404385	1.6919763719999998	1.601383131	2.110868837	2.17374675	2.266520587	3.021279631
('1072877', 'Locus_Tag: BT_0149', 'Strand: -', 'Start: 153042', 'End: 153824')	10.14216739	16.443397400000002	12.46579085	4.8064165160000005	4.917336725	3.9777893310000003	20.42614223	25.556994500000002	28.24782568	47.54197808	44.92220184	47.7876245	15.88338239	16.55002657	14.77392516	29.64412696	32.47492696	24.38203102
('1075556', 'Locus_Tag: BT_0236', 'Strand: -', 'Start: 257778', 'End: 259826')	1.038134944	1.352642851	0.964789417	0.7346850429999999	0.9535728259999999	1.5833989380000002	15.26169072	14.77464273	13.20912909	22.29071718	20.83121433	21.37098422	9.132299483999999	7.852781639	7.793868941	12.72042128	13.03896441	12.64892907
('1075463', 'Locus_Tag: BT_0173', 'Strand: -', 'Start: 181926', 'End: 182936')	19.07621735	22.67893475	45.09513769	33.00596173	41.039584000000005	68.80277155	408.12344060000004	403.22707030000004	363.71171089999996	528.4111219	511.05538550000006	568.6797998	231.9580055	229.22277889999998	197.16068230000002	354.3223329	309.6959382	289.3549206
('1074956', 'Locus_Tag: BT_0237', 'Strand: -', 'Start: 259935', 'End: 262022')	2.671374447	1.7497255059999999	1.656845619	1.682245781	1.3761203519999998	1.802435791	20.75006426	22.23950002	19.09515847	30.85170918	28.89658489	29.29396177	9.781394888	9.464546442	7.8399367	16.39535513	15.37695274	14.518391199999998
('1075569', 'Locus_Tag: BT_0223', 'Strand: +', 'Start: 244031', 'End: 244723')	0.409261857	0.36357932600000004	0.356575309	0.724083527	0.66339724	0.561798169	3.78907116	2.961649712	2.939666069	5.143046261	4.942556571	3.6775969319999997	2.469654952	1.636195808	1.73225268	2.806760914	2.8745237280000002	2.671372466
('1075506', 'Locus_Tag: BT_0307', 'Strand: +', 'Start: 368717', 'End: 370363')	17.73691686	28.63303087	36.60839844	38.54063167	44.73128083	57.599150300000005	228.7832884	226.2556748	215.4871611	251.5065161	236.2807971	252.6020086	150.60666659999998	141.1002811	128.14883490000003	176.2294796	151.4719699	151.5670865
('1075638', 'Locus_Tag: BT_0246', 'Strand: -', 'Start: 272167', 'End: 273333')	0	0.323856649	0.211745235	0.322487072	0.393945405	0.44481705899999996	3.8864765880000003	2.528156317	3.990086592	3.845899775	3.3865846389999996	3.772136699	2.542030445	2.5909938759999998	1.589753745	2.000087726	1.706979386	2.676952132
('1074976', 'Locus_Tag: BT_0300', 'Strand: +', 'Start: 354807', 'End: 358001')	0.540014295	0.157721736	0.096677109	0.078527368	0.071945898	0	0.186785198	0.401491246	0.318808855	0.619741099	0.45355855	0.725159958	0.190461027	0.321093825	0.14232123	0.40586026399999997	0.275068343	0.22331984
('1074961', 'Locus_Tag: BT_0232', 'Strand: -', 'Start: 252590', 'End: 253357')	0	0.656147065	0.6435070039999999	0	0.299306177	0.168978355	0.777055609	1.503239685	0	1.8906945240000002	0.857670198	1.35755043	0.44569554200000006	1.265495195	1.136790821	1.013065267	1.106183045	0.903936093
('1072075', 'Locus_Tag: BT_0069', 'Strand: -', 'Start: 66856', 'End: 67662')	0.5271718710000001	0.468328016	0.306204076	0.310898317	0.569683132	0.160812115	0.591602189	1.589547127	0.7212563590000001	1.79932267	2.122175777	1.435493226	0.706927254	1.471967976	1.758011085	2.249582353	1.742440362	0.716876208
('1074949', 'Locus_Tag: BT_0198', 'Strand: +', 'Start: 212369', 'End: 214273')	0.744405425	0.198394073	0.324286994	0.263406763	0.241330335	0.27249423	1.1904247190000001	0.6733672079999999	0.9166202859999999	0.7622327529999999	0.414923283	0.121621316	0.718727929	0.566870989	0.572870965	0.47648634100000004	0.615113461	0.72884296
('1074943', 'Locus_Tag: BT_0121', 'Strand: -', 'Start: 110593', 'End: 110862')	1.13797533	0.933186937	0.915209961	1.39386079	1.277039687	0.480649544	2.431320661	1.9003918990000002	1.077877559	1.9556274669999998	1.463757138	0.429052975	2.112927015	2.399753852	0.808384584	1.921071914	0.43399672	2.999728665
('1075346', 'Locus_Tag: BT_0253', 'Strand: +', 'Start: 281298', 'End: 282143')	2.346724902	3.722820226	2.3367062830000003	1.779396753	1.222697572	1.380589116	2.398401426	3.79067533	2.064020857	4.056886767	2.3357826680000002	2.327840611	3.1019566810000003	3.9570409260000003	4.901906521	1.6860471590000001	1.523605505	2.325017658
('1072848', 'Locus_Tag: BT_0122', 'Strand: +', 'Start: 111648', 'End: 112655')	17.30410288	18.622078600000002	25.2499891	13.81415604	11.28811866	12.23081429	36.58821839	39.19558291	41.71963586	34.17982828	23.9820924	28.96107584	58.74691718	56.88702212	73.94553629	45.41105262	34.30640737	45.45507212
('1072110', 'Locus_Tag: BT_0156', 'Strand: -', 'Start: 161746', 'End: 162408')	4.491695175	3.420277912	6.52242393	2.838178079	4.507198894	2.9360945010000004	3.960522343	2.902182198	8.559615907000001	2.190125783	1.98700064	4.193458945	5.6790889	6.840927271	6.254921443	4.4984376280000005	5.302222368	5.409982531
