locus_tag	common gene name	strand	start	end	InSPI2 (biological replicate 1)	InSPI2 (biological replicate 2)	InSPI2 average (biological replicate 1 and 2)	InSPI2 LowMg2+	Peroxide shock (InSPI2)	Nitric oxide shock (InSPI2)
SL1344_0191	mrcB	+	220920	223442	52	47	49	44	14	33
STnc3250		-	223676	223451	8	8	8	9	357	33
SL1344_0192	fhuA	+	223735	225924	8	7	8	9	8	10
SL1344_0193	fhuC	+	225973	226770	2	2	2	2	1	3
SL1344_0194	fhuD	+	226770	227660	22	13	18	23	6	5
SL1344_0195	fhuB	+	227657	229714	7	5	6	6	1	4
SL1344_0196	stfA	+	230653	231213	3	4	3	2	1	2
SL1344_0197	stfC	+	231299	233956	6	4	5	6	1	4
SL1344_0198	stfD	+	233974	234726	2	2	2	1	0	0
SL1344_0199	stfE	+	234790	235257	2	2	2	1	0	1
SL1344_0200	stfF	+	235254	235730	1	2	2	2	1	2
SL1344_0201	stfG	+	235730	236260	2	1	2	2	1	1
SL1344_0202		+	236260	237099	10	11	11	21	9	13
STnc1510		+	237091	237187	125	50	88	200	295	344
SL1344_0203	hemL	-	237207	238487	58	60	59	59	32	44
SL1344_0204	clcA	+	238657	240078	36	36	36	47	13	38
SL1344_0205	yadR	+	240160	240504	370	354	362	375	255	410
SL1344_0206	yadS	-	240605	241228	8	10	9	9	2	3
SL1344_0207	btuF	-	241265	242065	17	14	15	15	4	9
SL1344_0208	mtn	-	242058	242756	47	44	46	31	14	20
SL1344_0209	dgt	+	243051	244358	25	25	25	26	9	23
SL1344_0210	htrA	+	244488	245915	48	40	44	59	12	23
STnc3100		+	245838	245954	149	169	159	204	69	156
SL1344_0211	cdaR	+	246068	247225	3	4	3	2	2	2
SL1344_0212	yaeH	-	247314	247700	264	214	239	265	135	209
SL1344_0213		+	248223	249248	52	62	57	90	20	21
STnc3110		+	249153	249274	163	168	166	324	114	165
SL1344_0214	dapD	-	249285	250109	692	643	668	192	166	235
SL1344_0215	glnD	-	250139	252811	13	11	12	13	6	15
SL1344_0216	map	-	253048	253842	85	80	82	71	42	64
t44		+	254126	254264	1403	1062	1233	474	171	218
SL1344_0217	rpsB	+	254293	255018	1002	846	924	314	215	143
SL1344_0218	tsf	+	255276	256127	669	606	638	191	174	90
SL1344_0219	pyrH	+	256272	256997	126	110	118	61	10	22
SL1344_0220	frr	+	257144	257701	451	398	425	326	152	261
sRNA1		+	257725	257790	800	577	688	331	567	467
SL1344_0221	dxr	+	257842	259038	34	31	32	20	7	18
STnc920		+	259116	259164	414	486	450	330	226	203
SL1344_0222	uppS	+	259351	260109	80	79	79	56	5	26
SL1344_0223	cdsA	+	260122	260979	64	63	63	45	16	28
SL1344_0224	yaeL	+	260991	262343	155	150	152	130	14	74
SL1344_0225	yaeT	+	262375	264789	229	199	214	164	66	86
SL1344_0226	hlpA	+	264912	265397	962	799	880	364	108	251
SL1344_0227	lpxD	+	265401	266426	276	265	271	132	50	101
SL1344_0228	fabZ	+	266532	266987	209	237	223	125	32	73
SL1344_0229	lpxA	+	266991	267779	160	141	151	92	19	46
SL1344_0230	lpxB	+	267779	268927	60	57	58	37	6	28
SL1344_0231	rnhB	+	268924	269520	47	55	51	42	9	32
SL1344_0232	dnaE	+	269544	273026	54	51	53	31	6	17
SL1344_0233	accA	+	273039	273998	116	113	114	54	14	32
SL1344_0234		+	274178	275941	11	9	10	15	8	12
SL1344_0235	ldcC	+	276017	278158	14	15	14	19	5	15
SL1344_0236	yaeR	+	278214	278603	35	28	31	26	11	27
SL1344_0237	mesJ	+	278747	279958	15	14	14	13	2	9
SL1344_0238	rof	-	280042	280296	455	359	407	537	720	905
SL1344_0239	yaeP	-	280289	280507	394	366	380	442	604	694
SL1344_0240	yaeQ	+	280687	281232	37	46	42	39	13	17
SL1344_0241	yaeJ	+	281229	281651	58	59	58	50	41	37
SL1344_0242	cutF	+	281683	282384	47	39	43	35	20	35
SL1344_0243	proS	-	282458	284176	71	69	70	30	12	19
SL1344_0244	yaeB	-	284287	284994	48	38	43	32	7	23
SL1344_0245	rcsF	-	284991	285395	88	79	83	74	19	50
SL1344_0246	metQ	-	285514	286329	806	651	729	283	249	283
SL1344_0247	yaeE	-	286368	287021	201	202	202	90	73	74
SL1344_0248	abc	-	287014	288045	148	144	146	55	119	46
SL1344_0249	yaeD	+	288235	288801	56	50	53	33	18	30
SL1344_0250	dkgB	+	295060	295863	12	11	12	18	4	11
SL1344_0251	yafC	-	295884	296798	4	3	4	7	6	7
SL1344_0252		+	296903	298078	2	2	2	4	1	2
SL1344_0253	yafD	+	298231	299010	38	34	36	35	21	56
SL1344_0254	yafE	+	299088	299858	15	11	13	13	5	43
SL1344_0255	dniR	-	299914	301281	219	193	206	129	26	57
SL1344_0256	gloB	-	301353	302108	21	16	19	17	11	21
SL1344_0257	yafS	+	302143	302865	12	13	12	22	20	29
SL1344_0258	rnhA	-	302862	303329	33	42	37	21	4	25
SL1344_0259	dnaQ	+	303393	304124	53	47	50	63	31	41
SL1344_0260	sciA	-	304656	305711	4	3	4	3	1	2
SL1344_0261	sciB	-	305722	306717	2	2	2	1	0	0
SL1344_0262	sciC	-	306714	308597	4	3	3	3	0	2
SL1344_0263	sciD	-	308613	309107	2	3	2	3	2	2
SL1344_0264	sciE	-	309104	309928	3	3	3	3	1	2
SL1344_0265	sciF	-	309915	310817	2	2	2	2	1	3
SL1344_0266	sciG	+	311185	313824	2	1	2	1	0	1
SL1344_0267	sciH	+	313924	314466	2	2	2	1	0	2
SL1344_0268	sciI	+	314490	315983	2	1	2	2	0	1
SL1344_0270	sciJ	+	316169	316615	3	4	4	5	2	4
SL1344_0271	sciK	+	316869	317354	1	1	1	1	0	0
SL1344_0272		+	317659	318144	5	3	4	5	4	5
SL1344_0273		+	318129	318512	1	0	1	1	1	2
SL1344_0274	sciK1	+	318655	319140	1	1	1	1	1	1
SL1344_0275	sciN	+	319207	319743	0	1	0	0	0	0
SL1344_0276	sciO	+	319747	321090	1	1	1	1	0	1
SL1344_0277	sciP	+	321087	322391	1	1	1	1	0	1
SL1344_0278	sciQ	+	322396	323169	2	2	2	3	1	3
SL1344_0279	sciR	+	323372	323803	1	1	1	3	2	4
SL1344_0280	sciS	+	323837	327706	2	2	2	3	0	2
SL1344_0281	sciT	+	327706	328494	2	2	2	2	0	2
SL1344_0282	sciU	+	328491	328907	2	2	2	5	1	4
SL1344_0283	sciV	+	328931	329452	6	5	5	7	5	7
SL1344_0284	vgrS	+	329849	332038	2	1	1	2	1	2
SL1344_0285	sciW	+	332062	332508	0	1	1	1	0	1
SL1344_0286		+	332521	336123	14	11	13	23	5	21
SL1344_0286A		+	336117	336380	110	87	99	197	28	223
SL1344_0286B		+	336396	337313	58	51	54	99	24	84
SL1344_0288	sciX	+	337307	337753	32	21	26	58	6	105
SL1344_0289	sciY	+	338265	338753	3	3	3	5	2	13
IsrA		+	339238	338816	0	0	0	0	0	0
SL1344_0291		+	339522	339830	7	6	7	12	3	27
SL1344_0292		-	339867	340180	1	1	1	3	0	3
SL1344_0293		+	340233	340373	8	6	7	7	1	7
SL1344_0294		+	340510	340975	0	0	0	0	0	0
SL1344_0295	safA	+	341687	342199	12	13	12	16	21	55
SL1344_0296	safB	+	342307	343020	5	4	5	4	2	10
SL1344_0297	safC	+	343044	345554	8	7	8	6	2	7
SL1344_0298	safD	+	345576	346046	10	7	8	7	2	6
SL1344_0299	ybeJ	+	346452	347273	11	12	12	10	2	3
SL1344_0300	sinR	+	348088	349035	17	18	17	14	4	48
SL1344_0301		+	349152	349367	4	3	4	1	1	9
SL1344_0302	pagN	-	349371	350090	338	332	335	389	60	50
SL1344_0303	sciZ	-	350421	350828	30	28	29	34	8	13
STnc1030		+	350892	351095	5	10	8	8	4	14
STnc1040		-	351100	351053	14	9	11	3	0	9
SL1344_0304	yafV	-	351199	351966	30	27	29	37	18	23
SL1344_0305	fadE	-	352075	354519	12	11	11	14	11	12
SL1344_0306	gmhA	+	354759	355337	99	89	94	94	56	71
SL1344_0307	yafJ	+	355550	356317	33	29	31	21	11	23
SL1344_0308	yafK	-	356288	357028	99	102	101	52	7	38
SL1344_0309	dbh	+	357278	358333	12	11	11	18	129	32
SL1344_0310		+	358540	359684	7	7	7	8	3	12
SL1344_0311	prfH	+	359681	360295	7	6	7	8	7	12
SL1344_0312	pepD	-	360451	361908	126	110	118	84	26	50
SL1344_0313	gpt	+	362157	362615	133	133	133	86	12	20
SL1344_0314	frsA	+	362704	363948	35	35	35	58	32	25
SL1344_0315	crl	+	364006	364407	264	244	254	187	82	142
SL1344_0316	phoE	-	364458	365510	8	7	8	80	3	7
SL1344_0317	proB	+	365793	366896	62	57	60	34	7	25
SL1344_0318	proA	+	366908	368158	65	50	58	35	12	20
SL1344_0319		-	368675	369475	1	1	1	1	1	1
SL1344_0320	dhaF	+	369393	370107	1	1	1	1	1	3
SL1344_0322		+	370217	370540	50	36	43	42	92	79
SL1344_0323		+	370836	372119	1	0	1	2	1	2
SL1344_0324	leuC2	+	372251	373465	1	1	1	2	1	2
SL1344_0325	leuD2	+	373674	374300	1	1	1	1	0	1
SL1344_0326		+	374315	375193	3	4	4	8	2	4
SL1344_0327		+	375193	376107	6	6	6	11	6	10
STnc3270		+	376115	376194	59	68	63	59	110	157
SL1344_0328		+	376141	377106	12	11	11	13	5	11
SL1344_0329		-	377051	377323	9	8	9	14	16	16
SL1344_0330		+	378014	378412	6	4	5	6	5	14
SL1344_0331	stbE	-	378459	379217	8	6	7	12	3	12
SL1344_0332	stbD	-	379183	380508	6	6	6	11	4	6
SL1344_0333	stbC	-	380513	383080	4	3	4	6	2	4
SL1344_0334	stbB	-	383064	383825	0	0	0	0	0	0
SL1344_0335	stbA	-	383887	384423	0	1	0	0	0	0
SL1344_0336		+	385057	385821	31	27	29	13	5	28
SL1344_0337		+	385794	386294	10	18	14	6	2	15
STnc1700		+	386381	386476	190	222	206	162	56	119
SL1344_0338		+	386594	388168	9	9	9	16	6	21
SL1344_0339		+	388268	389011	46	43	44	59	38	111
SL1344_0340		+	388984	389472	27	25	26	26	6	79
SL1344_0341		+	389874	390398	3	1	2	2	0	7
SL1344_0342		+	390542	391183	1	2	2	2	1	7
SL1344_0343		+	391194	391418	4	2	3	7	2	5
SL1344_0344		+	391476	391835	6	7	7	10	6	10
SL1344_0345		-	391905	393362	1	2	2	2	1	2
SL1344_0346		-	393379	396546	1	1	1	1	0	1
SL1344_0347		-	396543	397553	1	1	1	1	0	0
SL1344_0348		+	398046	400334	4	4	4	3	2	19
SL1344_0349		+	400346	400810	7	6	7	6	2	34
SL1344_0350		+	400888	401082	45	35	40	40	17	141
SL1344_0351		+	401375	402628	8	7	8	11	7	17
SL1344_0352	mod	+	402817	404775	30	28	29	20	6	17
SL1344_0353	res	+	404782	407757	21	20	21	16	6	11
SL1344_0354		+	408034	408135	124	160	142	455	107	286
SL1344_0355		+	408252	409655	22	25	24	39	2	20
SL1344_0356		+	409652	410662	30	34	32	61	6	28
SL1344_0357		+	410679	410903	16	13	14	24	2	10
SL1344_0358		+	410999	412003	14	9	11	6	52	14
SL1344_0359	foxA	+	412149	414257	5	5	5	5	5	6
SL1344_0360	yahN	-	414298	414930	30	25	27	38	24	30
SL1344_0361	yahO	+	415162	415437	203	142	172	356	48	149
SL1344_0362	prpR	-	415573	417198	2	3	3	3	1	3
SL1344_0363	prpB	+	417463	418350	2	2	2	1	1	2
STnc3280		-	418463	418391	92	79	85	121	90	177
SL1344_0364	prpC	+	418473	419642	2	2	2	3	3	3
SL1344_0365	prpD	+	419682	421133	2	1	2	2	1	2
SL1344_0366	prpE	+	421174	423060	2	2	2	2	1	2
SL1344_0367	hemB	-	423164	424138	56	39	48	32	16	24
SL1344_0368	yaiU	+	424651	427587	22	21	22	26	9	24
SL1344_0369	yaiV	+	427673	428296	9	6	7	13	7	22
SL1344_0370	ampH	-	428341	429471	29	31	30	28	6	22
SL1344_0371	sbmA	+	429947	431065	22	24	23	23	4	13
SL1344_0372	yaiW	+	431080	432174	19	19	19	18	3	12
SL1344_0373	yaiY	-	432212	432520	19	17	18	136	9	5
SL1344_0374	yaiZ	+	432788	433003	56	59	57	62	114	80
SL1344_0375	ddlA	-	433029	434123	46	44	45	25	8	18
SL1344_0376		+	434201	434914	8	7	7	18	5	10
SL1344_0377		+	435083	436294	11	11	11	18	3	20
SL1344_0378	yaiB	+	436585	436851	708	695	701	1047	231	346
STnc4150		-	437082	436953	32	31	31	83	44	136
SL1344_0379	psiF	+	437203	437523	92	95	93	265	80	97
SL1344_0380	adrA	+	437615	438727	14	13	14	29	8	18
SL1344_0381	proC	-	438742	439551	54	36	45	35	27	31
SL1344_0382	yaiI	+	439691	440146	18	17	17	12	4	8
SL1344_0383	aroL	+	440331	440876	103	111	107	59	98	79
SL1344_0384	yaiA	+	440903	441094	245	242	243	297	200	349
SL1344_0385	aroM	+	441345	442022	41	47	44	77	20	54
SL1344_0386	yaiE	+	442093	442377	174	127	150	167	64	220
SL1344_0387	rdgC	-	442415	443326	52	45	49	35	7	15
SL1344_0388	yajF	+	443452	444360	22	21	22	19	10	14
SL1344_0389	araJ	-	444382	445554	10	11	11	16	5	12
SL1344_0390	sbcC	-	445727	448867	8	7	8	8	2	7
SL1344_0391	sbcD	-	448864	450066	9	8	9	11	1	8
SL1344_0392	phoB	+	450281	450970	184	155	169	381	21	77
SL1344_0393	phoR	+	451040	452335	62	59	61	142	4	32
SL1344_0394	brnQ	+	452744	454063	80	79	79	71	54	78
SL1344_0395	proY	+	454138	455508	21	26	24	16	7	11
SL1344_0396	malZ	+	455670	457487	8	7	8	9	2	7
SL1344_0397	tsaA	-	457559	458161	480	421	450	514	110	78
SL1344_0398	yajB	-	458371	458952	67	54	60	62	48	29
SL1344_0399	queA	+	459046	460110	34	33	33	13	2	6
SL1344_0400	tgt	+	460307	461434	111	99	105	34	11	30
SL1344_0401	yajC	+	461457	461789	362	405	384	107	53	88
SL1344_0402	secD	+	461817	463664	143	132	137	52	23	51
SL1344_0403	secF	+	463675	464646	121	124	122	43	22	40
SL1344_0404		+	464794	465159	18	15	16	22	12	16
SL1344_0405		+	465185	465877	10	7	8	11	4	10
SL1344_0406	yajD	+	466047	466394	84	74	79	52	53	61
STnc1060		-	466783	466718	2876	1772	2324	4376	2508	4104
SL1344_0407	tsx	-	467023	467886	30	29	29	13	10	8
SL1344_0408	yajI	-	468186	468725	6	6	6	10	2	6
SL1344_0409	nrdR	+	468877	469326	320	295	308	401	165	98
SL1344_0410	ribD	+	469330	470433	119	100	110	152	20	38
