Sequence name	locus tag	Name	Start	End	Strand	L Arabinose logFC	D Maltose monohydrate logFC	Mucin from porcine stomach logFC	N Acetyl D Glucosamine logFC	D Xylose logFC	28°C	42°C	Aerobic shaking	bile salts	deoxycholic acid	Gentamicin	peroxide	pH 6	Starvation	L Arabinose R1	L Arabinose R2	D Maltose monohydrate R1	D Maltose monohydrate R2	Mucin from porcine stomach R1	Mucin from porcine stomach R2	N Acetyl D Glucosamine R1	N Acetyl D Glucosamine R2	D Xylose R1	D Xylose R2	Glucose R1	Glucose R2	28°C R1	28°C R2	42°C R1	42°C R2	Aerobic shaking R1	Aerobic shaking R2	Bile salts R1	Bile salts R2	Deoxycholic acid R1	Deoxycholic acid R2	Gentamicin R1	Gentamicin R2	Peroxide R1	Peroxide R2	pH 6 R1	pH 6 R2	Starvation R1	Starvation R2	Control for TYG growth R1	Control for TYG growth R2
NC_004663.1	BT_0012	BT_0012	8983	10149	+	0,4852773713	-0,8189006354	0,6445300053	0,4984856135	0,2934798677	-1,5839529408	0,0328236326	-1,056690442	-0,5751839784	-1,0846303178	-0,3867581667	-0,2082138087	-0,3475904599	-0,1946426363	2,9284377833	2,4758403802	1,074944694	1,11544167	3,0107233497	3,05806679	2,4208318311	3,0631588407	2,3819372006	2,3702990518	1,452132295	2,4209651056	1,3134230771	0,9155336777	3,6121769196	3,2532707917	1,9292318025	1,3007300363	2,2023099107	2,3093927752	1,1514899355	2,0042021102	2,5727897598	2,5595934353	2,4609136967	3,4201288773	2,7226549218	2,5567345911	1,6912237832	1,6924966296	3,1855427527	3,5386954571
NC_004663.1	BT_0013	BT_0013	10181	10723	+	0,6719412839	-0,526338166	0,5029235116	0,6786867003	0,4658472769	-2,1666616456	0,3949259565	-0,300721369	0,6163806687	-0,8807980375	0,6577414211	0,4108921947	-0,644441164	-0,1048037877	1,0226290672	0,8665441331	0,4478936225	0,37181389	0,8390540483	0,8534139879	0,6916662375	1,2252635363	0,5954843001	1,0445385652	0,5704805445	0,6181187504	0,1050738462	0,1615647667	1,1251042864	0,4845296924	0,4501540873	0,5574557299	0,6851630833	1,2701660264	0,4064082125	0,2650184609	0,9573171199	1,0664972647	0,6806782565	1,0187617932	0,5312497408	0,2622291888	0,4932736034	0,6092987866	0,6099975484	0,6369651823
NC_004663.1	BT_0014	BT_0014	10893	13316	+	0,4273734439	-0,5279524532	0,1541684012	0,060547895	0,1460799479	-1,4370444998	0,4314254353	0,0387223493	0,150934729	-0,2266020763	0,514853154	0,2974945624	-0,1333839864	-0,3770297867	3,7651342929	3,9613446084	1,79157449	2,1844066038	3,553640675	2,7735954607	2,7172602186	3,2673694301	2,7647485364	3,5755358578	2,3337840456	3,399653127	0,7355169232	1,0232435221	2,4870726332	4,014674594	1,9292318025	2,9730972259	2,2349367242	3,1176802466	1,8288369563	2,2526569172	3,5301068798	3,1994917941	2,775072892	3,1290540792	2,6562487042	1,7044897274	1,8321590984	2,5725948769	2,2366576774	2,5478607291
NC_004663.1	BT_0015	BT_0015	13288	14586	+	0,9531782784	-0,0002955957	-0,2682009508	0,8351084191	0,8653210728	-2,2203434005	0,0907264461	0,0267690691	-0,2572335425	-0,1856343566	-0,2319998141	-0,2969444818	-0,3041894954	-0,1296518806	1,6269098796	2,2282563422	0,8509978828	1,11544167	0,8390540483	0,7822961556	1,7291655937	1,7868426571	1,6588491218	1,9283788896	0,9853754859	0,9786880214	0,2101476923	0,2692746111	1,0658882714	1,3843705497	0,771692721	1,5484881385	0,8809239643	1,0392267489	0,812816425	1,1925830738	1,0171494399	0,8531978118	0,6806782565	1,2370678918	1,1953119169	0,6555729721	0,7751442339	1,0154979777	1,084440086	1,2031564554
NC_004663.1	BT_0022	BT_0022	19044	19334	+	0,2939899114	0,0112923334	1,8207332672	1,2055617225	0,7965595401	-4,4782627666	-0,0489113216	0,0936984353	-4,0068393786	-3,6790737075	-3,6781064815	-0,2028333471	-0,8682334611	1,737643332	0,3253819759	0,0928440143	0,2239468113	0,1394302088	0,6169515061	0,7111783232	0,39523785	0,4594738261	0,2339402608	0,401745602	0,155585603	0,2060395835	0,0525369231	0,1346373055	2,753544701	1,5228076046	2,6687706601	2,1059438683	0,2447011012	0	0,2709388083	0,0662546152	0,08974848	0,4265989059	2,3561939649	1,4553739903	1,2949212433	1,1472527011	0,4580397746	0,7785484496	2,1011026667	2,3709259563
NC_004663.1	BT_0027	BT_0027	21544	22080	-	0,2768665565	-0,6424218647	-0,1967900362	-0,0419364865	0,034967811	-0,7605864853	1,0587496783	1,0133267704	2,4961065021	2,0296571955	0,483681954	0,8051264296	0,7976653585	0,741580931	0,720488661	0,6189600951	0,4254989414	0,2788604175	0,4195270241	0,5689426586	0,6175591406	0,4594738261	0,7018207823	0,4419201622	0,5186186768	0,5923638024	0,1838792308	0,3231295333	0,8586322186	0,9690593848	0,7395388576	1,0220021714	2,05548925	2,9444757884	1,9643063605	1,6232380727	0,5983232	0,6398983588	0,7330381224	0,8004556947	0,8632808289	0,6555729721	1,1979501797	0,6769986518	0,2711100215	0,6015782277
NC_004663.1	BT_0028	BT_0028	22552	22830	+	0,4038810881	-0,8551744651	-0,5913992527	-0,0404522811	-0,3866362778	0,2431784718	0,5040296977	0,5672515634	0,1426799703	0,3931149598	0,4160806546	0,3261980244	0,3722861857	-6,1999020535	0,6507639519	0,8046481236	0,2687361735	0,3253371538	0,1480683615	0,6400604909	0,4940473125	0,5615791208	0,4253459287	0,401745602	0,4667568091	0,6181187504	0,5779061539	0,3231295333	0,5329441357	0,5537482199	0,4501540873	0,6813347809	0,6851630833	0,1154696388	0,3386735104	0,6625461521	0,53849088	0,4265989059	0,6806782565	0,2183060986	0,3984373056	0,5900156749	0	0	0,4744425376	0,2830956366
NC_004663.1	BT_0029	BT_0029	22906	26169	+	-0,5780772288	-0,4123616725	-1,9157781954	-0,4423102507	-0,8606833114	0,1774406652	-0,6141090463	-0,3758092044	-1,1092828018	-0,3088579249	-0,2370103895	-0,0744670969	-0,1546987934	-3,3869897685	20,0342330893	18,2593228043	21,3645257934	21,6116823563	7,6748767356	7,4673723941	19,0208215304	23,0757966002	15,8654031396	15,6279039177	30,1836069893	27,0169403802	23,746689234	26,146564737	14,1131502596	14,7089370901	16,5270857748	17,466946202	8,9397468966	11,5469638762	16,5272673092	19,0813291812	18,8471807988	18,5570524058	19,2684306465	22,6674498995	23,3085823795	16,3237670047	2,67777099	2,7756944725	23,5865718709	20,5244336511
NC_004663.1	BT_0030	BT_0030	26182	28011	+	-0,5163562598	-0,5440808108	-1,8095585126	-0,3533124877	-0,9737697891	0,0823867507	-0,7477459984	-0,3934556242	-0,9460609087	-0,1317747862	-0,3229566425	0,0722180185	-0,0018686012	-3,4835171551	9,8544255567	11,2650737301	10,9286043891	9,7601146125	4,0718799401	4,5515412688	11,2148739933	12,405793305	7,401019159	7,9545629195	13,8471186703	16,3286369886	10,9802169246	12,5481968769	5,9808175226	7,2679453857	8,488619931	8,4237754733	5,9707068689	5,5425426606	9,1441847817	11,1307753557	8,2269439995	9,8117748352	10,9506919512	12,4434476174	13,0820248683	9,1124643119	0,7751442339	1,8955962251	11,3188433978	10,8991820078
NC_004663.1	BT_0031	BT_0031	28131	29195	+	-0,4136232859	-0,4176925717	-1,5725978617	-0,3837690109	-0,4959350364	0,1727502778	-0,8203983055	0,1753358753	-0,4918272282	-0,0630091695	-0,1989974682	0,0948264184	0,0665520778	-3,1604854844	4,3229319659	4,0851366274	4,120621327	4,275859735	2,0236009399	1,7068279758	3,9029737686	4,6968435558	4,4235976582	3,5353612976	6,4308715922	4,7904203153	4,4131015391	4,9007979219	2,1909925578	2,4918669894	4,2443099655	5,0790410942	2,3491305714	3,5795588016	4,0640821252	3,8427676823	3,0514483198	4,6925879647	4,4505886004	4,366121971	5,1796849732	3,474536752	0,4228059458	0,8123983822	3,3888752688	4,8833997308
NC_004663.1	BT_0032	BT_0032	29209	29406	+	-0,8192764676	-0,3721840307	-2,0294212361	-0,4646637599	-0,6095071449	0,4042052422	-1,6836529609	0,4105500584	-0,4338298433	-0,0055673239	-0,0562569392	0,1243937199	-0,2066132931	-4,2230584553	0,6972470913	0,9284401426	0,9405766073	1,2548718788	0,5429173254	0,0711178323	1,2845230124	0,7657897102	0,8506918574	1,004364005	1,1928229566	1,6483166676	1,4184969233	1,6156476665	0,3552960905	0,3460926374	1,6237701004	1,4246090874	0,9788044047	0,6928178326	1,3546940417	0,927564613	1,1966463999	0,8531978118	1,2566367813	1,2370678918	1,3281243521	0,6555729721	0	0,1353997304	0,9488850753	1,3447042737
NC_004663.1	BT_0033	BT_0033	29680	29970	+	0,1700564726	-0,2545663172	-1,8937410273	-0,3718563399	-0,2144381148	1,0994267473	-0,5282971371	1,2153882045	0,0655919531	0,8519459324	0,5214881085	0,5340010106	0,6242276667	-2,0278731989	0,8366965095	1,4855042281	0,895787245	0,7901045163	0,1480683615	0,4267069939	0,988094625	0,5615791208	0,8506918574	0,8838403244	0,9335136182	1,0817078131	1,5235707694	0,8616787555	0,4737281206	0,2768741099	1,543385442	1,0529719342	0,7830435238	0,3464089163	1,1514899355	0,8613099978	0,77782016	0,8531978118	1,0995571836	0,4366121971	0,7304683937	0,9833594581	0,1409353153	0,3384993259	0,6099975484	0,495417364
NC_004663.1	BT_0034	BT_0034	30281	31492	+	0,4592166893	0,1051643076	-0,0234057942	-0,3898395666	0,1990578857	-0,3247587656	0,5104674175	0,1045256211	2,3142131004	2,7458254916	0,5180704095	0,2195375035	-0,9726992123	0,6907342991	0,1859325577	0,495168076	0,3135255358	0,185906945	0,3948489639	0	0,197618925	0,153157942	0,1701383715	0,3615710418	0,155585603	0,3090593752	0,2626846154	0,4846943	0,6513761658	0,6921852748	0,3858463605	0,6193952554	1,7740829836	3,0022106078	3,7254086148	2,6501846085	0,8376524799	0,2132994529	0,5759585248	0,5093808966	0,2739256476	0,1966718916	0,4228059458	0,3384993259	0,2033325161	0,743126046
NC_004663.1	BT_0037	BT_0037	34087	35142	+	-0,1536530579	-0,0255009227	-0,6563927178	-0,389173828	-0,2076963361	-0,0330562109	-0,0167318253	-0,02625675	0,4419232034	0,368578132	0,6309808199	0,0871457121	-0,1496849225	0,0532239034	9,4825604413	9,2844014259	10,6150788533	9,8995448213	7,7489109164	5,4049552567	8,9422563559	6,9942126864	8,677056945	9,4008470867	10,6835447419	10,1989593809	8,3533707704	8,0243834105	7,8559913333	8,7215344628	7,7812349368	8,6715335755	12,5286963807	10,1998180907	11,0407564402	10,600738434	13,2827750392	12,5846677235	9,267696262	8,5139378435	7,1718715014	7,9324329621	10,3587456719	11,3058774854	8,3366331613	8,4220951879
NC_004663.1	BT_0038	BT_0038	35266	35703	+	-0,0362745575	0,063421987	0,3846840837	-0,2500312321	0,0631194931	-1,6018534015	0,1801134943	0,0064448407	-1,6461192366	-1,2113561909	-0,4535305456	0,115368898	-0,2193282011	1,1320642343	1,4874604614	1,4855042281	1,9259425768	1,2548718788	2,1716693014	1,7779458081	1,2351182812	1,327368831	1,7439183076	1,4462841672	1,452132295	1,5968067718	1,5235707694	0,9693885999	5,4478733869	3,1148337367	4,1800022388	3,4686134302	1,5660870476	0,8082874713	1,1514899355	2,1201476868	3,2907775998	1,7063956235	4,5553083322	3,6384349758	3,5859357507	2,9500783743	3,452915224	3,2495935287	4,0666503226	3,5386954571
NC_004663.1	BT_0039	BT_0039	35989	36417	+	-0,0760270441	-0,110940554	0,002226616	-0,161648295	-0,2786270715	-1,5318779271	-0,0133505372	-0,4701672747	-1,8758699484	-0,8128537803	-0,0910899938	-0,2279423798	-0,2654715339	0,3793789825	3,4397523169	2,5377363898	2,9113085463	2,97451112	4,1459141209	2,0624171374	2,4702365624	3,2163167828	2,3394026077	2,8925683344	3,1117120607	3,2451234394	1,891329231	1,8849222776	6,0400335377	4,7760783963	4,4372331458	3,4686134302	1,3703261666	1,6165749427	2,7771227856	3,4452399911	5,7439027196	4,0526896059	4,8171076616	4,51165937	4,5820290148	4,5234535073	3,5938505392	4,6712906976	5,218867914	5,7326866405
NC_004663.1	BT_0040	BT_0040	36478	38019	+	-0,0683373124	-0,0598685858	-0,1644705976	-0,402754309	-0,2717071438	-1,1832762959	-0,2104993123	-0,6068171977	-1,3847284486	-0,3752782762	0,4801069752	-0,1866232661	-0,3368376298	-0,10684226	6,1822575426	7,6132091693	8,0172958428	5,8095920313	6,0708028198	6,8273119031	5,1380920498	5,7689491501	5,9973775943	5,9458349095	7,3643852104	7,0568557333	3,8877323082	3,5544248664	6,2176815829	8,4446603529	5,5947722273	5,512617773	3,1321740952	3,3486195241	5,3510414649	7,6855353647	11,5476377593	12,1580688176	6,021384577	8,9505500406	6,906246631	6,4901724236	6,4830245021	6,9053862486	9,6921832688	7,2189387325
NC_004663.1	BT_0041	BT_0041	38016	39218	+	-0,0276610854	-0,123765803	-0,1341908923	-0,4219655063	-0,3468438549	-2,2582040061	-0,6324997002	-0,5223166935	-1,677443623	-0,7433750385	1,14E-05	-0,3521413144	-0,397612117	-0,511782286	2,5100895286	2,7234244183	2,329046837	2,5562204938	2,3690937833	2,4891241314	1,8773797874	2,0931585412	2,3394026077	1,8480297692	2,3856459132	2,9360640642	0,7355169232	0,7539689111	2,1909925578	2,4457213044	3,0224631573	1,9820648172	0,8809239643	1,3856356651	1,8288369563	2,4514207629	4,1284300797	2,5595934353	2,4085538308	3,2745914783	3,3867170979	2,065054862	1,8321590984	1,8955962251	4,3377603441	2,8309563657
NC_004663.1	BT_0042	BT_0042	39215	40375	+	0,1195286827	0,1182374723	-0,1087535292	0,0619500989	-0,1879318914	-1,1871105442	0,0061422948	0,1078007115	-1,6654130464	-0,9914383152	0,454631846	0,0688124023	0,0296442377	-0,0098923074	2,3706401103	2,2282563422	2,4634149238	2,1379298675	1,826176458	2,1335349697	1,7785703249	2,654737662	1,914056679	1,807855209	2,6968171193	1,5452968759	1,5761076925	1,238663211	3,0792327839	3,3917078466	3,1510786108	3,7783110579	0,8809239643	1,1546963876	1,2192246376	2,0042021102	4,7267532797	3,8393901529	3,1415919532	3,6384349758	3,6191388595	2,9500783743	2,0435620713	2,1663956858	3,4566527742	2,972504184
NC_004663.1	BT_0044	BT_0044	40593	41537	+	-0,4304121557	-0,3715804375	-0,0571116002	-0,5029821252	-0,5944781098	-1,3896319384	-0,3419523792	-0,1671773838	-2,208576787	-1,2051163003	-0,2117592407	-0,0752800727	-0,2831397809	0,305997837	1,6269098796	1,4236082186	1,5676276788	1,6266857688	1,924888699	2,0624171374	1,3339277437	1,5826320677	1,616314529	1,1248876856	2,4893696486	1,6483166676	0,8405907693	1,4002279777	2,5462886482	2,0765558245	2,7009245235	2,5395205471	0,9788044047	0,2309392775	1,0837552334	1,4576015347	2,6326220798	2,3462939823	2,8797926238	2,6924418821	2,4736316058	2,3600626995	2,8891739629	2,234095551	2,9822102366	2,9017302748
NC_004663.1	BT_0045	BT_0045	41534	42700	+	-0,1558500049	0,0479510058	-0,0947342866	-0,1656915491	-0,1972057159	-1,4186023251	-0,8093235371	-0,5227673677	-1,8630882912	-1,0202839438	-0,3349047447	-0,3833226189	-0,3793575667	-0,142680555	2,4636063892	2,5996323993	3,5383596178	2,2773600763	3,3068600726	1,8490636404	2,5690460249	2,4505270726	2,2968680149	2,611346413	2,6968171193	2,9360640642	1,5235707694	1,9387771999	2,7831527085	2,4918669894	3,858463605	2,6014600726	1,3703261666	1,1546963876	1,9101185988	2,6501846085	3,5899391998	3,8393901529	3,9269899415	3,1290540792	3,5859357507	3,5400940492	2,114029729	2,978794068	4,8122028817	4,4587562759
NC_004663.1	BT_0046	BT_0046	42724	43656	+	0,0234317514	-0,0295966232	0,0367295755	-0,0708870339	-0,3957990763	-1,2084491506	-0,6279904703	-0,3208579379	-1,039244183	-0,8623641685	0,1128856704	-0,0375758998	-0,0554672201	-0,2952033394	4,7412802207	5,261160808	4,9716192098	4,647673625	5,281104892	4,7648947657	4,2982116186	5,0542120872	3,2751636508	4,1781542608	4,9787392972	4,8419302111	2,6268461542	2,8543108776	3,7898249648	4,4299857589	4,7587717795	5,3887387219	2,8385327737	3,3486195241	3,7254086148	3,2464761454	7,5388723195	5,7590852294	6,2831839065	6,0640582931	5,9101533669	6,2935005319	3,5938505392	4,4004912368	5,9644204731	6,7235213685
NC_004663.1	BT_0047	BT_0047	43671	44066	+	0,6517141174	0,2332171617	0,5815704548	0,1797585305	-0,1393260661	-1,4946270143	-0,8066635255	-0,7093577233	-1,6136637609	-2,1516498425	-0,1043381866	-0,1880425885	-0,5659407023	-0,1619020288	1,2085616249	1,2379201901	0,895787245	0,929534725	1,1845468917	1,1378853172	0,8398804312	0,9189476522	0,7656226716	0,6427929632	0,6742042798	0,8756682297	0,6829800001	0,5924041444	0,6513761658	1,4535890771	1,2218468083	0,9910324086	0,2936413214	0,9237571101	0,4064082125	0,3975276913	1,6753049599	1,7063956235	1,5184361107	1,6736800889	1,5273430049	0,9178021609	0,9865472068	0,4061991911	1,8299926452	1,7929390316
NC_004663.1	BT_0048	BT_0048	44162	44638	+	-0,2938393672	-0,6457392718	-0,3431402204	-0,3324201087	-0,517960837	-1,4207859377	-1,1083988357	-0,6345485454	-1,0465763837	-0,8400979064	0,3546072882	-0,3189069644	-0,1678346139	-0,5801849544	1,2085616249	1,0522321616	0,9405766073	0,8365812525	0,8390540483	1,4223566465	0,8398804312	1,3784214783	1,0633648217	0,8838403244	1,296546692	1,49378698	0,5779061539	0,8078238333	0,8882402261	0,8306223298	1,1575390815	1,2387905108	0,9788044047	0,8082874713	1,0837552334	0,9938192282	2,3035443199	2,5595934353	1,1519170495	1,9023817159	2,191405181	1,1308633768	0,7046765763	1,1508977081	2,3044351828	1,4154781828
NC_004663.1	BT_0049	BT_0049	44647	45582	+	-0,5036085176	-0,4926623502	-0,1203321951	-0,6248326553	-0,4097076917	-1,3173245202	-0,8819774464	0,0833603009	-0,8671763886	-0,7124527873	0,2855306868	0,2065822327	0,0256697026	-0,4120136619	1,3480110431	1,8568802852	1,6572064033	1,5337322963	2,0729570604	2,0624171374	1,5315466687	1,3784214783	1,4887107504	1,8882043294	2,4375077809	2,0603958345	1,1032753848	0,9155336777	1,4804003769	1,2459334947	2,4436936165	2,9111577003	1,1745652857	1,6165749427	1,4224287438	1,6563653803	3,3506099198	2,5595934353	2,6703531602	3,2018227787	2,7890611394	2,3600626995	1,2684178374	2,0986958206	2,4399901935	2,6186346382
NC_004663.1	BT_0050	BT_0050	45594	46565	+	0,1227729588	0,1636583713	0,1035009779	-0,0532595132	-0,1558973889	-1,4359820011	-1,0636780961	-0,6059941812	-1,2847442275	-0,9922482458	0,0564545126	-0,1992107348	-0,4415551494	-0,4668310004	2,8819546439	3,1566964848	3,403991531	2,788604175	2,7145866268	3,2714202869	2,3220223686	3,0121061934	2,5946101649	2,3702990518	2,8005408547	2,7300244807	1,4710338464	2,3696165776	2,6055046633	2,3534299344	4,0513867853	2,7872786493	1,7618479285	2,5403320528	2,302979871	2,9152030694	5,0857471997	5,9723846823	5,1312668569	3,8567410744	4,0507792739	3,6056513464	1,5502884679	2,4371951466	4,676647871	5,7326866405
NC_004663.1	BT_0051	BT_0051	46565	47545	+	0,16408325	-0,2126356677	-0,3774121039	-0,2756627638	-0,46599605	-1,8653180859	-0,9803055044	-0,2415862716	-1,5617040858	-0,8513153588	-0,2875564238	-0,4456144954	-0,7377178872	-0,6272077573	5,7174261484	5,508744846	5,016408572	3,6251854275	4,2446263618	3,4136559516	4,4464258123	3,8289485509	3,1475598722	4,0978051404	4,5638443558	5,4600489615	1,4710338464	2,2080518109	3,7306089497	3,0456152092	5,5304645005	5,8223154007	2,5448914523	1,962983859	3,7254086148	3,7102584519	5,5943219196	5,3324863235	4,7123879298	5,1665776657	3,5859357507	4,4578962101	2,9596416205	3,5203929895	6,9133055484	6,5111996411
