Sequence name	locus tag	Name	Start	End	Strand	28°C	42°C	Aerobic shaking	bile salts	deoxycholic acid	Gentamicin	peroxide	pH 6	Starvation
NC_004663.1	BT_0014	BT_0014	10893	13316	+	-1,4370444998	0,4314254353	0,0387223493	0,150934729	-0,2266020763	0,514853154	0,2974945624	-0,1333839864	-0,3770297867
NC_004663.1	BT_0015	BT_0015	13288	14586	+	-2,2203434005	0,0907264461	0,0267690691	-0,2572335425	-0,1856343566	-0,2319998141	-0,2969444818	-0,3041894954	-0,1296518806
NC_004663.1	BT_0022	BT_0022	19044	19334	+	-4,4782627666	-0,0489113216	0,0936984353	-4,0068393786	-3,6790737075	-3,6781064815	-0,2028333471	-0,8682334611	1,737643332
NC_004663.1	BT_0027	BT_0027	21544	22080	-	-0,7605864853	1,0587496783	1,0133267704	2,4961065021	2,0296571955	0,483681954	0,8051264296	0,7976653585	0,741580931
NC_004663.1	BT_0028	BT_0028	22552	22830	+	0,2431784718	0,5040296977	0,5672515634	0,1426799703	0,3931149598	0,4160806546	0,3261980244	0,3722861857	-6,1999020535
NC_004663.1	BT_0029	BT_0029	22906	26169	+	0,1774406652	-0,6141090463	-0,3758092044	-1,1092828018	-0,3088579249	-0,2370103895	-0,0744670969	-0,1546987934	-3,3869897685
NC_004663.1	BT_0030	BT_0030	26182	28011	+	0,0823867507	-0,7477459984	-0,3934556242	-0,9460609087	-0,1317747862	-0,3229566425	0,0722180185	-0,0018686012	-3,4835171551
NC_004663.1	BT_0031	BT_0031	28131	29195	+	0,1727502778	-0,8203983055	0,1753358753	-0,4918272282	-0,0630091695	-0,1989974682	0,0948264184	0,0665520778	-3,1604854844
NC_004663.1	BT_0032	BT_0032	29209	29406	+	0,4042052422	-1,6836529609	0,4105500584	-0,4338298433	-0,0055673239	-0,0562569392	0,1243937199	-0,2066132931	-4,2230584553
NC_004663.1	BT_0033	BT_0033	29680	29970	+	1,0994267473	-0,5282971371	1,2153882045	0,0655919531	0,8519459324	0,5214881085	0,5340010106	0,6242276667	-2,0278731989
NC_004663.1	BT_0034	BT_0034	30281	31492	+	-0,3247587656	0,5104674175	0,1045256211	2,3142131004	2,7458254916	0,5180704095	0,2195375035	-0,9726992123	0,6907342991
NC_004663.1	BT_0037	BT_0037	34087	35142	+	-0,0330562109	-0,0167318253	-0,02625675	0,4419232034	0,368578132	0,6309808199	0,0871457121	-0,1496849225	0,0532239034
NC_004663.1	BT_0038	BT_0038	35266	35703	+	-1,6018534015	0,1801134943	0,0064448407	-1,6461192366	-1,2113561909	-0,4535305456	0,115368898	-0,2193282011	1,1320642343
NC_004663.1	BT_0039	BT_0039	35989	36417	+	-1,5318779271	-0,0133505372	-0,4701672747	-1,8758699484	-0,8128537803	-0,0910899938	-0,2279423798	-0,2654715339	0,3793789825
NC_004663.1	BT_0040	BT_0040	36478	38019	+	-1,1832762959	-0,2104993123	-0,6068171977	-1,3847284486	-0,3752782762	0,4801069752	-0,1866232661	-0,3368376298	-0,10684226
NC_004663.1	BT_0041	BT_0041	38016	39218	+	-2,2582040061	-0,6324997002	-0,5223166935	-1,677443623	-0,7433750385	1,14E-05	-0,3521413144	-0,397612117	-0,511782286
NC_004663.1	BT_0042	BT_0042	39215	40375	+	-1,1871105442	0,0061422948	0,1078007115	-1,6654130464	-0,9914383152	0,454631846	0,0688124023	0,0296442377	-0,0098923074
NC_004663.1	BT_0044	BT_0044	40593	41537	+	-1,3896319384	-0,3419523792	-0,1671773838	-2,208576787	-1,2051163003	-0,2117592407	-0,0752800727	-0,2831397809	0,305997837
NC_004663.1	BT_0045	BT_0045	41534	42700	+	-1,4186023251	-0,8093235371	-0,5227673677	-1,8630882912	-1,0202839438	-0,3349047447	-0,3833226189	-0,3793575667	-0,142680555
NC_004663.1	BT_0046	BT_0046	42724	43656	+	-1,2084491506	-0,6279904703	-0,3208579379	-1,039244183	-0,8623641685	0,1128856704	-0,0375758998	-0,0554672201	-0,2952033394
NC_004663.1	BT_0047	BT_0047	43671	44066	+	-1,4946270143	-0,8066635255	-0,7093577233	-1,6136637609	-2,1516498425	-0,1043381866	-0,1880425885	-0,5659407023	-0,1619020288
NC_004663.1	BT_0048	BT_0048	44162	44638	+	-1,4207859377	-1,1083988357	-0,6345485454	-1,0465763837	-0,8400979064	0,3546072882	-0,3189069644	-0,1678346139	-0,5801849544
NC_004663.1	BT_0049	BT_0049	44647	45582	+	-1,3173245202	-0,8819774464	0,0833603009	-0,8671763886	-0,7124527873	0,2855306868	0,2065822327	0,0256697026	-0,4120136619
NC_004663.1	BT_0050	BT_0050	45594	46565	+	-1,4359820011	-1,0636780961	-0,6059941812	-1,2847442275	-0,9922482458	0,0564545126	-0,1992107348	-0,4415551494	-0,4668310004
NC_004663.1	BT_0051	BT_0051	46565	47545	+	-1,8653180859	-0,9803055044	-0,2415862716	-1,5617040858	-0,8513153588	-0,2875564238	-0,4456144954	-0,7377178872	-0,6272077573
NC_004663.1	BT_0052	BT_0052	47716	48834	+	-1,5205409925	-0,7601411214	-0,2417869749	-1,0557795278	-0,8338748419	0,1465441144	-0,0132502701	-0,2904554606	-0,3044297724
NC_004663.1	BT_0053	BT_0053	48834	49958	+	-1,2306273925	-0,7410375381	0,011026969	-1,3306438386	-0,5970497868	-0,0475570953	0,166593848	-0,2041426952	-0,1928339614
NC_004663.1	BT_0054	BT_0054	50011	51132	+	-1,5101369125	-0,2582476267	-0,0920112855	-2,3022544955	-0,9301367871	-0,384565912	0,321963657	-0,1884228088	-0,1841886931
NC_004663.1	BT_0055	BT_0055	51140	52255	+	-1,7277728813	-0,2664774941	-0,232364392	-1,1633672438	-1,0190544193	-0,2060376967	0,2334447278	-0,2136737962	0,8436557555
NC_004663.1	BT_0056	BT_0056	52276	53298	+	-1,8882763461	-0,6499903594	-0,603809082	-2,22540111	-0,9752916996	-0,5843699027	-0,0894488254	-0,724679351	0,1789040879
NC_004663.1	BT_0057	BT_0057	53288	53575	+	-1,6326273306	-0,4601598381	-0,0832783927	-1,7724291372	-0,8080501518	0,1075568894	0,1219533921	-0,3604194029	0,9237965401
NC_004663.1	BT_0058	BT_0058	53647	54777	+	-1,2826443022	-0,5660435791	-0,0900757859	-1,3985253479	-0,1475781598	0,1226962666	-0,1023425684	-0,1627719635	0,6196711989
NC_004663.1	BT_0059	BT_0059	54774	55715	+	-1,5797953903	-0,8412530707	-0,4984139058	-1,5911768651	-0,3824493182	-0,1888124831	-0,1663748711	-0,33124583	0,8097245576
NC_004663.1	BT_0060	BT_0060	55754	56539	+	-1,9199014427	-0,6203952581	0,1242252786	-1,8810881054	-0,8670180536	-0,2554465735	0,0843077235	-0,3252358635	0,9031533642
NC_004663.1	BT_0061	BT_0061	56555	58894	+	-2,1058204062	-0,5376655328	-0,207517638	-1,81821331	-0,7708550553	-0,4416412433	-0,0944496659	-0,4564893543	0,9391355468
NC_004663.1	BT_0062	BT_0062	58891	59103	+	-4,3599700104	-0,1909546857	0,0680691636	-2,6243466257	-2,0003726622	-1,1052140064	-0,2231853539	-0,2174336351	1,2943706962
NC_004663.1	BT_0063	BT_0063	59156	59356	+	-3,2104013301	-0,7601568991	0,1897143381	-2,9649559181	-1,7873922768	-1,813974924	0,0986626219	-0,4161428912	0,2255136179
NC_004663.1	BT_0064	BT_0064	59377	61551	+	-2,7968168677	-0,5769458184	-0,0051298752	-2,7114370574	-1,3745228529	-1,2095034431	-0,0018484107	-0,4260855742	0,3499962455
NC_004663.1	BT_0065	BT_0065	61621	64158	+	-2,9159474307	-0,4510681935	-0,0055335936	-2,8342490416	-1,4471379113	-0,9973291235	-0,0150876408	-0,409127214	0,6637980807
NC_004663.1	BT_0066	BT_0066	64273	65475	+	-2,7203266491	-0,3858474049	0,0350786658	-3,1709926433	-1,5205551038	-1,2285968343	-0,1950348657	-0,3665379298	0,7454839571
NC_004663.1	BT_0067	BT_0067	65813	66064	+	-2,1501080346	-1,043789829	-0,0121691876	-2,3056366519	-1,502094958	-1,6758271639	-0,1943065925	-0,501281695	1,0635281391
NC_004663.1	BT_0068	BT_0068	66092	66571	+	-1,736439801	-0,2847112819	-0,238434343	-2,7278279881	-1,6858726296	-0,9900864779	-0,2037395368	-0,3096444746	0,4435654243
NC_004663.1	BT_0069	BT_0069	66856	67662	-	0,0855440094	0,3283717203	0,0929114383	0,9774757851	0,8346725668	0,6139836645	-0,0647811717	0,1561498641	0,0878978605
NC_004663.1	BT_0070	BT_0070	67710	68333	-	-0,1305873517	0,1355147491	0,2207865923	0,3492998288	0,1820416074	0,066057142	0,0229511264	-0,0919077391	0,5730991597
NC_004663.1	BT_0071	BT_0071	68637	69134	-	0,5870629677	0,2363361743	0,0549922438	1,4988628922	1,1359961968	0,2055516478	0,3101666641	0,0468764428	-0,7084418974
NC_004663.1	BT_0072	BT_0072	69352	69603	-	0,898017021	-0,0841936521	0,2167816755	1,0510271007	0,6826293221	0,3295460571	0,1531309883	0,109908285	1,2360773857
NC_004663.1	BT_0073	BT_0073	69588	71018	-	0,6346173847	0,0083017346	0,1918872027	1,1130777592	0,6582765706	0,4384368556	0,1070650973	0,1155371115	1,1424880949
NC_004663.1	BT_0074	BT_0074	71009	71500	-	0,4452488319	0,0593379163	0,2173195571	0,9506294439	0,4629881619	0,4292637781	-0,0792765914	0,0511175097	0,8663327994
NC_004663.1	BT_0076	BT_0076	73184	74416	+	-1,3119532399	0,8530213759	-0,3614581171	1,4880317094	-0,0734548984	0,5474254001	0,0243226899	0,0072135244	0,6841312639
NC_004663.1	BT_0077	BT_0077	74493	74999	+	-1,9132572515	0,3521375326	0,0209715515	-1,255649222	-1,4095038549	-0,349510866	0,1241848699	-0,5710191298	-0,320712974
NC_004663.1	BT_0082	BT_0082	77115	78035	-	-0,4648993443	-0,5999715092	-0,1128533197	-1,0674866658	-0,7044301082	-0,907872104	-0,1579450397	-0,0931439963	2,8408289333
NC_004663.1	BT_0083	BT_0083	78109	78975	-	-0,5223059395	-0,4477998396	-0,0317919808	-0,6989224986	-0,7051086463	-0,5492947438	-0,0539192507	-0,1882900597	2,8170819135
NC_004663.1	BT_0084	BT_0084	79079	79522	-	-1,8942595444	1,1012645862	0,1865745081	-1,9035241812	-2,5062259327	-1,5379260104	0,2203362634	-1,6024896681	0,6177050954
NC_004663.1	BT_0085	BT_0085	79544	80122	-	-1,8687394169	0,8767007021	0,1522667902	-2,4004870155	-5,4127237637	-0,7382435104	-0,0397095484	-2,9773426695	0,6489221528
NC_004663.1	BT_0086	BT_0086	80125	81033	-	-2,5970769556	0,2996759877	-0,8559536956	-3,1275726893	-1,5929543001	-0,5150085877	0,3202560979	-0,1359067984	0,3796072624
NC_004663.1	BT_0087	BT_0087	81067	82452	-	-2,1343691674	0,1351029364	-0,128216081	-3,5995098211	-0,9646702551	-0,964817582	-0,1622495542	0,3966522043	0,6542245112
NC_004663.1	BT_0102	BT_0102	92986	94995	+	-0,5229437263	0,3673054006	-0,1362816604	-0,5859955711	-0,9286889862	0,1399720378	0,1774886768	0,8399801682	-0,8139482752
NC_004663.1	BT_0103	BT_0103	95169	96704	+	-0,3589114569	0,8978384788	0,1764366748	-0,0586109763	0,1156816303	0,5762770795	-0,1816522641	0,5298860302	-1,2374244972
NC_004663.1	BT_0105	BT_0105	96886	98967	+	-2,8238021472	0,5204229077	-0,0108948855	-1,8623560498	-1,6233219981	-2,1676406388	0,1172384758	-0,3454660235	0,0042230961
NC_004663.1	BT_0106	BT_0106	99073	99519	-	-0,9787932723	0,567059066	-0,1831315855	-0,0056578562	-0,7493859999	-0,7043337371	0,1935178239	-0,4173629614	1,1810487529
NC_004663.1	BT_0107	BT_0107	99969	100247	-	-2,3841511474	0,1205905793	-0,6911472705	-1,2598280988	-3,5765895303	-1,7757467102	-0,3355477031	-0,4688746189	1,8940038869
NC_004663.1	BT_0108	BT_0108	100303	102303	-	-2,1141645918	1,2189031082	0,4242750352	-0,7163308164	-1,6751110437	-0,6613906929	-0,2922174153	-0,2269408488	0,7930685194
NC_004663.1	BT_0110	BT_0110	102836	103696	-	-2,572014258	-0,2973826636	-0,2689414126	-0,4313407239	-1,6165777253	-1,64131087	0,0311243793	-0,937683414	-1,7964968207
NC_004663.1	BT_0111	BT_0111	103864	104115	-	-1,7093681365	-0,4128323688	-1,0218318334	-1,2357807519	-2,720730461	-1,4327028309	-0,048503609	-0,0476406758	0,618629779
NC_004663.1	BT_0112	BT_0112	104093	104998	-	-0,9551113584	0,1393346441	-1,3810360795	0,196011034	-0,8197015805	-1,830912609	-0,4616281895	-0,4821278082	1,1405232302
NC_004663.1	BT_0113	BT_0113	105024	105524	-	-0,1356659107	-0,4076921595	-0,5771275394	-0,2491485081	-0,3299210555	-0,4664291046	-0,2939199319	0,1699503725	-0,9471622673
NC_004663.1	BT_0114	BT_0114	105527	106573	-	-0,4682622437	0,5736122726	0,248940236	1,17925581	-0,0338346726	-0,3879247374	0,2430922908	-0,4110716604	-0,1989948144
NC_004663.1	BT_0116	BT_0116	107019	108731	-	-0,3195058719	0,3825775736	0,1062741994	2,142982656	0,1981132139	-0,4702615569	0,1862409312	-0,0110990126	-0,3080007318
NC_004663.1	BT_0117	BT_0117	108759	109085	-	-0,7223832304	0,3081802154	-0,5591981846	2,4876664292	0,100118033	-0,8139202004	-0,2986676016	-0,3041882843	-0,2478674439
NC_004663.1	BT_0118	BT_0118	109119	109826	-	0,2632522617	-0,32816725	-0,1290159282	3,7152743647	0,4547121524	0,6159745362	-0,9484155555	-0,8418913715	1,9030131426
NC_004663.1	BT_0119	BT_0119	109828	110271	-	0,075439185	-1,463974794	-0,1320393497	3,939263243	0,6361462796	0,24660672	0,1246399817	-0,4703123082	2,4304150476
NC_004663.1	BT_0120	BT_0120	110282	110515	-	-0,3490665205	-1,0054829744	-1,5101850707	4,5167196283	1,6227864805	0,4186817658	-1,5555001575	-0,598406578	0,7029758695
NC_004663.1	BT_0121	BT_0121	110593	110862	-	1,1712264691	0,473125566	-0,388456789	5,5432828375	2,2525691222	1,1470486859	0,1546505813	1,0364726744	-0,6422031002
NC_004663.1	BT_0122	BT_0122	111648	112655	+	0,7396199965	-0,2242289534	0,0589698234	0,502164758	0,6910033425	0,2795951957	-0,0283102496	0,3854308284	-2,8343486104
NC_004663.1	BT_0123	BT_0123	112706	113182	-	-0,1830652033	0,2393484756	-0,9025949624	1,2310069349	1,5085610913	-0,0739822489	-0,403140929	-0,5359924012	6,1293070243
NC_004663.1	BT_0124	BT_0124	113201	114967	-	0,2426065146	0,1920868182	-0,366579718	1,444494623	1,8386946044	0,3126536351	0,0021289937	0,3176737489	5,7165586548
NC_004663.1	BT_0125	BT_0125	114979	116886	-	-0,0893245041	0,415897846	-0,0393089865	1,5743965396	1,0182030681	0,184029778	-0,163643904	-0,1320835803	3,71543335
NC_004663.1	BT_0126	BT_0126	117467	120223	+	-0,6461535255	0,1637524507	0,0130338667	-0,8487125098	-0,6703549545	-0,4346134649	-0,1014143067	0,2470098453	0,022950486
NC_004663.1	BT_0127	BT_0127	120368	123661	+	-0,8141932179	-0,286244578	-0,0783951052	-1,3633094598	-1,2955527844	-1,1996781426	-0,0242538084	-0,0520531983	0,3218782575
NC_004663.1	BT_0128	BT_0128	123845	124243	+	0,2706513506	-0,1516396567	-0,0666966084	-0,0516505379	-0,0293078772	-0,0559030904	0,0029162946	0,2727020664	-1,2565820922
NC_004663.1	BT_0129	BT_0129	124349	125536	-	-1,2371801825	-0,3364566148	-0,2266907207	-1,7355973026	-1,4818594875	-0,4669943745	-0,3735686926	-0,4139120444	-0,3220434613
NC_004663.1	BT_0130	BT_0130	125549	126364	-	-1,5996877765	-0,4523537969	-0,2024952635	-1,8329720729	-1,3242914197	-1,055839839	-0,4694957749	-0,076066233	-0,3907447919
NC_004663.1	BT_0131	BT_0131	126746	127678	+	-4,5552722979	-0,8184697905	-0,4114120324	-3,4412486708	-4,0342454857	-3,6230632858	0,0227215064	-0,2316686136	2,5302512142
NC_004663.1	BT_0132	BT_0132	127918	129852	+	-2,0713547174	0,3763084207	0,0567885303	-1,7662586226	-1,7134251573	-0,8359405166	0,0376852228	0,0020656317	0,7859085042
NC_004663.1	BT_0133	murQ	129836	130669	-	0,0627993184	-0,317257478	0,1925463142	-1,1891902134	-0,9401860892	-0,2556804685	0,0671398458	0,3168121863	-0,0042020399
NC_004663.1	BT_0134	BT_0134	130680	131063	-	-0,3626750504	0,1183577824	0,1549118158	-1,0536626531	-1,1835506651	-0,411134769	-0,0328990479	0,3342554132	-0,3784665042
NC_004663.1	BT_0135	BT_0135	131041	131823	-	-0,3254606594	0,1813402244	0,093346521	-0,8128005327	-1,1392737732	-0,549510276	0,0885577093	0,382148187	-0,283545734
NC_004663.1	BT_0136	BT_0136	131976	133586	+	-1,2470761161	0,4538987332	0,1087484364	-0,436462057	-0,2992799985	0,0677381688	0,0995926382	0,4353201043	0,9351617433
NC_004663.1	BT_0137	BT_0137	133691	135616	+	-1,3860608693	0,8145222912	-0,0141050678	-1,9367288296	-1,4114871143	-0,7298661915	0,0774268686	-0,1311357225	0,7215758946
NC_004663.1	BT_0138	BT_0138	135838	138585	+	0,4901091506	0,5741233592	0,3125235879	1,2225758511	1,087520364	0,6415691691	0,0498000959	0,1512233637	1,4168768617
NC_004663.1	BT_0140	BT_0140	139919	143212	+	-1,7147651462	0,4404851931	-0,1094607266	-0,3073726539	-0,5916121323	-0,1504018705	-0,2323406701	0,1336173249	2,9644871268
NC_004663.1	BT_0141	BT_0141	143223	144962	+	-2,1069480803	0,1519104995	0,0856308278	-1,4209202855	-1,2929520081	-0,980936343	0,0008925331	0,0706489986	2,5855656958
NC_004663.1	BT_0142	BT_0142	144992	146377	+	-2,0559554064	0,1740262094	-0,0552883724	-1,1194926613	-1,5352254094	-0,7508558964	-0,1343270409	-0,0128092745	2,6394302368
NC_004663.1	BT_0143	BT_0143	146387	147763	+	-1,4821442944	0,3033108854	0,0425811433	-0,6530034531	-0,6811983075	-0,4638585888	-0,0729068799	-0,009920182	1,9324296162
NC_004663.1	BT_0144	BT_0144	147968	148198	+	-3,0193507789	0,317132469	-0,4711715143	-2,1162500604	-3,5858503834	-2,2975855897	-0,15984818	-0,0680721012	2,1997421295
NC_004663.1	BT_0145	BT_0145	148359	149618	+	-1,1104767647	0,3464827666	-0,646600911	-0,5099764251	-1,1611943892	-0,6385217131	-0,2520894086	-0,0142804308	1,4307717191
NC_004663.1	BT_0146	BT_0146	149679	150899	+	-2,066292765	0,1899899976	-0,1713530843	-1,1436564204	-1,7949597161	-1,3438902055	0,1230796477	-0,2009312739	1,7761317793
NC_004663.1	BT_0147	BT_0147	150999	151460	-	-3,4522489632	-0,4727178369	-0,801966476	-3,7046973386	-4,2439232183	-3,3759428944	0,1217552065	0,052206513	2,3953758061
NC_004663.1	BT_0148	BT_0148	151535	152824	-	-1,1018504943	-0,2964758737	-0,1740696869	-1,0185180743	-0,3247215661	-0,4669244191	0,0017561135	-0,0373524015	-0,0136388793
NC_004663.1	BT_0149	BT_0149	153042	153824	-	1,70134226	-0,2526346766	-0,2372823051	0,3731201392	0,9376844443	0,3150914245	-0,1033442082	-0,1776328847	-1,7334852796
NC_004663.1	BT_0150	BT_0150	153863	156241	-	1,4645105463	0,2752626284	-0,1007671275	1,052118527	0,9640280132	0,8731440854	0,0660283566	-0,0264876245	-1,3295190711
NC_004663.1	BT_0151	BT_0151	156339	156773	+	-0,7701213001	0,0727022344	0,0176311683	-0,9150477859	-1,2620332608	-0,5435485723	0,1113963516	0,2289429892	0,7176492995
NC_004663.1	BT_0152	BT_0152	156800	157618	+	-0,6984639378	0,0467144736	-0,0234773841	-1,0653674623	-1,1769032745	-0,2807354781	0,2238480421	0,3001818511	0,7069186479
NC_004663.1	BT_0153	BT_0153	157983	158858	-	0,1562552102	-0,023807017	0,0671595759	-0,7419338148	-0,501153529	-0,4265650377	-0,1607188575	0,3960790761	-1,0538150978
NC_004663.1	BT_0154	BT_0154	158865	160319	-	-0,0607978037	0,1923648908	-0,0839933075	0,1537779306	-0,1815003127	-0,1962749915	-0,1186276677	0,44137102	-0,7208859211
NC_004663.1	BT_0155	mnmA	160649	161716	+	-1,4065031556	0,1846206937	-0,2805076149	-0,4779406423	-0,8228109684	0,1830873963	-0,0667465441	-0,1077706067	-0,7379862936
NC_004663.1	BT_0156	BT_0156	161746	162408	-	-0,6462616648	-0,3108527724	-0,4423659148	-0,0864384178	-0,9979472445	-0,781191119	0,1122572787	-0,1972643138	0,9258257564
NC_004663.1	BT_0157	BT_0157	162494	163084	-	-4,1795515242	0,3013111664	-0,4481835213	-3,3336733984	-4,4036634029	-4,0484583972	0,0184520154	0,0579090996	2,8524014513
NC_004663.1	BT_0158	BT_0158	163152	164579	-	0,7420669118	0,1774603545	-0,1487540911	-0,1841899843	0,2173105433	0,5219662486	-0,0398007394	0,3389524416	-1,7344191282
NC_004663.1	BT_0159	BT_0159	164674	165546	-	0,4091657079	0,5546937688	0,0641846477	0,0663911127	-0,0341249462	0,4252374989	-0,0061878129	0,4795624733	-1,6259181778
NC_004663.1	BT_0160	BT_0160	165668	166102	-	-2,9340268328	0,0274624451	0,0366183546	-2,2041296839	-2,5390734793	-2,8364461324	-0,0175614197	-0,1589230281	2,4316338611
NC_004663.1	BT_0161	BT_0161	166150	167325	-	1,5700768193	0,1870256021	-0,1257626846	2,2770106742	1,9272246339	1,4008081499	-0,1211446816	0,2137560724	-1,067395959
NC_004663.1	BT_0162	BT_0162	167345	169663	-	0,0132795579	-0,4632590442	0,192290661	-0,4497363556	-0,0244634817	-0,7522368643	-0,1090544598	0,4499084719	0,3668422884
NC_004663.1	BT_0163	BT_0163	169709	169975	-	-0,8638734313	-0,4542199283	0,409448033	-1,822782227	-1,4950210082	-1,9046199405	0,1633083178	0,4424531014	1,676102274
NC_004663.1	BT_0164	BT_0164	169983	175358	-	-1,0635569933	-0,1531940811	0,099538362	-1,4413037074	-1,297163283	-1,2894172577	-0,1195900994	0,3314236578	1,4855455787
NC_004663.1	BT_0165	BT_0165	175455	175856	+	0,6162929408	0,0770734978	-0,1691151588	0,535161864	0,2042806564	0,2364721322	-0,2379103271	0,0945551581	0,0714264413
NC_004663.1	BT_0166	BT_0166	175872	176429	+	0,914707397	0,1361667004	0,0573827322	0,5797617648	0,3313633088	0,316707363	-0,0353308939	0,1310836028	0,0366347511
NC_004663.1	BT_0167	BT_0167	176559	176897	-	-0,0131835929	-0,2083128982	0,2698987998	0,4351172564	0,105285402	-0,1507014473	0,0018398647	-0,0011650835	1,1224283609
NC_004663.1	BT_0168	BT_0168	176890	177189	-	0,0350765223	-0,0946432511	0,3600940221	0,7413691791	0,3284312738	-0,0206927353	0,1047171611	0,1474215695	1,019760922
NC_004663.1	BT_0169	BT_0169	177407	178462	-	-0,1387326814	-0,1400020053	-0,0834999672	-0,1049780937	-0,290219574	-0,2477379218	0,0728233696	-0,0668004874	0,821075281
NC_004663.1	BT_0170	BT_0170	178582	178935	-	-2,3232724325	-0,4584826372	-0,1064394811	-2,2882207004	-2,8062090931	-2,2620165101	0,042871362	-0,1750699406	2,9967601557
NC_004663.1	BT_0171	BT_0171	179107	180390	-	-2,0420169642	-0,568388231	-1,2924795929	-0,7316873539	-1,4366655054	-0,5263412673	-0,1049189036	-0,6731252259	2,4153383308
NC_004663.1	BT_0172	BT_0172	180505	180900	-	-2,0628042233	-0,2869705906	-0,7915757668	-2,5083885372	-2,0407542387	-1,4779426404	-0,0206093635	-0,5778583487	2,1988320243
NC_004663.1	BT_0173	BT_0173	181926	182936	-	0,7433838178	-0,7034039557	0,0046785315	0,5724517203	1,0246016421	0,2461522437	-0,0841510416	0,0790685742	-2,6548792462
NC_004663.1	BT_0174	BT_0174	182956	183657	-	0,8880741754	-0,6438670203	0,0514840997	0,7572164712	1,1067389528	0,3607377171	-0,0390239939	0,1665264719	-2,7746445386
NC_004663.1	BT_0175	BT_0175	183896	184300	+	-2,8522083984	-0,488287124	-0,5835545148	-2,5192245186	-3,7950609688	-2,7082840693	-0,0364809172	-0,389447978	0,3792884797
NC_004663.1	BT_0176	BT_0176	185073	185561	+	1,1532435138	0,3572220306	0,0461077219	1,5458088841	1,4363234301	1,0398786503	0,0336552631	0,1807498886	-0,5210743441
NC_004663.1	BT_0177	BT_0177	185638	186429	+	0,9996312415	0,6363245199	0,0392144931	2,5426641259	1,5691470398	1,3093219384	0,1086124982	0,1125405606	0,7068741873
NC_004663.1	BT_0178	BT_0178	186456	187001	+	0,6995077651	0,4191590152	-0,3628521964	1,3685885535	0,9313044261	0,8446656322	-0,0274831131	0,0557077123	-0,4295919466
NC_004663.1	BT_0179	smpB	187011	187463	+	-0,967751312	-0,6193225064	-0,1298069313	-1,0595562646	-0,7935214434	-0,8381112271	-0,0826087757	-0,2564324051	-0,3018567569
NC_004663.1	BT_0180	BT_0180	187553	190300	+	-0,2024938746	-0,4454313749	-0,3069758495	-0,4580810519	-0,0638947454	-0,0302972262	0,0575749858	-0,0266380376	-1,5648065923
NC_004663.1	BT_0181	BT_0181	190313	190912	+	0,2892473616	-0,7625087509	-0,4119036174	-0,1797278788	0,1131786473	-0,0853012756	-0,0195202578	0,0912342981	-1,6634736552
